Protein Group Name,Representative Protein Description,Total Amino Acids,Sequence Coverage (%),Sequence Coverage Unshared only (%),Sequence Redundancy (%),Numbers of Proteins,# of PSMs,# of Unique Peptides,# Shared Peptides,# PSMs in Experiment,# Unique Seq in Experiment,# Shared Peptides in Experiment,P-Score,# Quantified PSMs,# Quantified Peptides,WT_0Min_(TMT 126C PCN),WT_0Min_(TMT 127N PCN),_Env_0Min_(TMT 127C PCN),_Env_0Min_(TMT 128N PCN),WT_5Min_(TMT 128C PCN),WT_5Min_(TMT 129N PCN),_Env_5Min_(TMT 129C PCN),_Env_5Min_(TMT 130N PCN),_Genome_5Min_(TMT 130C PCN),_Genome_5Min_(TMT 131N PCN),Uniprot IDs,Gene Names
PG245366,sp|Q9BWF3|RBM4_HUMAN RNA-binding protein 4 OS=Homo sapiens GN=RBM4 PE=1 SV=1,364,56.04,14.56,11.81,1,85,24,21,14,11,10,0,1,1,13207.5953,12136.05013,11058.70915,11045.04207,10863.84916,13883.03719,10449.76083,9773.034363,10496.17806,11814.10465,Q9BWF3,RBM4
PG249189,sp|Q9NYF8|BCLF1_HUMAN Bcl-2-associated transcription factor 1 OS=Homo sapiens GN=BCLAF1 PE=1 SV=2,920,60.65,3.261,37.83,2,1019,90,88,21,21,20,0,1,1,3897.034758,3973.626725,3758.814438,3317.359629,5508.214052,5533.750807,5787.944237,4123.471946,5908.087205,5583.196671,Q9NYF8|Q9NYF8-2,BCLAF1
PG244554,sp|Q15154|PCM1_HUMAN Pericentriolar material 1 protein OS=Homo sapiens GN=PCM1 PE=1 SV=4,2024,32.91,0.9881,6.324,1,271,61,57,18,17,16,0,1,1,8760.308571,9082.169281,16142.98276,14875.78966,16022.95474,17091.37825,16542.14103,14777.78583,15857.34132,16184.56697,Q15154,PCM1
PG244867,sp|O75475|PSIP1_HUMAN PC4 and SFRS1-interacting protein OS=Homo sapiens GN=PSIP1 PE=1 SV=1,530,57.55,21.51,30.19,1,210,41,28,10,10,9,0,1,1,12544.69729,9834.398153,9703.026366,13379.5852,13621.05535,8383.75937,14078.26144,14214.19233,14532.15044,13437.88552,O75475,PSIP1
PG260190,tr|B4DT28|B4DT28_HUMAN Heterogeneous nuclear ribonucleoprotein R OS=Homo sapiens GN=HNRNPR PE=1 SV=1,494,45.75,3.846,15.18,1,152,28,26,17,12,11,0,1,1,10551.06612,10152.86252,8745.627574,10907.38299,10257.26628,6644.191833,9602.643867,10043.7179,11346.50671,9235.65684,B4DT28,HNRNPR
PG268999,tr|M0QZM1|M0QZM1_HUMAN Heterogeneous nuclear ribonucleoprotein M (Fragment) OS=Homo sapiens GN=HNRNPM PE=1 SV=1,383,86.16,3.655,7.311,1,185,31,30,17,16,15,0,1,1,27726.77572,22641.04984,25330.96613,19277.7486,22096.88584,22650.5355,21612.25103,26046.20671,25106.46821,23307.96432,M0QZM1,HNRNPM
PG246788,sp|P29144|TPP2_HUMAN Tripeptidyl-peptidase 2 OS=Homo sapiens GN=TPP2 PE=1 SV=4,1249,49.88,1.361,5.444,1,145,54,52,28,23,22,0,1,1,3086.419039,3482.224425,3475.518971,3094.398235,4222.449388,4003.172297,3557.837562,3918.855829,4074.660611,4657.015472,P29144,TPP2
PG254428,sp|Q13310|PABP4_HUMAN Polyadenylate-binding protein 4 OS=Homo sapiens GN=PABPC4 PE=1 SV=1,644,41.46,3.261,16.93,2,107,29,27,18,14,13,0,1,1,22490.15101,19401.82426,20839.28611,17936.6144,18911.18125,19149.12793,19630.63933,19819.18575,19606.15402,16341.63021,Q13310|B1ANR0,PABPC4
PG259633,tr|H0Y5F5|H0Y5F5_HUMAN Polyadenylate-binding protein (Fragment) OS=Homo sapiens GN=PABPC4 PE=1 SV=1,550,44.55,5.091,16.73,1,86,27,24,13,11,10,0,1,1,9033.273002,8697.804099,22332.77411,21280.26873,22888.80686,20792.78062,21597.16211,22520.04286,25667.71718,24852.82802,H0Y5F5,PABPC4
PG251456,sp|P18858|DNLI1_HUMAN DNA ligase 1 OS=Homo sapiens GN=LIG1 PE=1 SV=1,919,65.07,8.923,17.63,1,305,61,55,20,18,17,0,1,1,5433.150897,6028.694492,20491.92957,15152.38102,17434.84994,16735.6444,22010.36742,11519.58274,22900.44268,13423.97499,P18858,LIG1
PG247295,sp|Q14157-1|UBP2L_HUMAN Isoform 2 of Ubiquitin-associated protein 2-like OS=Homo sapiens GN=UBAP2L,983,24.52,0.7121,5.392,2,116,21,20,10,8,7,0,1,1,23780.44033,24524.65612,23905.7767,21187.97383,24010.02563,26181.91421,22875.63642,21970.30828,24653.08656,24314.9045,Q14157-1|Q14157-4,UBAP2L
PG266181,tr|A0A087WX41|A0A087WX41_HUMAN Clathrin heavy chain 2 OS=Homo sapiens GN=CLTCL1 PE=1 SV=1,1260,15.87,0.5556,5.079,1,83,24,23,16,13,12,0,1,1,7109.922319,6845.989207,46932.3589,25146.8077,33258.66989,27397.04914,44966.54345,16884.06419,42083.15538,19092.09166,A0A087WX41,CLTCL1
PG247312,sp|P17480|UBF1_HUMAN Nucleolar transcription factor 1 OS=Homo sapiens GN=UBTF PE=1 SV=1,764,42.54,1.047,10.6,1,151,42,41,26,24,23,0,1,1,23541.27576,23610.89214,18945.44095,30050.99739,26078.77033,18816.7668,24518.54895,24539.21204,23883.32721,24155.16025,P17480,UBTF
PG247313,tr|E9PKP7|E9PKP7_HUMAN Nucleolar transcription factor 1 OS=Homo sapiens GN=UBTF PE=1 SV=1,745,43.62,1.074,10.87,2,153,42,41,26,24,23,0,1,1,7038.102059,9922.805788,5182.370238,9243.297565,7815.15559,6421.90451,7602.635861,7184.283045,7417.197744,6381.289859,P17480-2|E9PKP7,UBTF
PG260632,tr|A9IYQ1|A9IYQ1_HUMAN Sister chromatid cohesion protein PDS5 homolog B (Fragment) OS=Homo sapiens GN=PDS5B PE=1 SV=1,302,69.21,5.298,31.79,1,115,26,24,5,5,4,0,1,1,10614.28405,11756.41442,10227.42304,12543.46102,15325.17907,11476.28056,16725.31755,12010.36843,13607.46373,13693.01668,A9IYQ1,PDS5B
PG254632,sp|O00541-2|PESC_HUMAN Isoform 2 of Pescadillo homolog OS=Homo sapiens GN=PES1,583,47.17,4.288,7.376,1,80,28,27,16,16,15,0,1,1,1048.811744,988.3925828,1617.926896,1226.813617,1851.063622,1416.177038,1805.498809,1420.719422,1579.631097,1484.249355,O00541-2,PES1
PG248426,sp|Q9Y2D5|AKAP2_HUMAN A-kinase anchor protein 2 OS=Homo sapiens GN=AKAP2 PE=1 SV=3,859,32.95,1.281,8.265,1,122,25,24,11,11,10,0,1,1,12501.06502,10436.81209,10117.25847,8280.882106,11672.15621,10139.34556,11504.82815,10258.23963,11041.94698,9488.453792,Q9Y2D5,AKAP2
PG245057,sp|Q5T8P6|RBM26_HUMAN RNA-binding protein 26 OS=Homo sapiens GN=RBM26 PE=1 SV=3,1007,22.44,1.49,6.356,2,154,26,25,10,10,9,0,1,1,6886.457486,7591.716956,7394.578965,7900.765055,7332.500467,8476.433809,8925.920738,8703.899033,8741.076416,8278.489931,Q5T8P6|Q5T8P6-2,RBM26
PG245668,sp|Q5VT52|RPRD2_HUMAN Regulation of nuclear pre-mRNA domain-containing protein 2 OS=Homo sapiens GN=RPRD2 PE=1 SV=1,1461,30.39,6.023,5.27,3,203,36,28,4,4,3,0,1,1,11834.84612,13481.21728,12945.80885,12766.3893,14349.03116,15942.99131,13029.56384,14231.94615,14360.08307,16634.10176,Q5VT52|Q5VT52-2|Q5VT52-3,RPRD2
PG247551,sp|O95071|UBR5_HUMAN E3 ubiquitin-protein ligase UBR5 OS=Homo sapiens GN=UBR5 PE=1 SV=2,2799,21.01,0.2858,3.18,2,158,52,51,12,11,10,0,1,1,21039.37381,19115.58512,19478.35772,19185.84209,18188.05194,16192.90968,16608.87687,15998.8692,15513.35149,16465.19634,O95071|O95071-2,UBR5
PG262640,tr|H3BQK9|H3BQK9_HUMAN Microtubule-actin cross-linking factor 1; isoforms 1/2/3/5 OS=Homo sapiens GN=MACF1 PE=1 SV=1,7592,15.58,0.5137,1.515,2,208,101,97,26,26,25,0,1,1,8666.331381,7717.857819,6746.130374,9478.95933,7870.536815,6344.823467,7185.650407,8091.723334,7126.27013,7248.055529,H3BQK9|H3BPE1,MACF1
PG244841,tr|Q5T1Z8|Q5T1Z8_HUMAN Pumilio homolog 1 OS=Homo sapiens GN=PUM1 PE=1 SV=1,1224,24.59,1.389,2.124,4,98,25,24,11,10,9,0,1,1,6012.722279,5187.761054,4848.37238,5470.062135,3791.839699,4752.635237,5358.567818,5493.920312,5100.035563,6772.022248,Q14671-2|Q14671-3|Q5T1Z4|Q5T1Z8,PUM1
PG260035,tr|B7Z645|B7Z645_HUMAN Heterogeneous nuclear ribonucleoprotein Q OS=Homo sapiens GN=SYNCRIP PE=1 SV=1,464,52.37,2.155,12.07,1,125,25,24,15,13,12,0,1,1,38422.33513,32615.84202,34681.59872,29343.19201,32743.10305,36110.71309,37995.25834,23028.1875,35225.33115,38736.4121,B7Z645,SYNCRIP
PG267827,tr|M0QYC1|M0QYC1_HUMAN Rho guanine nucleotide exchange factor 1 (Fragment) OS=Homo sapiens GN=ARHGEF1 PE=1 SV=1,702,45.3,7.692,17.09,1,162,37,31,13,13,12,0,1,1,13179.32999,13235.31187,12041.48389,13135.56883,14675.6993,38170.44212,11439.90662,14627.5084,13361.26932,10939.88625,M0QYC1,ARHGEF1
PG255056,sp|O75400-2|PR40A_HUMAN Isoform 2 of Pre-mRNA-processing factor 40 homolog A OS=Homo sapiens GN=PRPF40A,930,32.15,4.624,9.462,1,118,35,32,12,12,11,0,1,1,6000.909441,6537.035427,6190.407814,6810.032453,6180.523976,7372.17747,4214.821582,6389.887506,6875.099957,7108.990497,O75400-2,PRPF40A
PG246751,sp|P06753-4|TPM3_HUMAN Isoform 4 of Tropomyosin alpha-3 chain OS=Homo sapiens GN=TPM3,247,71.26,3.239,46.56,1,171,36,35,32,22,21,0,1,1,8740.120342,9380.575804,8503.986802,10656.86927,8862.23474,11081.26777,7935.619476,9121.452842,9996.40933,8332.441339,P06753-4,TPM3
PG258723,tr|A0A0A0MR07|A0A0A0MR07_HUMAN Proto-oncogene vav OS=Homo sapiens GN=VAV1 PE=1 SV=1,823,39.13,4.374,6.926,1,65,31,29,15,14,13,0,1,1,8656.914104,7311.116444,7477.902449,6644.068779,6379.104868,6687.167141,6862.919087,6325.189287,7681.005144,6438.053426,A0A0A0MR07,VAV1
PG254854,sp|P29590-11|PML_HUMAN Isoform PML-11 of Protein PML OS=Homo sapiens GN=PML,834,39.33,6.954,3.717,1,143,28,24,13,13,12,0,1,1,9377.319101,9022.479179,9325.678723,9586.692581,7782.983495,9435.066071,8793.424294,7065.408136,8138.56058,8590.869135,P29590-11,PML
PG250514,sp|O75122|CLAP2_HUMAN CLIP-associating protein 2 OS=Homo sapiens GN=CLASP2 PE=1 SV=2,1294,47.14,1.623,6.801,2,164,53,51,13,13,12,0,1,1,6033.925584,6252.605492,6396.204736,5034.565245,6284.806599,5765.052398,5335.704344,4640.21044,5891.023397,6156.235283,O75122|J3KR49,CLASP2
PG249383,sp|Q6UB35|C1TM_HUMAN Monofunctional C1-tetrahydrofolate synthase; mitochondrial OS=Homo sapiens GN=MTHFD1L PE=1 SV=1,978,37.32,1.636,1.329,1,90,31,29,16,16,15,0,1,1,992.992843,2242.494012,7661.847098,5171.718851,5902.743353,5219.564864,8603.529834,3611.949294,7700.081102,4428.312948,Q6UB35,MTHFD1L
PG263150,tr|A9Z1X7|A9Z1X7_HUMAN Serine/arginine repetitive matrix protein 1 OS=Homo sapiens GN=SRRM1 PE=1 SV=1,913,59.47,20.81,35.71,1,1691,102,74,7,6,5,0,1,1,8287.216996,8933.280749,6387.825861,6761.267233,8194.943741,7395.92852,7199.148489,4458.063303,5850.362689,6540.139813,A9Z1X7,SRRM1
PG245732,tr|F8VXC8|F8VXC8_HUMAN SWI/SNF complex subunit SMARCC2 OS=Homo sapiens GN=SMARCC2 PE=1 SV=1,1245,36.39,2.41,9.398,3,200,49,47,18,15,14,0,1,1,7232.17764,7191.616363,8265.094976,7602.548978,8430.453684,8616.371166,8546.149102,7853.929553,8808.881536,8703.365086,Q8TAQ2-2|Q8TAQ2-3|F8VXC8,SMARCC2
PG246942,sp|Q5JTV8|TOIP1_HUMAN Torsin-1A-interacting protein 1 OS=Homo sapiens GN=TOR1AIP1 PE=1 SV=2,583,39.28,2.401,16.81,2,106,26,25,7,7,6,0,1,1,5503.420582,6038.097865,5503.155983,5664.789255,5341.03087,6890.113493,6489.453637,7291.122532,5834.942768,6353.831083,Q5JTV8|A0A0A0MSK5,TOR1AIP1
PG246944,sp|Q5JTV8-3|TOIP1_HUMAN Isoform 3 of Torsin-1A-interacting protein 1 OS=Homo sapiens GN=TOR1AIP1,584,39.38,2.568,16.78,1,108,26,25,7,7,6,0,1,1,31783.65647,31814.99994,25650.0173,34315.35426,35529.08361,32428.54348,35656.34877,34591.57249,35721.5282,35166.36262,Q5JTV8-3,TOR1AIP1
PG242086,sp|Q9NRZ9-3|HELLS_HUMAN Isoform 3 of Lymphoid-specific helicase OS=Homo sapiens GN=HELLS,806,31.39,2.233,5.087,1,72,24,23,14,14,13,0,1,1,4796.673712,5646.190938,4118.454494,3884.449153,5655.912606,5031.905051,4830.266528,4154.898496,5354.087256,5274.583805,Q9NRZ9-3,HELLS
PG252886,sp|Q3V6T2|GRDN_HUMAN Girdin OS=Homo sapiens GN=CCDC88A PE=1 SV=2,1871,15.18,14.48,3.474,4,67,29,2,1,1,0,0,1,1,4953.995814,5181.275214,4153.078383,5196.889209,3356.692107,3907.700272,3856.538916,4947.12262,5367.703259,5720.788719,Q3V6T2|Q3V6T2-2|Q3V6T2-3|Q3V6T2-4,CCDC88A
PG252484,sp|Q13045|FLII_HUMAN Protein flightless-1 homolog OS=Homo sapiens GN=FLII PE=1 SV=2,1269,38.14,3.546,3.94,1,121,42,40,22,21,20,0,1,1,3252.317196,3321.298569,2719.493912,3143.631913,3037.306936,2543.637683,2196.242842,2461.575185,3055.885253,2501.064164,Q13045,FLII
PG254577,sp|Q8NC51-2|PAIRB_HUMAN Isoform 2 of Plasminogen activator inhibitor 1 RNA-binding protein OS=Homo sapiens GN=SERBP1,402,67.91,8.209,28.86,1,164,35,30,16,14,13,0,1,1,4622.507501,6627.164489,9798.714927,11506.93569,12810.57636,8370.991746,12749.36961,14486.85117,12480.8345,9141.655895,Q8NC51-2,SERBP1
PG253200,tr|A6NEM2|A6NEM2_HUMAN Host cell factor 1 OS=Homo sapiens GN=HCFC1 PE=1 SV=2,2080,25,1.827,2.26,2,184,44,42,21,21,20,0,1,1,7370.067164,7238.33914,6764.477536,5723.397918,8038.850788,8193.03493,8155.998381,8315.281223,6557.104644,7593.056163,P51610-4|A6NEM2,HCFC1
PG252728,sp|Q9Y2X7-3|GIT1_HUMAN Isoform 3 of ARF GTPase-activating protein GIT1 OS=Homo sapiens GN=GIT1,770,40.52,1.039,11.04,1,119,24,23,6,6,5,0,1,1,6025.053894,7144.11986,5880.565866,5172.573682,5767.589642,4625.448026,4899.513288,6088.508036,4931.035363,6636.044878,Q9Y2X7-3,GIT1
PG242414,sp|Q99081|HTF4_HUMAN Transcription factor 12 OS=Homo sapiens GN=TCF12 PE=1 SV=1,682,48.97,8.798,8.065,1,165,26,23,3,3,2,0,1,1,5332.890166,5451.696504,4413.886215,4519.199437,5294.363368,4947.356302,3878.983082,4666.123502,6144.643486,4635.949446,Q99081,TCF12
PG251410,sp|O15523|DDX3Y_HUMAN ATP-dependent RNA helicase DDX3Y OS=Homo sapiens GN=DDX3Y PE=1 SV=2,660,48.18,3.636,11.06,2,192,34,31,21,17,16,0,1,1,9028.097411,10640.97651,7994.411327,9124.651404,10355.38973,9735.624456,8071.728644,6441.164458,8761.523323,9926.391027,O15523|O15523-2,DDX3Y
PG252139,sp|Q96RT1-8|ERBIN_HUMAN Isoform 8 of Erbin OS=Homo sapiens GN=ERBIN,1419,28.96,27.2,5.567,1,131,31,2,3,3,2,0,1,1,10029.6632,9371.229938,9852.723676,8713.807718,10799.10199,9884.057234,8272.570794,10245.69405,9681.323221,10807.61467,Q96RT1-8,ERBIN
PG245054,sp|P98175-3|RBM10_HUMAN Isoform 3 of RNA-binding protein 10 OS=Homo sapiens GN=RBM10,853,33.29,2.696,11.49,2,134,30,28,5,5,4,0,1,1,854.4874607,1622.044776,1434.913596,1610.592944,1421.500561,1970.995204,1344.56648,2518.747146,1473.709442,2398.244609,P98175-3|P98175-4,RBM10
PG243948,sp|O75592|MYCB2_HUMAN E3 ubiquitin-protein ligase MYCBP2 OS=Homo sapiens GN=MYCBP2 PE=1 SV=3,4640,7.608,7.608,0.5388,2,68,29,0,1,1,0,0,1,1,15500.65484,17811.52934,14605.73286,16605.95046,14728.2234,15819.40858,15204.5016,14986.20623,11826.08144,15146.50266,O75592|O75592-2,MYCBP2
PG247949,sp|Q14738|2A5D_HUMAN Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform OS=Homo sapiens GN=PPP2R5D PE=1 SV=1,602,43.02,7.807,6.811,2,72,25,21,8,7,6,0,1,1,9077.213542,7545.105581,7888.087051,9897.902518,8271.925777,5845.335335,9252.510821,8730.65232,11178.71384,11579.26649,Q14738|E9PFR3,PPP2R5D
PG252166,sp|Q09472|EP300_HUMAN Histone acetyltransferase p300 OS=Homo sapiens GN=EP300 PE=1 SV=2,2414,14.42,10.27,2.568,1,45,29,12,3,3,2,0,1,1,6728.017829,7691.857392,6395.087625,7948.227485,6580.152386,6687.027635,7098.478812,7458.204301,7670.784004,7268.880824,Q09472,EP300
PG247892,sp|Q9H4A3-7|WNK1_HUMAN Isoform 6 of Serine/threonine-protein kinase WNK1 OS=Homo sapiens GN=WNK1,2833,12.78,11.37,2.718,6,97,34,6,3,3,2,0,1,1,5203.388152,4771.24813,4606.106507,4638.72882,6246.590754,5817.980886,4961.504648,6193.307875,5302.215243,5179.2404,Q9H4A3|Q9H4A3-2|Q9H4A3-5|Q9H4A3-6|Q9H4A3-7|F5GWT4,WNK1
PG243791,sp|O75376-2|NCOR1_HUMAN Isoform 2 of Nuclear receptor corepressor 1 OS=Homo sapiens GN=NCOR1,2337,27.69,2.097,4.108,1,182,50,46,2,2,1,0,1,1,14597.85282,17578.26451,16667.09444,17595.79773,18451.47823,24593.62785,20817.76478,19410.06713,18347.09118,19977.11792,O75376-2,NCOR1
PG254645,sp|Q92576|PHF3_HUMAN PHD finger protein 3 OS=Homo sapiens GN=PHF3 PE=1 SV=3,2039,17.56,17.56,3.041,2,81,28,0,1,1,0,0,1,1,21499.76396,20602.21787,17825.17573,25191.93476,25965.17902,19465.53454,23403.74569,24047.35554,24495.04828,24952.49055,Q92576|Q92576-2,PHF3
PG246387,sp|Q9C0C2|TB182_HUMAN 182 kDa tankyrase-1-binding protein OS=Homo sapiens GN=TNKS1BP1 PE=1 SV=4,1729,26.32,26.32,4.569,1,125,36,0,1,1,0,0,1,1,6412.022733,6185.968646,5545.189377,6180.063691,5776.72921,5857.132469,5795.578291,6141.350243,6473.459805,6511.113665,Q9C0C2,TNKS1BP1
PG246981,sp|O94826|TOM70_HUMAN Mitochondrial import receptor subunit TOM70 OS=Homo sapiens GN=TOMM70 PE=1 SV=1,608,48.68,48.68,7.072,1,60,25,0,1,1,0,0,1,1,38515.0733,36714.3828,35615.55271,33249.88051,36141.61748,39156.27212,35086.47025,36749.52217,37583.82549,35408.52866,O94826,TOMM70
PG243155,sp|Q03164-3|KMT2A_HUMAN Isoform 3 of Histone-lysine N-methyltransferase 2A OS=Homo sapiens GN=KMT2A,3972,14.43,14.22,1.385,3,149,42,1,1,1,0,0,1,1,1989.479165,1956.964124,1481.059463,2725.853975,3416.039489,1087.94309,2411.612572,1860.367093,3042.099649,2462.033316,Q03164|Q03164-2|Q03164-3,KMT2A
PG255226,sp|Q9ULL5-3|PRR12_HUMAN Isoform 3 of Proline-rich protein 12 OS=Homo sapiens GN=PRR12,2036,13.56,13.16,3.045,1,78,22,1,1,1,0,1.93673733169769E-321,1,1,22167.57585,27864.09039,24055.4032,22715.81811,23497.52413,23235.70074,25125.46269,27804.37624,25830.61811,26385.10978,Q9ULL5-3,PRR12
PG249745,sp|Q14004|CDK13_HUMAN Cyclin-dependent kinase 13 OS=Homo sapiens GN=CDK13 PE=1 SV=2,1512,20.97,16.67,5.225,2,87,24,5,5,5,4,1.16836643928538E-319,1,1,4482.598727,3032.830467,3270.562704,4255.447679,3404.114638,3620.672375,3851.265379,3264.630762,3896.764724,3753.308469,Q14004|Q14004-2,CDK13
PG254727,sp|Q9ULU4-19|PKCB1_HUMAN Isoform 19 of Protein kinase C-binding protein 1 OS=Homo sapiens GN=ZMYND8,1241,24.01,24.01,3.465,14,95,27,0,1,1,0,1.46347184954636E-319,1,1,18030.55665,16167.71624,16167.95311,14370.39609,17622.77025,16667.93144,14730.11344,13568.67777,18487.96063,15999.81173,Q9ULU4|Q9ULU4-5|Q9ULU4-7|Q9ULU4-9|Q9ULU4-10|Q9ULU4-11|Q9ULU4-12|Q9ULU4-13|Q9ULU4-14|Q9ULU4-16|Q9ULU4-19|Q9ULU4-20|Q9ULU4-21|Q9ULU4-23,ZMYND8
PG244789,sp|Q5JSZ5|PRC2B_HUMAN Protein PRRC2B OS=Homo sapiens GN=PRRC2B PE=1 SV=2,2229,13.82,12.7,3.096,1,77,25,4,3,3,2,2.28849724956728E-318,1,1,5940.878356,6507.860979,4726.771023,4323.792862,4599.329588,6042.542274,3902.069421,5001.358749,5158.413778,5433.958195,Q5JSZ5,PRRC2B
PG247657,sp|Q5JSH3|WDR44_HUMAN WD repeat-containing protein 44 OS=Homo sapiens GN=WDR44 PE=1 SV=1,913,27.93,27.93,11.06,2,69,22,0,1,1,0,2.74925061720102E-311,1,1,3695.238782,2979.368176,4508.72926,3418.782841,4370.015672,4704.309357,4862.097093,3394.897701,4787.14712,4151.553088,Q5JSH3|Q5JSH3-2,WDR44
PG253319,sp|Q8ND56-2|LS14A_HUMAN Isoform 2 of Protein LSM14 homolog A OS=Homo sapiens GN=LSM14A,463,42.12,15.33,21.17,2,118,25,12,6,6,5,0.00E+00,1,1,33032.8498,32313.94026,30853.3721,26322.81405,31356.16511,29478.02536,28795.95034,45732.1526,29845.91893,27421.26014,Q8ND56|Q8ND56-2,LSM14A
PG246666,tr|H0YL70|H0YL70_HUMAN Transducin-like enhancer protein 3 OS=Homo sapiens GN=TLE3 PE=1 SV=1,782,34.4,4.22,4.348,10,90,23,21,6,4,3,2.17E-306,1,1,18977.57531,17638.71306,15439.40876,17128.59189,16171.93819,21192.52083,18492.72287,18276.77011,20886.81562,17663.78125,Q04726|Q04726-2|Q04726-3|Q04726-4|Q04726-5|Q04726-6|Q04726-7|H0YL70|H0YKT5|H0YKN8,TLE3
PG255021,sp|P36873-2|PP1G_HUMAN Isoform Gamma-2 of Serine/threonine-protein phosphatase PP1-gamma catalytic subunit OS=Homo sapiens GN=PPP1CC,337,59.35,16.62,24.93,3,66,20,16,11,9,8,4.20E-305,1,1,19001.61279,18532.25182,18536.781,14887.85092,14105.15242,16460.6701,16334.06777,17634.70758,19808.12943,19885.2648,P36873|P36873-2|F8W0W8,PPP1CC
