Protein Group Name,Representative Protein Description,Total Amino Acids,Sequence Coverage (%),Sequence Coverage Unshared only (%),Sequence Redundancy (%),Numbers of Proteins,# of PSMs,# of Unique Peptides,# Shared Peptides,# PSMs in Experiment,# Unique Seq in Experiment,# Shared Peptides in Experiment,P-Score,# Quantified PSMs,# Quantified Peptides,0minRep1 (TMT 126C PCN),0minRep2 (TMT 127N PCN),0minRep3 (TMT 127C PCN),0minRep4 (TMT 128N PCN),5minRep1 (TMT 128C PCN),5minRep2 (TMT 129N PCN),5minRep3 (TMT 129C PCN),60minRep1 (TMT 130N PCN),60minRep2 (TMT 130C PCN),60minRep3 (TMT 131N PCN),Uniprot IDs,Gene Names
PG256022,sp|Q86SQ7|SDCG8_HUMAN Serologically defined colon cancer antigen 8 OS=Homo sapiens GN=SDCCAG8 PE=1 SV=1,713,3.787,3.787,0,3,6,2,0,1,1,0,4.01E-29,1,1,1064.276828,3483.374496,1935.663103,1784.828708,4073.852767,2303.638655,2395.446278,3948.700087,2611.278696,2527.512074,Q86SQ7|Q86SQ7-3|Q86SQ7-4,SDCCAG8
PG245437,sp|O94761|RECQ4_HUMAN ATP-dependent DNA helicase Q4 OS=Homo sapiens GN=RECQL4 PE=1 SV=1,1208,3.394,3.394,0,1,4,3,0,1,1,0,2.34E-28,1,1,1082.547122,1599.221834,3242.042147,1109.619181,3898.225203,2347.727452,1144.656594,2470.050186,1036.277657,1274.144439,O94761,RECQL4
PG246003,tr|G3V4K3|G3V4K3_HUMAN Spermatogenesis-defective protein 39 homolog OS=Homo sapiens GN=VIPAS39 PE=1 SV=1,519,26.59,26.59,2.505,2,37,12,0,1,1,0,1.06E-161,1,1,1136.864242,1558.900631,1236.310818,3698.157377,1894.135243,2137.383137,2174.83991,5431.692922,1312.443792,4497.706054,Q9H9C1|G3V4K3,VIPAS39
PG242987,tr|A0A087X0R0|A0A087X0R0_HUMAN Lysine-specific demethylase 6A OS=Homo sapiens GN=KDM6A PE=1 SV=1,1429,3.149,3.149,0,5,8,2,0,1,1,0,8.52E-31,1,1,1161.647606,3339.121649,3795.385675,1082.667794,1555.323058,1533.918893,1093.436133,2085.01274,1146.20417,1805.769975,O15550|F8W8R6|F5H5V6|A0A087X0R0|F5H6S1,KDM6A
PG249280,sp|O15169|AXIN1_HUMAN Axin-1 OS=Homo sapiens GN=AXIN1 PE=1 SV=2,862,4.524,4.524,0,2,8,2,0,1,1,0,5.74E-30,1,1,1173.790231,1694.539205,1162.274708,1102.020255,1007.354349,1246.560964,1354.434213,2201.574889,2470.99779,1844.544992,O15169|O15169-2,AXIN1
PG256609,sp|Q70CQ2|UBP34_HUMAN Ubiquitin carboxyl-terminal hydrolase 34 OS=Homo sapiens GN=USP34 PE=1 SV=2,3546,4.681,4.681,0.8178,3,32,16,0,1,1,0,2.72E-222,1,1,1182.328877,2661.531906,2785.973412,1688.423944,1892.455956,3916.533946,1344.179185,1890.263814,2694.420369,2486.100925,Q70CQ2|Q70CQ2-2|Q70CQ2-3,USP34
PG242772,sp|O00139-4|KIF2A_HUMAN Isoform 4 of Kinesin-like protein KIF2A OS=Homo sapiens GN=KIF2A,744,43.68,3.898,8.333,4,87,31,30,11,10,9,0,1,1,1195.832214,1177.848552,1528.188819,2327.803096,2344.261567,2350.553128,2368.074962,2335.939144,2004.568213,2999.666432,O00139|O00139-1|O00139-4|O00139-5,KIF2A
PG246900,sp|Q8NFQ8|TOIP2_HUMAN Torsin-1A-interacting protein 2 OS=Homo sapiens GN=TOR1AIP2 PE=1 SV=1,470,13.4,11.28,6.17,1,7,4,1,1,1,0,1.49E-54,1,1,1235.537437,1206.310801,1917.865076,965.3492461,1283.124697,1540.350886,993.3584679,1033.179655,1677.648899,1388.367986,Q8NFQ8,TOR1AIP2
PG255469,sp|Q05823|RN5A_HUMAN 2-5A-dependent ribonuclease OS=Homo sapiens GN=RNASEL PE=1 SV=2,741,10.12,10.12,0,1,11,6,0,2,2,0,7.65E-82,1,1,1244.78773,3039.321379,1287.3379,2094.976653,1837.481772,1557.299668,1486.832816,4457.02407,4432.359241,2591.857915,Q05823,RNASEL
PG257262,sp|P62699|YPEL5_HUMAN Protein yippee-like 5 OS=Homo sapiens GN=YPEL5 PE=1 SV=1,121,29.75,29.75,0,1,17,3,0,1,1,0,4.06E-45,1,1,1257.13819,1070.700094,1159.067402,966.7546603,1012.106936,1155.069795,1135.040197,986.9222327,1640.486848,1257.695087,P62699,YPEL5
PG246056,sp|Q86XZ4|SPAS2_HUMAN Spermatogenesis-associated serine-rich protein 2 OS=Homo sapiens GN=SPATS2 PE=1 SV=1,545,6.055,6.055,0,2,5,2,0,1,1,0,3.69E-28,1,1,1257.694684,1243.901382,1032.76364,1170.253389,985.793244,1081.789156,951.5979366,2385.16958,2642.090891,2806.061425,Q86XZ4|F8VS10,SPATS2
PG251248,sp|Q9NWS6|F118A_HUMAN Protein FAM118A OS=Homo sapiens GN=FAM118A PE=1 SV=2,357,25.77,25.77,3.081,1,17,7,0,1,1,0,7.31E-109,1,1,1285.098454,1309.72175,1917.365835,2056.252219,1737.955926,2412.128178,2271.883175,1683.838122,5376.098739,2609.649045,Q9NWS6,FAM118A
PG251661,sp|Q96HY7|DHTK1_HUMAN Probable 2-oxoglutarate dehydrogenase E1 component DHKTD1; mitochondrial OS=Homo sapiens GN=DHTKD1 PE=1 SV=2,919,6.638,6.638,0,1,8,5,0,1,1,0,3.16E-70,1,1,1295.53436,1408.959868,817.4770213,1670.855235,1567.005594,1706.965746,1817.330002,1589.183342,1394.227537,1128.055155,Q96HY7,DHTKD1
PG253255,sp|Q6FI13|H2A2A_HUMAN Histone H2A type 2-A OS=Homo sapiens GN=HIST2H2AA3 PE=1 SV=3,130,68.46,22.31,33.85,1,416,12,11,63,10,9,1.50E-163,1,1,1300.273662,1154.847293,926.4276874,992.1882269,915.1385823,1480.422512,1597.431646,1504.634522,1066.195307,2599.214937,Q6FI13,HIST2H2AA3
PG251287,sp|Q9H098-2|F107B_HUMAN Isoform 2 of Protein FAM107B OS=Homo sapiens GN=FAM107B,306,19.28,19.28,6.536,1,18,9,0,1,1,0,1.47E-108,1,1,1298.964071,1729.105861,1469.944393,1066.150803,1908.665501,1957.7739,1309.878646,1616.444081,4863.956964,2394.794602,Q9H098-2,FAM107B
PG247490,sp|Q9BSL1|UBAC1_HUMAN Ubiquitin-associated domain-containing protein 1 OS=Homo sapiens GN=UBAC1 PE=1 SV=1,405,11.6,11.6,1.975,1,23,6,0,1,1,0,2.30E-66,1,1,1309.939374,3450.490257,3094.015099,4961.182935,2373.558644,2141.071923,1701.802215,2106.199021,4441.529488,2616.143346,Q9BSL1,UBAC1
PG246332,sp|Q9NVG8|TBC13_HUMAN TBC1 domain family member 13 OS=Homo sapiens GN=TBC1D13 PE=1 SV=3,400,19.25,19.25,0,1,28,6,0,1,1,0,3.73E-86,1,1,1347.974171,1279.036815,1695.619096,1890.606136,3922.215764,4949.740384,6508.243884,4201.891173,2726.989177,4954.438415,Q9NVG8,TBC1D13
PG253123,sp|P49841-2|GSK3B_HUMAN Isoform 2 of Glycogen synthase kinase-3 beta OS=Homo sapiens GN=GSK3B,433,35.33,29.33,0,2,49,10,2,3,3,1,4.05E-148,1,1,1349.535945,3064.514427,4971.845845,2278.378818,2162.617297,1412.605298,2162.221118,5275.694295,2581.308356,5868.274945,P49841|P49841-2,GSK3B
PG242979,sp|Q9ULH0|KDIS_HUMAN Kinase D-interacting substrate of 220 kDa OS=Homo sapiens GN=KIDINS220 PE=1 SV=3,1771,8.413,8.413,0,3,26,10,0,1,1,0,2.56E-137,1,1,1374.068719,1633.889128,1930.278195,3887.614773,1681.62564,4083.142415,4095.773071,5182.003765,2366.251044,2756.372246,Q9ULH0|Q9ULH0-2|Q9ULH0-4,KIDINS220
PG251492,sp|Q8TEB1|DCA11_HUMAN DDB1- and CUL4-associated factor 11 OS=Homo sapiens GN=DCAF11 PE=1 SV=1,546,12.09,12.09,0,2,6,4,0,1,1,0,8.88E-57,1,1,1398.972296,3036.974648,783.7083656,1582.400774,1995.748148,2067.677323,2205.485288,2482.94356,2473.458063,2540.333599,Q8TEB1|Q8TEB1-2,DCAF11
PG252744,tr|A0A087X1Z1|A0A087X1Z1_HUMAN Gamma-tubulin complex component OS=Homo sapiens GN=TUBGCP5 PE=1 SV=1,1026,2.924,2.924,0.8772,6,4,3,0,1,1,0,1.79E-33,1,1,1401.394626,882.7761416,1433.398081,1286.828658,1471.961252,1421.419207,1247.944909,2054.251226,1673.060899,2016.647865,Q96RT8|Q96RT8-2|A0A0G2JPW5|A0A0G2JSA7|A0A0G2JQX1|A0A087X1Z1,TUBGCP5
PG252427,sp|Q9H5X1|FA96A_HUMAN MIP18 family protein FAM96A OS=Homo sapiens GN=FAM96A PE=1 SV=1,160,21.25,21.25,0,1,11,3,0,1,1,0,3.34E-40,1,1,1409.167401,2947.593664,3576.268985,4088.824812,1384.233753,3806.370829,1068.47175,4370.263806,1981.382781,2571.558268,Q9H5X1,FAM96A
PG252871,tr|D4PHA4|D4PHA4_HUMAN GC-rich promoter binding protein 1; isoform CRA_c OS=Homo sapiens GN=GPBP1 PE=1 SV=1,493,13.79,13.79,4.26,3,18,5,0,1,1,0,7.36E-71,1,1,1436.35896,1227.028591,1003.987168,3235.308389,2155.353008,2208.217939,4769.959637,4457.84955,2630.316255,2126.84879,Q86WP2|Q86WP2-2|D4PHA4,GPBP1
PG246559,sp|O75528|TADA3_HUMAN Transcriptional adapter 3 OS=Homo sapiens GN=TADA3 PE=1 SV=1,432,20.14,20.14,0,2,17,6,0,1,1,0,4.13E-79,1,1,1450.051386,3480.361634,4939.029994,4638.851779,4524.571671,6846.558614,5933.228829,4407.988983,6516.561314,8884.589212,O75528|O75528-2,TADA3
PG256808,sp|Q9Y2T7|YBOX2_HUMAN Y-box-binding protein 2 OS=Homo sapiens GN=YBX2 PE=1 SV=2,364,12.91,4.121,3.022,1,15,4,3,5,2,1,2.57E-61,1,1,1456.036769,2767.694724,3394.269215,4520.138071,4334.327808,3970.082576,1743.51084,6902.659662,1635.340826,2338.205828,Q9Y2T7,YBX2
PG244367,sp|Q96RG2-2|PASK_HUMAN Isoform 2 of PAS domain-containing serine/threonine-protein kinase OS=Homo sapiens GN=PASK,1330,7.368,7.368,0,2,16,8,0,1,1,0,1.51E-106,1,1,1471.576651,3211.232,2927.579674,2239.237235,2221.810207,2326.846574,1944.023071,3936.035137,1397.493383,5634.122777,Q96RG2|Q96RG2-2,PASK
PG249464,sp|Q96A19|C102A_HUMAN Coiled-coil domain-containing protein 102A OS=Homo sapiens GN=CCDC102A PE=1 SV=2,550,8.364,8.364,0,1,5,3,0,1,1,0,6.03E-37,1,1,1481.85421,1653.199517,1429.105634,2284.806983,1897.114068,3737.587351,2483.150647,1130.639927,2387.884195,2184.633716,Q96A19,CCDC102A
PG258692,tr|C9JQE8|C9JQE8_HUMAN Nuclear receptor corepressor 2 (Fragment) OS=Homo sapiens GN=NCOR2 PE=1 SV=1,1451,22.67,8.132,4.755,1,121,27,18,2,2,1,0,1,1,1489.43154,1632.786802,3751.0163,2093.073635,1902.895168,2018.69865,4670.049086,1999.887106,2773.72422,2296.398436,C9JQE8,NCOR2
PG246598,sp|P05452|TETN_HUMAN Tetranectin OS=Homo sapiens GN=CLEC3B PE=1 SV=3,202,15.84,15.84,0,2,4,2,0,1,1,0,3.38E-32,1,1,1520.320113,1249.296507,3186.481384,1474.395881,6581.515063,3967.495303,8609.809959,7744.425653,8274.726523,13279.33678,P05452|E9PHK0,CLEC3B
PG255809,sp|Q96HN2|SAHH3_HUMAN Adenosylhomocysteinase 3 OS=Homo sapiens GN=AHCYL2 PE=1 SV=1,611,17.68,2.946,1.309,2,40,10,9,10,8,7,5.69E-148,1,1,1518.765815,3820.329483,5238.423812,1890.477959,4150.282115,2308.870226,1717.850215,5594.560174,2732.628269,5591.25934,Q96HN2|Q96HN2-2,AHCYL2
PG252311,sp|O94952|FBX21_HUMAN F-box only protein 21 OS=Homo sapiens GN=FBXO21 PE=2 SV=2,628,11.15,11.15,0,3,12,5,0,1,1,0,1.45E-74,1,1,1539.563167,905.9327755,3032.929412,3329.270792,950.1625339,1930.857772,1432.661533,1655.579981,2139.093145,4852.933485,O94952|O94952-1|Q4G104,FBXO21
PG249400,sp|Q9P1Z2|CACO1_HUMAN Calcium-binding and coiled-coil domain-containing protein 1 OS=Homo sapiens GN=CALCOCO1 PE=1 SV=2,691,3.618,3.618,0,4,5,2,0,1,1,0,6.22E-25,1,1,1635.611847,3339.441841,3172.874722,1818.769486,2262.885784,2139.712765,4389.686822,3980.666526,2372.486555,4990.45258,Q9P1Z2|Q9P1Z2-2|Q9P1Z2-3|Q9P1Z2-4,CALCOCO1
PG252575,sp|Q8TAE8|G45IP_HUMAN Growth arrest and DNA damage-inducible proteins-interacting protein 1 OS=Homo sapiens GN=GADD45GIP1 PE=1 SV=1,222,52.25,52.25,9.459,1,26,11,0,2,1,0,2.04E-133,2,1,2301.909996,3160.531156,4589.311032,3698.317714,8116.043548,3685.01016,7788.545489,8827.502521,11250.77722,9139.048086,Q8TAE8,GADD45GIP1
PG253692,sp|Q8IWI9-3|MGAP_HUMAN Isoform 3 of MAX gene-associated protein OS=Homo sapiens GN=MGA,2856,7.318,5.882,0,1,74,16,3,1,1,0,2.52E-193,1,1,2422.717568,2625.157393,1706.444516,2370.412666,3686.982798,2277.712897,2471.679652,4879.657204,2263.086857,2077.722208,Q8IWI9-3,MGA
PG255002,sp|Q8NHP8|PLBL2_HUMAN Putative phospholipase B-like 2 OS=Homo sapiens GN=PLBD2 PE=1 SV=2,589,10.02,10.02,0,2,8,5,0,1,1,0,7.55E-67,1,1,2511.632564,3948.900503,3986.48178,2272.622234,2279.161728,1378.724142,2335.340211,4672.395686,1565.477354,2016.31552,Q8NHP8|Q8NHP8-2,PLBD2
PG248887,sp|Q9H1I8|ASCC2_HUMAN Activating signal cointegrator 1 complex subunit 2 OS=Homo sapiens GN=ASCC2 PE=1 SV=3,757,16.91,16.91,3.699,1,24,11,0,1,1,0,1.74E-149,1,1,2514.162363,4491.164734,3905.630459,6730.056772,5493.467295,5192.294857,903.2476122,5628.368698,5583.683892,4445.703494,Q9H1I8,ASCC2
PG255646,sp|Q9ULF5|S39AA_HUMAN Zinc transporter ZIP10 OS=Homo sapiens GN=SLC39A10 PE=1 SV=2,831,3.249,3.249,1.685,1,4,3,0,1,1,0,3.93E-37,1,1,2564.246284,2778.732974,3175.460504,2056.209616,2215.268206,1518.756362,1282.547416,2257.056825,2218.625854,1936.199589,Q9ULF5,SLC39A10
PG243039,sp|Q14643|ITPR1_HUMAN Inositol 1;4;5-trisphosphate receptor type 1 OS=Homo sapiens GN=ITPR1 PE=1 SV=3,2758,6.49,3.445,1.051,8,35,15,9,3,2,1,4.06E-199,1,1,2582.144034,2923.084893,2786.496992,3763.463407,4649.681738,5491.944818,3874.595186,2345.67452,5876.047235,5914.8626,Q14643|Q14643-2|Q14643-3|Q14643-4|Q14643-5|Q14643-6|Q14643-7|Q14643-8,ITPR1
PG254802,sp|Q6NSJ2|PHLB3_HUMAN Pleckstrin homology-like domain family B member 3 OS=Homo sapiens GN=PHLDB3 PE=2 SV=3,640,11.56,11.56,0,1,9,4,0,1,1,0,1.01E-54,1,1,2599.096473,2738.797819,1945.159705,681.8156071,1077.860244,3879.94313,2102.868798,2523.201148,2027.054383,2586.615337,Q6NSJ2,PHLDB3
PG242579,sp|Q15653|IKBB_HUMAN NF-kappa-B inhibitor beta OS=Homo sapiens GN=NFKBIB PE=1 SV=2,356,15.45,15.45,0,4,6,3,0,1,1,0,6.66E-40,1,1,2612.550929,3923.828293,4989.77851,5827.053311,4664.286131,5297.749953,6751.737015,4789.754588,2518.375091,4716.568547,Q15653|Q15653-2|G5E9C2|I3L4X3,NFKBIB
PG256091,sp|Q9BSV6|SEN34_HUMAN tRNA-splicing endonuclease subunit Sen34 OS=Homo sapiens GN=TSEN34 PE=1 SV=1,310,24.84,24.84,0,1,9,6,0,1,1,0,7.19E-78,1,1,2636.164109,3233.422802,1593.163554,1437.597358,3357.774033,1547.169006,2302.22969,2440.556343,1511.418834,2360.603085,Q9BSV6,TSEN34
PG250292,sp|Q8TD26|CHD6_HUMAN Chromodomain-helicase-DNA-binding protein 6 OS=Homo sapiens GN=CHD6 PE=1 SV=4,2715,3.536,2.063,0,1,10,7,4,1,1,0,1.04E-81,1,1,2634.88982,3438.808749,4161.186236,1339.60158,2300.555634,4761.196749,4691.616927,4875.40425,5706.74187,6345.575761,Q8TD26,CHD6
PG248093,sp|Q15057|ACAP2_HUMAN Arf-GAP with coiled-coil; ANK repeat and PH domain-containing protein 2 OS=Homo sapiens GN=ACAP2 PE=1 SV=3,778,24.55,24.55,5.656,1,51,21,0,1,1,0,1.51E-288,1,1,2671.573206,1043.613257,1538.125445,3859.045874,3921.121593,2140.205147,2312.530245,4917.945993,2637.208234,2158.661218,Q15057,ACAP2
PG252246,tr|E9PG19|E9PG19_HUMAN F-BAR and double SH3 domains protein 2 OS=Homo sapiens GN=FCHSD2 PE=1 SV=1,764,8.115,8.115,0,2,7,4,0,1,1,0,1.82E-62,1,1,2681.117822,3365.304123,4136.431862,2113.274116,2377.169356,3942.291346,4669.457379,2405.983285,2678.52966,2961.418171,O94868|E9PG19,FCHSD2
PG250485,sp|Q15417|CNN3_HUMAN Calponin-3 OS=Homo sapiens GN=CNN3 PE=1 SV=1,329,21.28,15.81,7.599,1,17,8,3,2,2,1,7.61E-111,1,1,2690.490174,1336.095265,3160.650361,1926.288626,4283.056933,1178.184614,1000.098081,3869.184358,4660.125568,1994.406824,Q15417,CNN3
PG248914,sp|Q9H1Y0|ATG5_HUMAN Autophagy protein 5 OS=Homo sapiens GN=ATG5 PE=1 SV=2,275,12.36,12.36,5.091,2,4,3,0,1,1,0,4.14E-39,1,1,2717.872879,3618.094128,4243.372304,5906.447055,5201.147198,4030.378513,4883.857156,6134.239124,2689.550568,6265.878158,Q9H1Y0|Q9H1Y0-2,ATG5
PG247918,sp|Q96GX2|A7L3B_HUMAN Putative ataxin-7-like protein 3B OS=Homo sapiens GN=ATXN7L3B PE=3 SV=2,97,30.93,30.93,0,1,2,2,0,1,1,0,8.22E-27,1,1,2742.470213,4097.632337,5358.829827,5485.291138,5318.311201,4898.228622,7077.05621,2510.964502,6363.214826,2844.257191,Q96GX2,ATXN7L3B
PG250630,sp|O75153|CLU_HUMAN Clustered mitochondria protein homolog OS=Homo sapiens GN=CLUH PE=1 SV=2,1309,37.89,6.188,5.577,1,110,42,34,13,12,11,0,1,1,2788.748333,3259.093331,3786.981339,4613.077613,4083.081581,6617.551931,2169.112382,5175.106198,6551.757176,6943.304891,O75153,CLUH
PG246605,sp|P15923|TFE2_HUMAN Transcription factor E2-alpha OS=Homo sapiens GN=TCF3 PE=1 SV=1,654,34.1,2.752,5.505,1,56,15,13,6,5,4,5.24E-212,1,1,2820.497025,2723.181435,1715.665474,1440.489373,1348.39787,2303.604646,1218.110218,4211.354212,944.4861227,2382.437745,P15923,TCF3
PG242485,sp|Q9H496|IFG15_HUMAN Torsin-1A-interacting protein 2; isoform IFRG15 OS=Homo sapiens GN=TOR1AIP2 PE=1 SV=1,131,32.06,32.06,0,1,4,3,0,1,1,0,4.15E-41,1,1,2837.699062,4505.325673,4432.538318,3907.241155,2078.379572,2297.397558,1763.047209,4842.408042,4814.477478,5079.207124,Q9H496,TOR1AIP2
PG246850,sp|O43493|TGON2_HUMAN Trans-Golgi network integral membrane protein 2 OS=Homo sapiens GN=TGOLN2 PE=1 SV=2,480,18.54,18.54,0,6,12,8,0,1,1,0,8.05E-103,1,1,2886.409538,4042.393289,3438.569821,4668.094005,5674.307388,5745.613611,5090.259118,6631.729743,4588.606973,7191.811968,O43493|O43493-2|O43493-3|O43493-5|F8W8W7|J3KQ45,TGOLN2
PG250208,sp|Q8IWD4|CC117_HUMAN Coiled-coil domain-containing protein 117 OS=Homo sapiens GN=CCDC117 PE=1 SV=1,279,12.9,12.9,0,1,14,3,0,1,1,0,2.71E-42,1,1,2886.822217,5103.750469,5507.309175,6661.114878,5805.581296,5839.479929,5450.580932,6884.94329,5423.671916,7101.539426,Q8IWD4,CCDC117
PG245333,sp|Q5TC82|RC3H1_HUMAN Roquin-1 OS=Homo sapiens GN=RC3H1 PE=1 SV=1,1133,6.973,6.973,0,2,8,4,0,1,1,0,3.96E-67,1,1,2910.972682,4156.921849,3968.096778,6024.617309,5227.565702,7706.488116,5723.771084,10750.02782,6389.031034,4927.3295,Q5TC82|Q5TC82-2,RC3H1
PG242876,sp|Q969R8|ITFG2_HUMAN Integrin-alpha FG-GAP repeat-containing protein 2 OS=Homo sapiens GN=ITFG2 PE=1 SV=1,447,5.593,5.593,3.579,1,14,3,0,1,1,0,2.10E-39,1,1,2925.906591,1565.3817,3301.617073,4035.029141,1817.009167,4892.222076,3897.883263,2400.506006,4426.061483,2271.346946,Q969R8,ITFG2
PG249261,tr|F2Z3H6|F2Z3H6_HUMAN B-cell CLL/lymphoma 7 protein family member B OS=Homo sapiens GN=BCL7B PE=1 SV=2,213,28.64,23.47,0,2,6,3,1,1,1,0,8.63E-45,1,1,2920.900023,4144.804178,6157.367675,8627.349733,6523.676441,5636.02954,5460.782859,5459.095301,5583.9207,4695.599685,Q9BQE9|F2Z3H6,BCL7B
PG247886,sp|O75063|XYLK_HUMAN Glycosaminoglycan xylosylkinase OS=Homo sapiens GN=FAM20B PE=1 SV=1,409,12.22,12.22,0,1,5,4,0,1,1,0,9.09E-48,1,1,2932.883517,1707.326146,3612.7878,4430.252882,4409.680945,2117.230857,4502.649271,4793.863663,4841.29674,5279.424274,O75063,FAM20B
PG243489,tr|H0Y322|H0Y322_HUMAN Protein lin-9 homolog (Fragment) OS=Homo sapiens GN=LIN9 PE=1 SV=1,613,16.15,16.15,0,3,27,8,0,1,1,0,3.46E-108,1,1,2945.845427,4585.088078,5707.465074,6125.37431,4397.727958,5738.969972,5386.494944,7142.498165,7962.748654,8351.135869,Q5TKA1|Q5TKA1-2|H0Y322,LIN9
PG253493,sp|Q96GY3|LIN37_HUMAN Protein lin-37 homolog OS=Homo sapiens GN=LIN37 PE=1 SV=1,246,24.8,24.8,0,1,14,4,0,1,1,0,5.32E-48,1,1,2962.506864,4276.888592,1844.489931,2149.184887,3935.808494,4066.051248,4077.090307,4932.78588,2318.233175,7462.762822,Q96GY3,LIN37
PG244822,sp|P55036|PSMD4_HUMAN 26S proteasome non-ATPase regulatory subunit 4 OS=Homo sapiens GN=PSMD4 PE=1 SV=1,377,38.73,6.897,11.14,1,56,14,12,10,8,7,6.78E-208,1,1,2989.150175,854.9099613,1370.85165,1337.036673,1059.970512,1767.019046,1359.70671,1406.547625,1231.693717,2221.515127,P55036,PSMD4
PG242757,sp|Q7L273|KCTD9_HUMAN BTB/POZ domain-containing protein KCTD9 OS=Homo sapiens GN=KCTD9 PE=1 SV=1,389,19.28,19.28,0,1,8,6,0,1,1,0,1.98E-69,1,1,2994.78409,3271.717074,3316.0152,4047.221198,1550.609574,1621.678493,2221.473881,4202.934202,4557.841126,6232.715353,Q7L273,KCTD9
