Protein Group Name,Representative Protein Description,Total Amino Acids,Sequence Coverage (%),Sequence Coverage Unshared only (%),Sequence Redundancy (%),Numbers of Proteins,# of PSMs,# of Unique Peptides,# Shared Peptides,# PSMs in Experiment,# Unique Seq in Experiment,# Shared Peptides in Experiment,P-Score,# Quantified PSMs,# Quantified Peptides,WT_0Min_(TMT 126C PCN),WT_0Min_(TMT 127N PCN),_Genome_0Min_(TMT 127C PCN),_Genome_0Min_(TMT 127C PCN),WT_60Min_(TMT 128C PCN),WT_60Min_(TMT 128C PCN),_Env_60Min_(TMT 129C PCN),_Env_60Min_(TMT 130N PCN),_Genome_60Min_(TMT 130C PCN),_Genome_60Min_(TMT 131N PCN),Uniprot IDs,Gene Names
PG246503,sp|P68371|TBB4B_HUMAN Tubulin beta-4B chain OS=Homo sapiens GN=TUBB4B PE=1 SV=1,445,84.27,2.697,29.44,1,768,31,30,83,23,22,0,1,1,39023.06315,38486.28664,32254.58908,28729.94954,33481.19007,31735.18885,31162.62926,29405.6413,31314.57989,32045.99757,P68371,TUBB4B
PG242378,sp|P61978-2|HNRPK_HUMAN Isoform 2 of Heterogeneous nuclear ribonucleoprotein K OS=Homo sapiens GN=HNRNPK,464,68.97,7.974,42.89,2,670,37,35,46,19,18,0,1,1,1531.775945,1250.517611,1245.573446,1243.890118,780.404303,1038.343486,1167.449601,1286.859248,1114.622692,1649.194275,P61978|P61978-2,HNRNPK
PG242379,sp|P61978-3|HNRPK_HUMAN Isoform 3 of Heterogeneous nuclear ribonucleoprotein K OS=Homo sapiens GN=HNRNPK,440,67.27,5,41.82,1,678,38,35,46,19,18,0,1,1,11242.38563,12615.1791,10280.53527,11862.12183,12468.70365,9337.327929,11599.21164,10959.11337,11502.64026,10150.4984,P61978-3,HNRNPK
PG263150,tr|A9Z1X7|A9Z1X7_HUMAN Serine/arginine repetitive matrix protein 1 OS=Homo sapiens GN=SRRM1 PE=1 SV=1,913,59.47,20.81,35.71,1,1691,102,74,8,7,6,0,1,1,3053.999363,5135.628567,13141.13149,9538.656693,9462.35155,9757.251494,10950.7721,11836.04024,9868.19328,10660.03273,A9Z1X7,SRRM1
PG254577,sp|Q8NC51-2|PAIRB_HUMAN Isoform 2 of Plasminogen activator inhibitor 1 RNA-binding protein OS=Homo sapiens GN=SERBP1,402,67.91,8.209,28.86,1,164,35,30,23,17,16,0,1,1,8239.023682,8270.578706,10894.83515,12457.87393,8580.143351,11132.69844,9675.826403,14072.29904,9559.686368,9879.20016,Q8NC51-2,SERBP1
PG266662,tr|E7EQT4|E7EQT4_HUMAN Apoptotic chromatin condensation inducer in the nucleus OS=Homo sapiens GN=ACIN1 PE=1 SV=2,1301,49.65,4.458,22.37,1,472,73,69,22,20,19,0,1,1,17997.25075,16930.3831,19369.65671,18273.80794,22468.83524,19775.43299,20929.27713,18340.79817,22063.82701,21571.32309,E7EQT4,ACIN1
PG249190,tr|E9PK91|E9PK91_HUMAN Bcl-2-associated transcription factor 1 OS=Homo sapiens GN=BCLAF1 PE=1 SV=1,871,62.46,1.837,38.69,2,996,88,87,18,17,16,0,1,1,7190.062174,6814.950467,8654.597264,9017.582931,9013.061039,8745.751657,6962.656813,7690.770355,7346.516358,8057.565221,Q9NYF8-3|E9PK91,BCLAF1
PG242816,sp|P46013|KI67_HUMAN Proliferation marker protein Ki-67 OS=Homo sapiens GN=MKI67 PE=1 SV=2,3256,59.74,5.252,32.99,1,872,209,188,55,53,52,0,1,1,20208.82663,21596.82343,23831.85421,20842.36622,15375.14987,23687.13812,22019.04521,24453.16993,24152.78889,25147.56248,P46013,MKI67
PG252580,sp|Q96AE4-2|FUBP1_HUMAN Isoform 2 of Far upstream element-binding protein 1 OS=Homo sapiens GN=FUBP1,653,44.1,3.216,12.4,1,143,29,27,23,20,19,0,1,1,2378.683773,2306.412494,3000.013458,2979.304998,3045.598045,3477.994575,1670.609896,3034.539202,2530.94234,2500.875715,Q96AE4-2,FUBP1
PG265550,tr|H3BP71|H3BP71_HUMAN E3 ubiquitin-protein ligase BRE1B OS=Homo sapiens GN=RNF40 PE=1 SV=2,961,38.29,1.873,9.261,1,97,40,39,14,14,13,0,1,1,3853.541178,4035.164885,3181.044288,4059.33984,4238.795334,4444.81571,4173.283335,3713.60075,4299.484534,3134.387417,H3BP71,RNF40
PG245057,sp|Q5T8P6|RBM26_HUMAN RNA-binding protein 26 OS=Homo sapiens GN=RBM26 PE=1 SV=3,1007,22.44,1.49,6.356,2,154,26,25,7,7,6,0,1,1,10190.04811,9209.951012,9488.249459,9120.249945,7183.25921,9547.466187,8585.437577,9386.185524,9394.715418,9299.668119,Q5T8P6|Q5T8P6-2,RBM26
PG262640,tr|H3BQK9|H3BQK9_HUMAN Microtubule-actin cross-linking factor 1; isoforms 1/2/3/5 OS=Homo sapiens GN=MACF1 PE=1 SV=1,7592,15.58,0.5137,1.515,2,208,101,97,25,25,24,0,1,1,5125.009401,5415.39038,6475.987937,5217.504161,5976.590899,7412.553849,5374.609179,6222.975568,5205.724188,5339.519047,H3BQK9|H3BPE1,MACF1
PG254150,sp|P49790|NU153_HUMAN Nuclear pore complex protein Nup153 OS=Homo sapiens GN=NUP153 PE=1 SV=2,1475,32.54,1.288,4.339,1,142,40,39,9,9,8,0,1,1,5539.60325,6474.495461,7111.489232,5380.421378,5901.352942,6292.621023,6569.36744,5420.072463,6734.945869,6687.685656,P49790,NUP153
PG249288,sp|P46379-3|BAG6_HUMAN Isoform 3 of Large proline-rich protein BAG6 OS=Homo sapiens GN=BAG6,1162,35.97,8.606,9.122,5,222,38,27,12,12,11,0,1,1,26362.98963,25025.1198,27199.34556,29099.79645,32380.49756,28150.72049,29347.39412,26083.2478,31663.13654,31236.75615,P46379|P46379-2|P46379-3|A0A024RCR6|A0A0G2JK23,BAG6|BAT3
PG257797,tr|C9JKA9|C9JKA9_HUMAN Kinesin-like protein KIF15 OS=Homo sapiens GN=KIF15 PE=1 SV=1,1023,33.63,5.083,4.203,1,90,34,29,12,11,10,0,1,1,19320.9328,19883.74119,16379.04082,19819.32489,15767.95191,18505.46552,17980.95071,18687.49368,17874.89628,18014.96924,C9JKA9,KIF15
PG245366,sp|Q9BWF3|RBM4_HUMAN RNA-binding protein 4 OS=Homo sapiens GN=RBM4 PE=1 SV=1,364,56.04,14.56,11.81,1,85,24,21,11,11,10,0,1,1,22045.21946,22608.95334,23171.5531,23874.58159,22868.87874,20866.32256,20118.01669,19939.25639,20726.29848,24663.64544,Q9BWF3,RBM4
PG242773,sp|O00139-2|KIF2A_HUMAN Isoform 2 of Kinesin-like protein KIF2A OS=Homo sapiens GN=KIF2A,660,47.58,2.727,9.394,1,85,31,30,14,14,13,0,1,1,3945.634352,3900.411996,4307.982626,5445.140617,3350.686648,4162.974867,4672.840895,5380.860351,5120.190851,4389.490857,O00139-2,KIF2A
PG244840,sp|Q14671|PUM1_HUMAN Pumilio homolog 1 OS=Homo sapiens GN=PUM1 PE=1 SV=3,1186,25.21,1.265,2.192,1,97,25,24,11,9,8,0,1,1,5339.41792,6303.435868,6430.960011,5787.524979,6004.459469,5362.168481,5627.803218,5021.566274,5114.422035,5665.488293,Q14671,PUM1
PG244841,tr|Q5T1Z8|Q5T1Z8_HUMAN Pumilio homolog 1 OS=Homo sapiens GN=PUM1 PE=1 SV=1,1224,24.59,1.389,2.124,4,98,25,24,11,9,8,0,1,1,6565.618986,6800.094085,5001.40715,7047.853793,5329.30308,5228.633061,6363.727199,5452.058078,5315.79933,5552.647621,Q14671-2|Q14671-3|Q5T1Z4|Q5T1Z8,PUM1
PG260035,tr|B7Z645|B7Z645_HUMAN Heterogeneous nuclear ribonucleoprotein Q OS=Homo sapiens GN=SYNCRIP PE=1 SV=1,464,52.37,2.155,12.07,1,125,25,24,19,14,13,0,1,1,6045.654613,4767.99195,4829.553591,5527.851854,4806.239782,5207.708554,4625.59278,6138.226076,6237.856976,5638.49454,B7Z645,SYNCRIP
PG254630,sp|O00541|PESC_HUMAN Pescadillo homolog OS=Homo sapiens GN=PES1 PE=1 SV=1,588,47.62,5.102,7.313,2,86,28,27,19,16,15,0,1,1,1367.786772,1282.207868,1006.330971,2304.455608,1400.964162,2082.010469,1793.505352,1639.47091,1544.564808,1658.831111,O00541|B5MCF9,PES1
PG254177,sp|P06748|NPM_HUMAN Nucleophosmin OS=Homo sapiens GN=NPM1 PE=1 SV=2,294,84.69,12.59,53.74,1,387,33,29,19,7,6,0,1,1,14210.13037,15814.80629,15136.6483,15183.10952,15084.00625,15790.84817,14291.53752,13002.5162,11239.85111,11994.98098,P06748,NPM1
PG258723,tr|A0A0A0MR07|A0A0A0MR07_HUMAN Proto-oncogene vav OS=Homo sapiens GN=VAV1 PE=1 SV=1,823,39.13,4.374,6.926,1,65,31,29,20,20,18,0,1,1,14304.83546,11932.1343,8748.46682,10620.5589,10655.00003,7742.810523,12396.78271,10253.52051,9151.336039,9250.487135,A0A0A0MR07,VAV1
PG243526,sp|P42167|LAP2B_HUMAN Lamina-associated polypeptide 2; isoforms beta/gamma OS=Homo sapiens GN=TMPO PE=1 SV=2,454,62.56,16.52,31.06,1,271,33,24,14,13,12,0,1,1,10869.74659,12050.46966,13795.51643,12123.61966,8777.331243,14649.49999,11593.87656,12845.64655,12434.93089,13117.0952,P42167,TMPO
PG243527,sp|P42167-2|LAP2B_HUMAN Isoform Gamma of Lamina-associated polypeptide 2; isoforms beta/gamma OS=Homo sapiens GN=TMPO,345,63.48,2.899,32.17,1,206,26,24,14,13,12,0,1,1,4823.681818,5464.444786,7158.790583,4976.093759,5105.392892,6907.009528,5645.136748,7098.642087,7220.791595,6454.163377,P42167-2,TMPO
PG258168,tr|A0A0A0MR66|A0A0A0MR66_HUMAN RNA binding motif protein 10; isoform CRA_d OS=Homo sapiens GN=RBM10 PE=1 SV=1,995,34.37,9.246,14.37,1,185,36,28,5,5,4,0,1,1,12377.10918,13635.31267,12235.03137,11861.00713,12863.53182,12824.66338,13243.17678,12312.98941,13152.41147,12858.58972,A0A0A0MR66,RBM10
PG251410,sp|O15523|DDX3Y_HUMAN ATP-dependent RNA helicase DDX3Y OS=Homo sapiens GN=DDX3Y PE=1 SV=2,660,48.18,3.636,11.06,2,192,34,31,27,19,18,0,1,1,14816.63527,13048.45246,21456.65566,14979.00353,16495.8459,13979.06964,16752.72885,14816.6759,15647.5492,16128.82608,O15523|O15523-2,DDX3Y
PG268128,tr|C9J840|C9J840_HUMAN Mitogen-activated protein kinase kinase kinase kinase 4 OS=Homo sapiens GN=MAP4K4 PE=1 SV=3,987,45.49,1.925,12.46,1,200,46,45,23,21,20,0,1,1,8973.210281,7697.886174,10144.89734,9571.085999,8015.873488,8960.943559,9777.763698,6957.990458,8288.247501,7360.888925,C9J840,MAP4K4
PG247551,sp|O95071|UBR5_HUMAN E3 ubiquitin-protein ligase UBR5 OS=Homo sapiens GN=UBR5 PE=1 SV=2,2799,21.01,0.2858,3.18,2,158,52,51,14,14,13,0,1,1,30990.36317,32430.30827,28291.86141,30673.65637,30095.90775,29613.60568,26021.29174,26405.72584,24940.01129,29365.92792,O95071|O95071-2,UBR5
PG262256,tr|E7ESB6|E7ESB6_HUMAN PERQ amino acid-rich with GYF domain-containing protein 2 (Fragment) OS=Homo sapiens GN=GIGYF2 PE=1 SV=1,836,30.98,3.11,8.971,1,107,31,29,12,12,11,0,1,1,5886.633148,6199.749874,5850.809916,6433.677885,5381.135583,5587.539093,4901.23973,5051.367351,5753.582565,6890.025275,E7ESB6,GIGYF2
PG251456,sp|P18858|DNLI1_HUMAN DNA ligase 1 OS=Homo sapiens GN=LIG1 PE=1 SV=1,919,65.07,8.923,17.63,1,305,61,55,29,25,24,0,1,1,6855.795607,6983.46484,21850.37649,20160.772,16972.41115,15772.36275,15544.60146,18563.21661,14250.34516,18196.26896,P18858,LIG1
PG249324,sp|P46100-3|ATRX_HUMAN Isoform 2 of Transcriptional regulator ATRX OS=Homo sapiens GN=ATRX,2375,24.13,1.011,4.463,1,145,43,42,6,6,5,0,1,1,2072.357553,1892.460578,1837.842951,1994.472602,2127.933037,1929.32272,2220.12947,2733.668745,2483.200228,2056.818569,P46100-3,ATRX
PG244554,sp|Q15154|PCM1_HUMAN Pericentriolar material 1 protein OS=Homo sapiens GN=PCM1 PE=1 SV=4,2024,32.91,0.9881,6.324,1,271,61,57,21,19,18,0,1,1,10861.09618,13281.72109,22491.55608,23610.15871,25979.63763,23388.04912,23525.84875,23309.18671,25593.1399,26469.0501,Q15154,PCM1
PG243049,sp|O60271-9|JIP4_HUMAN Isoform 6 of C-Jun-amino-terminal kinase-interacting protein 4 OS=Homo sapiens GN=SPAG9,1177,24.47,4.248,2.634,1,69,27,23,5,4,3,0,1,1,3034.180256,3592.694095,3171.608575,3648.985644,3270.869143,4148.135632,3321.824447,3297.967545,4408.928066,3777.621792,O60271-9,SPAG9
PG264523,tr|A0A088AWL3|A0A088AWL3_HUMAN Nuclear receptor corepressor 1 OS=Homo sapiens GN=NCOR1 PE=1 SV=1,2343,26.46,0.939,4.097,1,173,48,46,4,4,3,0,1,1,11059.26314,15260.25977,17220.59254,19887.45257,16003.06299,17635.17799,16810.24926,14747.44847,16623.22106,15638.81503,A0A088AWL3,NCOR1
PG249383,sp|Q6UB35|C1TM_HUMAN Monofunctional C1-tetrahydrofolate synthase; mitochondrial OS=Homo sapiens GN=MTHFD1L PE=1 SV=1,978,37.32,1.636,1.329,1,90,31,29,23,21,20,0,1,1,5016.148934,6053.830531,27485.066,19767.32712,20704.4359,15466.0735,20281.76204,16213.55127,14918.72112,15928.15973,Q6UB35,MTHFD1L
PG265264,tr|A0A087WVM4|A0A087WVM4_HUMAN Monofunctional C1-tetrahydrofolate synthase; mitochondrial OS=Homo sapiens GN=MTHFD1L PE=1 SV=1,913,39.32,1.095,1.424,1,87,30,29,23,21,20,0,1,1,24619.21669,22049.50326,21486.31524,20518.61983,19844.46353,20254.75098,18553.42088,19470.03715,19670.90912,20249.63414,A0A087WVM4,MTHFD1L
PG242086,sp|Q9NRZ9-3|HELLS_HUMAN Isoform 3 of Lymphoid-specific helicase OS=Homo sapiens GN=HELLS,806,31.39,2.233,5.087,1,72,24,23,12,12,11,0,1,1,2608.320764,2126.317926,3058.579335,2813.406299,3118.42061,2454.330483,3063.379868,1355.010586,2223.18174,2527.142329,Q9NRZ9-3,HELLS
PG259999,tr|A0A0B4J1V9|A0A0B4J1V9_HUMAN Helicase; lymphoid-specific; isoform CRA_b OS=Homo sapiens GN=HELLS PE=1 SV=1,884,27.6,1.018,4.638,1,70,24,23,12,12,11,0,1,1,8257.619887,8430.899585,10766.62448,9325.110342,7424.273125,9558.59891,10874.14715,8337.668866,9463.310923,9865.961355,A0A0B4J1V9,HELLS
PG242414,sp|Q99081|HTF4_HUMAN Transcription factor 12 OS=Homo sapiens GN=TCF12 PE=1 SV=1,682,48.97,8.798,8.065,1,165,26,23,7,7,6,0,1,1,4409.233659,3729.355646,3990.277446,4271.185234,3914.876596,4667.023945,4787.540689,3280.982727,5120.698907,4961.52052,Q99081,TCF12
PG263591,tr|E9PLY5|E9PLY5_HUMAN Microtubule-actin cross-linking factor 1; isoforms 1/2/3/5 (Fragment) OS=Homo sapiens GN=MACF1 PE=1 SV=1,1375,21.96,0.8727,0,1,50,26,25,8,8,7,0,1,1,6445.971417,8304.098137,7170.752315,6955.691425,6862.328186,5951.366533,5762.044751,7731.199439,5368.262199,7256.744507,E9PLY5,MACF1
PG246748,sp|P06753|TPM3_HUMAN Tropomyosin alpha-3 chain OS=Homo sapiens GN=TPM3 PE=1 SV=2,285,56.49,9.474,29.12,1,127,28,26,20,15,14,0,1,1,17979.30056,17122.64349,17380.79998,17165.86403,16642.70403,13973.51698,14772.42505,15481.41581,16405.94618,16596.00512,P06753,TPM3
PG246944,sp|Q5JTV8-3|TOIP1_HUMAN Isoform 3 of Torsin-1A-interacting protein 1 OS=Homo sapiens GN=TOR1AIP1,584,39.38,2.568,16.78,1,108,26,25,10,9,8,0,1,1,10529.33301,11562.96872,13125.97168,12033.32758,9356.506844,13152.6834,10888.93362,10945.7382,11995.14583,13034.83143,Q5JTV8-3,TOR1AIP1
PG258196,tr|C9IZ08|C9IZ08_HUMAN GTPase-activating protein and VPS9 domain-containing protein 1 (Fragment) OS=Homo sapiens GN=GAPVD1 PE=1 SV=1,988,30.06,2.834,5.364,1,100,24,22,8,7,6,0,1,1,9293.887401,8156.301609,26039.64506,20005.01976,20826.78931,17451.30708,24797.67894,19564.29268,20421.09391,19075.79075,C9IZ08,GAPVD1
PG243710,sp|Q9HCE1-2|MOV10_HUMAN Isoform 2 of Putative helicase MOV-10 OS=Homo sapiens GN=MOV10,900,33.89,2.556,3.778,1,64,28,26,19,17,16,0,1,1,19061.54287,22313.92979,20401.36213,19727.59007,17774.31056,15802.44484,17832.57412,18326.97651,16941.38279,19102.86811,Q9HCE1-2,MOV10
PG253615,sp|P27816-5|MAP4_HUMAN Isoform 5 of Microtubule-associated protein 4 OS=Homo sapiens GN=MAP4,809,41.29,7.046,6.428,1,157,29,27,13,12,11,0,1,1,1183.129349,1471.755578,1217.718601,1444.629164,1725.22129,1741.718011,2225.345607,1749.42937,1239.31617,1443.995767,P27816-5,MAP4
PG247294,sp|Q14157-5|UBP2L_HUMAN Isoform 5 of Ubiquitin-associated protein 2-like OS=Homo sapiens GN=UBAP2L,1104,22.46,1.268,4.801,2,115,21,20,9,9,8,0,1,1,13036.70706,12982.55959,13416.67253,11558.76605,10714.16433,12017.24046,11427.18319,9920.438877,14917.67903,14188.31678,Q14157|Q14157-5,UBAP2L
PG247295,sp|Q14157-1|UBP2L_HUMAN Isoform 2 of Ubiquitin-associated protein 2-like OS=Homo sapiens GN=UBAP2L,983,24.52,0.7121,5.392,2,116,21,20,9,9,8,0,1,1,25031.94797,26752.21936,25475.06868,28698.87873,28905.17853,21938.09925,24443.18369,22951.32164,27130.46063,24415.28476,Q14157-1|Q14157-4,UBAP2L
PG259633,tr|H0Y5F5|H0Y5F5_HUMAN Polyadenylate-binding protein (Fragment) OS=Homo sapiens GN=PABPC4 PE=1 SV=1,550,44.55,5.091,16.73,1,86,27,24,15,12,11,0,1,1,10165.18196,10965.79817,29090.47599,24494.63228,21845.46417,22183.84698,24840.79871,25764.82734,27419.99311,24763.82046,H0Y5F5,PABPC4
PG265492,tr|H0YAR2|H0YAR2_HUMAN Polyadenylate-binding protein 1 (Fragment) OS=Homo sapiens GN=PABPC1 PE=1 SV=1,284,69.72,4.225,25.35,1,111,26,25,14,10,9,0,1,1,24649.11668,28943.29845,24924.73811,28016.34937,29468.88185,25470.08191,24771.17058,27129.87069,28031.42826,24077.66175,H0YAR2,PABPC1
PG250258,sp|Q5SW79|CE170_HUMAN Centrosomal protein of 170 kDa OS=Homo sapiens GN=CEP170 PE=1 SV=1,1584,28.91,1.515,5.808,1,195,44,42,3,3,2,0,1,1,10931.74433,9589.687898,9140.234246,10125.92385,10043.41702,11131.49338,9935.889302,8720.900034,9843.744971,10812.03891,Q5SW79,CEP170
PG250348,sp|Q8TDI0|CHD5_HUMAN Chromodomain-helicase-DNA-binding protein 5 OS=Homo sapiens GN=CHD5 PE=1 SV=1,1954,15.71,0.6653,1.075,1,98,25,24,19,15,14,0,1,1,2903.240595,3472.471722,4408.799423,2548.005339,3401.76379,5646.725258,3659.306367,4644.947495,3686.947174,4933.28156,Q8TDI0,CHD5
PG260632,tr|A9IYQ1|A9IYQ1_HUMAN Sister chromatid cohesion protein PDS5 homolog B (Fragment) OS=Homo sapiens GN=PDS5B PE=1 SV=1,302,69.21,5.298,31.79,1,115,26,24,5,5,4,0,1,1,4579.268323,6570.785621,7315.186843,6910.091432,4161.189395,7367.72918,6481.857122,6986.486064,8042.882235,6208.348073,A9IYQ1,PDS5B
PG258655,tr|F8VZX2|F8VZX2_HUMAN Poly(rC)-binding protein 2 OS=Homo sapiens GN=PCBP2 PE=1 SV=1,321,77.57,7.477,19.63,1,208,23,20,18,12,11,0,1,1,8050.291666,7346.848554,7301.643301,7064.27575,7066.110053,5445.228055,7247.890304,6641.527914,6029.23398,5741.635535,F8VZX2,PCBP2
PG254320,sp|O96028|NSD2_HUMAN Histone-lysine N-methyltransferase NSD2 OS=Homo sapiens GN=NSD2 PE=1 SV=1,1365,28.79,8.938,4.982,1,146,39,29,5,5,4,0,1,1,6790.123403,7980.105997,6856.558357,6117.367299,7697.989788,6815.726271,7516.654361,7385.254147,7620.128631,7417.578731,O96028,NSD2
PG252886,sp|Q3V6T2|GRDN_HUMAN Girdin OS=Homo sapiens GN=CCDC88A PE=1 SV=2,1871,15.18,14.48,3.474,4,67,29,2,1,1,0,0,1,1,1683.626052,1944.085436,2085.799413,2228.975178,1219.570405,1730.504705,1101.924122,1876.170716,1536.553073,1245.54325,Q3V6T2|Q3V6T2-2|Q3V6T2-3|Q3V6T2-4,CCDC88A
PG249745,sp|Q14004|CDK13_HUMAN Cyclin-dependent kinase 13 OS=Homo sapiens GN=CDK13 PE=1 SV=2,1512,20.97,16.67,5.225,2,87,24,5,4,4,3,1.16836643928538E-319,1,1,4107.066212,4091.106703,3719.792836,3526.646538,4728.24258,3136.24514,3937.769396,4411.022293,4758.900754,4217.4795,Q14004|Q14004-2,CDK13
PG244789,sp|Q5JSZ5|PRC2B_HUMAN Protein PRRC2B OS=Homo sapiens GN=PRRC2B PE=1 SV=2,2229,13.82,12.7,3.096,1,77,25,4,4,4,3,2.28849724956728E-318,1,1,6293.763578,8258.103678,6719.40032,6645.592958,7102.230327,6118.598587,5702.797823,8352.181751,7571.780993,6143.228484,Q5JSZ5,PRRC2B
PG255949,tr|A0A0A0MT33|A0A0A0MT33_HUMAN Protein SCAF8 OS=Homo sapiens GN=SCAF8 PE=1 SV=1,1349,21.13,19.72,1.038,2,51,23,2,2,2,1,1.06496838092372E-317,1,1,5332.888114,4764.803424,6511.73088,6521.437786,6769.944712,6062.669923,5225.028917,5748.994296,8245.992763,9204.120162,Q9UPN6|A0A0A0MT33,SCAF8
PG246671,sp|Q9Y4G6|TLN2_HUMAN Talin-2 OS=Homo sapiens GN=TLN2 PE=1 SV=4,2542,9.559,3.186,0.9441,1,58,25,19,9,9,8,2.40373279471996E-315,1,1,2206.231638,2969.922924,1838.94201,2830.336262,2036.257489,3219.610323,3151.364744,2511.275124,2589.998903,2780.149982,Q9Y4G6,TLN2
PG246666,tr|H0YL70|H0YL70_HUMAN Transducin-like enhancer protein 3 OS=Homo sapiens GN=TLE3 PE=1 SV=1,782,34.4,4.22,4.348,10,90,23,21,7,6,5,2.17E-306,1,1,13648.30198,14365.20472,14993.90483,12955.78116,13627.69161,13862.8135,15413.13849,14532.72167,13362.25337,11422.75817,Q04726|Q04726-2|Q04726-3|Q04726-4|Q04726-5|Q04726-6|Q04726-7|H0YL70|H0YKT5|H0YKN8,TLE3
PG242601,sp|Q15056|IF4H_HUMAN Eukaryotic translation initiation factor 4H OS=Homo sapiens GN=EIF4H PE=1 SV=5,248,62.9,8.468,44.76,1,100,25,22,9,7,6,5.83E-302,1,1,8569.019548,8223.64138,8411.47772,7948.77686,12436.94392,11198.42942,10378.28662,9587.611901,12455.5372,13983.79167,Q15056,EIF4H
