Protein Group Name	Representative Protein Description	Total Amino Acids	Sequence Coverage (%)	Sequence Coverage Unshared only (%)	Sequence Redundancy (%)	Numbers of Proteins	# of PSMs	# of Unique Peptides	# Shared Peptides	# PSMs in Experiment	# Unique Seq in Experiment	# Shared Peptides in Experiment	P-Score	# Quantified PSMs	# Quantified Peptides	_Genome_0Min_(TMT 127C PCN)	_Genome_0Min_(TMT 128N PCN)	_Env_60Min_(TMT 129C PCN)	_Env_60Min_(TMT 130N PCN)	_Genome_60Min_(TMT 130C PCN)	_Genome_60Min_(TMT 131N PCN)	Uniprot IDs	Gene Names	Uniprot	tmpSum	0min_1	0min_2	60min_1	60min_2	mean0min	mean60min	log060	pVal060	qVal060
PG251579	tr|A0A0G2JH68|A0A0G2JH68_HUMAN Protein diaphanous homolog 1 OS=Homo sapiens GN=DIAPH1 PE=1 SV=1	1272	51.57	51.02	11.4	2	182	63	1	54	41	1	0.0	53	40	1002061.14	1017513.175	988142.5925	940117.2752	977137.6409	948046.1548	O60610|A0A0G2JH68	DIAPH1	A0A0G2JH68	4050362.5154	1083534.092	992296.912425	964586.152275	992296.912425	1037915.5022125	978441.53235	-0.08513144815677698	0.327082434084278	0.425712666865896
PG247965	sp|P53396|ACLY_HUMAN ATP-citrate synthase OS=Homo sapiens GN=ACLY PE=1 SV=3	1101	62.31	62.31	14.99	1	442	67	0	75	48	0	0.0	75	48	941819.149	997115.6911	959153.5353	964045.9293	946075.2275	938623.6223	P53396	ACLY	P53396	4044252.5472000004	1008903.274675	999230.571375	1008903.274675	1020855.02305	1004066.923025	1014879.1488625	0.015452511526743687	0.818047445730253	0.637411411679921
PG246589	sp|P48643|TCPE_HUMAN T-complex protein 1 subunit epsilon OS=Homo sapiens GN=CCT5 PE=1 SV=1	541	71.9	68.95	26.8	1	263	45	2	54	33	1	0.0	52	32	897096.6275	1010332.069	896621.1283	916564.7403	864145.9244	884066.5291	P48643	CCT5	P48643	3872622.5976000004	911367.5282000001	1008903.274675	992296.912425	958547.66765	960135.4014375	975422.2900375	0.022789066996496132	0.775590034827382	0.622303368725113
PG254266	sp|P19338|NUCL_HUMAN Nucleolin OS=Homo sapiens GN=NCL PE=1 SV=3	710	56.62	56.62	37.18	1	638	78	0	48	36	0	0.0	48	36	1056535.641	1074003.362	960610.8453	961502.796	938703.6214	957742.9229	P19338	NCL	P19338	3740324.5236000004	839622.568225	857693.09465	999230.571375	1008903.274675	848657.8314375	1004066.923025	0.24260053199168638	0.0144591110956407	0.129388212373005
PG246627	sp|Q9Y490|TLN1_HUMAN Talin-1 OS=Homo sapiens GN=TLN1 PE=1 SV=3	2541	55.92	50.1	8.815	1	466	129	18	69	65	8	0.0	61	57	870646.5746	872498.8227	904786.3938	895076.4381	906503.168	914203.7757	Q9Y490	TLN1	Q9Y490	3667366.4408	892169.442725	892169.442725	935425.7669500001	935425.7669500001	892169.442725	935425.7669500001	0.06830543344739907	0.331398444559623	0.428834139089804
PG259085	tr|A0A0A0MTR7|A0A0A0MTR7_HUMAN E3 ubiquitin-protein ligase RNF213 OS=Homo sapiens GN=RNF213 PE=1 SV=1	5207	26.83	26.56	2.573	1	227	120	2	89	84	1	0.0	87	82	942213.9251	950281.469	886480.8037	890863.4275	897996.1259	899605.6722	A0A0A0MTR7	RNF213	A0A0A0MTR7	3641487.4643	935425.7669500001	935425.7669500001	857693.09465	911367.5282000001	935425.7669500001	884530.311425	-0.08071158674581441	0.29638558638526	0.406205391227218
PG243481	sp|P42704|LPPRC_HUMAN Leucine-rich PPR motif-containing protein; mitochondrial OS=Homo sapiens GN=LRPPRC PE=1 SV=3	1394	60.33	59.83	18.65	1	275	82	1	59	46	0	0.0	57	45	797312.8397	806025.9346	807483.651	783484.292	790392.1922	767434.0528	P42704	LRPPRC	P42704	3586346.0056	964586.152275	964586.152275	832723.3678250001	865529.2592249999	964586.152275	849126.313525	-0.1839309179298471	0.0406768741038104	0.188434042203866
PG251623	sp|Q08211|DHX9_HUMAN ATP-dependent RNA helicase A OS=Homo sapiens GN=DHX9 PE=1 SV=4	1270	58.43	57.95	14.96	1	368	73	1	59	43	1	0.0	56	42	886558.5329	851070.9396	859339.1633	826736.8061	876719.8486	853140.4826	Q08211	DHX9	Q08211	3571696.2604	958547.66765	911367.5282000001	809980.2749	887672.77595	934957.597925	848826.525425	-0.139431197075997	0.143819217388259	0.303252680025079
PG247678	sp|P12956|XRCC6_HUMAN X-ray repair cross-complementing protein 6 OS=Homo sapiens GN=XRCC6 PE=1 SV=2	609	69.29	69.29	28.74	1	322	55	0	62	36	0	0.0	61	36	911921.3781	916940.6068	877351.1792	873455.6654	892195.6061	866853.6132	P12956	XRCC6	P12956	3562081.5838	887672.77595	865529.2592249999	892169.442725	892169.442725	876601.0175874999	892169.442725	0.02539738229820966	0.708461314753748	0.600850740107772
PG248952	sp|P25705|ATPA_HUMAN ATP synthase subunit alpha; mitochondrial OS=Homo sapiens GN=ATP5A1 PE=1 SV=1	553	63.83	62.75	23.15	1	279	40	1	44	28	0	0.0	43	28	802634.3398	760025.9886	804621.0035	762677.2107	758441.1304	757495.5163	P25705	ATP5A1	P25705	3385796.1642	865529.2592249999	839622.568225	865529.2592249999	800172.297725	852575.913725	832850.7784749999	-0.03377026636269523	0.66226472290842	0.585674506616939
PG255006	sp|P13796|PLSL_HUMAN Plastin-2 OS=Homo sapiens GN=LCP1 PE=1 SV=6	627	71.61	65.07	23.13	1	433	43	5	63	34	3	0.0	57	31	795785.9881	856727.652	821067.3521	806021.3229	819815.4688	792557.3463	P13796	LCP1	P13796	3375890.3904999997	832723.3678250001	846166.0969	887672.77595	839622.568225	839444.7323625	863647.6720875001	0.041007536553250096	0.583020514440829	0.55258315258798
PG252889	sp|P38646|GRP75_HUMAN Stress-70 protein; mitochondrial OS=Homo sapiens GN=HSPA9 PE=1 SV=2	679	66.57	66.57	29.16	1	263	53	1	47	32	0	0.0	46	32	729506.0126	764933.503	718099.848	697911.4268	681183.4749	650972.9358	P38646	HSPA9	P38646	3324295.7899	857693.09465	887672.77595	800172.297725	772509.436375	872682.9353	786340.86705	-0.15030275167384816	0.0792417882296698	0.237366358912027
PG246234	sp|P41252|SYIC_HUMAN Isoleucine--tRNA ligase; cytoplasmic OS=Homo sapiens GN=IARS PE=1 SV=2	1262	50.79	50.79	13.47	1	250	62	0	53	38	0	0.0	52	38	754655.9977	776444.6337	771743.9483	727328.7365	751549.6691	726108.2829	P41252	IARS	P41252	3284622.1484000003	846166.0969	832723.3678250001	787360.6840250001	787360.6840250001	839444.7323625	787360.6840250001	-0.0924106687274389	0.209532966971308	0.355919722366514
PG246349	sp|Q99832|TCPH_HUMAN T-complex protein 1 subunit eta OS=Homo sapiens GN=CCT7 PE=1 SV=2	543	86.19	86.19	26.15	1	290	47	0	46	34	0	0.0	45	33	780562.2715	767068.3943	766472.6608	726558.3931	736728.546	743930.1555	Q99832	CCT7	Q99832	3277128.7238999996	800172.297725	787360.6840250001	911367.5282000001	809980.2749	793766.490875	860673.9015500001	0.11675206249822304	0.237721819986402	0.374005057714118
PG246398	sp|P50990|TCPQ_HUMAN T-complex protein 1 subunit theta OS=Homo sapiens GN=CCT8 PE=1 SV=4	548	81.57	81.57	42.34	1	308	54	0	46	31	0	0.0	44	30	764808.5057	782224.7593	749327.9261	736332.7641	745294.852	725192.5866	P50990	CCT8	P50990	3274050.8215	809980.2749	809980.2749	839622.568225	832723.3678250001	809980.2749	836172.9680250001	0.045914629292736216	0.502226319301423	0.52051491815516
PG252205	sp|P68104|EF1A1_HUMAN Elongation factor 1-alpha 1 OS=Homo sapiens GN=EEF1A1 PE=1 SV=1	462	75.97	75.97	43.51	1	522	44	0	70	24	0	0.0	66	23	752610.982	756021.627	797487.1362	790454.8905	776409.8008	749795.8645	P68104	EEF1A1	P68104	3247969.0418	772509.436375	800172.297725	846166.0969	846166.0969	786340.86705	846166.0969	0.10578604791793518	0.168998165363102	0.323780125047668
PG256437	sp|P07814|SYEP_HUMAN Bifunctional glutamate/proline--tRNA ligase OS=Homo sapiens GN=EPRS PE=1 SV=5	1512	58.53	58.53	14.81	1	285	84	1	60	48	0	0.0	59	48	733815.9316	723189.7017	737972.2701	699259.2556	736129.0184	726971.0993	P07814	EPRS	P07814	3052564.9442999996	787360.6840250001	772509.436375	729553.732525	750421.706875	779935.0602000001	739987.7197	-0.07585267671552111	0.299317039160182	0.407221831120329
PG255039	sp|P07737|PROF1_HUMAN Profilin-1 OS=Homo sapiens GN=PFN1 PE=1 SV=2	140	78.57	78.57	51.43	1	307	15	0	50	11	0	8.08e-264	50	11	712899.9396	684579.9035	735449.0886	663192.9056	760442.0785	710602.6621	P07737	PFN1	P07737	2962858.9504	750421.706875	729553.732525	772509.436375	708796.98375	739987.7197	740653.2100625001	0.0012968704175210417	0.998961008349006	0.68208018096085
PG252444	sp|P49327|FAS_HUMAN Fatty acid synthase OS=Homo sapiens GN=FASN PE=1 SV=3	2511	46.52	46.24	5.615	1	312	94	1	43	41	1	0.0	42	40	679496.4323	709811.8435	698474.5594	687992.5851	681980.8506	671090.3998	P49327	FASN	P49327	2888969.1506000003	733313.297825	733313.297825	708796.98375	712632.837725	733313.297825	710714.9107375001	-0.045158734059068166	0.508345384711705	0.524086657046372
PG244844	sp|P31939|PUR9_HUMAN Bifunctional purine biosynthesis protein PURH OS=Homo sapiens GN=ATIC PE=1 SV=3	592	88.01	86.99	29.56	1	246	51	1	45	33	0	0.0	45	33	692630.7154	708109.5305	686151.8299	653569.2051	723893.6473	713090.175	P31939	ATIC	P31939	2887379.986	729553.732525	720250.09055	720250.09055	720250.09055	724901.9115375	720250.09055	-0.009287856556606779	0.889894791045603	0.656698990791785
PG247528	sp|P22314|UBA1_HUMAN Ubiquitin-like modifier-activating enzyme 1 OS=Homo sapiens GN=UBA1 PE=1 SV=3	1058	61.63	61.63	18.81	1	337	60	0	46	35	0	0.0	46	35	653318.3234	679796.2531	679082.7017	656349.3197	676614.1708	679699.8644	P22314	UBA1	P22314	2833775.8584000003	708796.98375	689155.8866	733313.297825	688375.6107	698976.435175	710844.4542624999	0.024290088015841673	0.752906373576439	0.616870871207352
PG253177	sp|P11021|GRP78_HUMAN 78 kDa glucose-regulated protein OS=Homo sapiens GN=HSPA5 PE=1 SV=2	654	59.33	58.26	28.59	1	274	46	3	52	35	2	0.0	48	33	617575.1012	640636.5327	625108.5914	621521.4794	591076.8044	599827.4944	P11021	HSPA5	P11021	2821968.9071	720250.09055	750421.706875	673707.67295	673707.67295	735335.8987125	673707.67295	-0.12628068778721144	0.118459170339347	0.281304822618198
PG251481	sp|O43143|DHX15_HUMAN Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 OS=Homo sapiens GN=DHX15 PE=1 SV=2	795	60.63	59.5	18.62	1	293	52	1	61	37	1	0.0	57	36	708200.7627	684787.3751	667590.1854	669228.33	694637.6281	697313.6013	O43143	DHX15	O43143	2760947.3632	712632.837725	700425.897275	613228.6620499999	729553.732525	706529.3674999999	671391.1972874999	-0.07359590689954311	0.483114030969381	0.514962683901777
PG256358	sp|P49588|SYAC_HUMAN Alanine--tRNA ligase; cytoplasmic OS=Homo sapiens GN=AARS PE=1 SV=2	968	48.24	48.24	10.33	1	150	45	0	30	26	0	0.0	30	26	648779.3665	689873.4752	642680.1964	606288.3905	644993.6055	613122.5037	P49588	AARS	P49588	2736960.7042	688375.6107	682600.05495	688375.6107	670916.682575	685487.8328249999	679646.1466375	-0.01234724688190158	0.854638228269251	0.648350668403366
PG247594	sp|P55060|XPO2_HUMAN Exportin-2 OS=Homo sapiens GN=CSE1L PE=1 SV=3	971	54.99	54.99	14.11	2	213	52	0	46	34	0	0.0	46	34	658667.8752	683689.3808	638228.7427	622028.4836	632056.4075	626173.0658	P55060|P55060-3	CSE1L	P55060	2726490.2621	695173.2178249999	688375.6107	682600.05495	646751.56795	691774.4142624999	664675.81145	-0.057650802646654176	0.435057911479491	0.489628225334132
PG251093	sp|P14625|ENPL_HUMAN Endoplasmin OS=Homo sapiens GN=HSP90B1 PE=1 SV=1	803	58.41	56.66	19.8	1	255	53	2	44	27	2	0.0	40	25	590418.4916	600227.8172	586647.6354	592146.8598	537994.7709	548412.6398	P14625	HSP90B1	P14625	2686018.2267	682600.05495	712632.837725	649769.032775	635057.557975	697616.4463375	642413.295375	-0.11893230095587734	0.141352214822708	0.299993480219419
PG244907	tr|A0A0A0MT22|A0A0A0MT22_HUMAN Protein tyrosine phosphatase; receptor type; C; isoform CRA_d OS=Homo sapiens GN=PTPRC PE=1 SV=1	1306	42.42	42.42	10.49	4	162	54	0	40	34	0	0.0	40	34	726455.3145	744810.3928	728523.1723	718870.0503	688202.6662	669103.8971	P08575|P08575-2|A0A0A0MT22|X6R433	PTPRC	A0A0A0MT22	2675645.3007000005	616050.001775	629605.10945	712632.837725	733313.297825	622827.5556125001	722973.067775	0.21510913019225394	0.0239180598192765	0.15527714549294
PG254610	sp|P07237|PDIA1_HUMAN Protein disulfide-isomerase OS=Homo sapiens GN=P4HB PE=1 SV=3	508	62.4	62.4	20.08	1	137	38	0	31	25	0	0.0	31	25	584167.9959	624705.4512	615205.9461	573337.17	556364.7237	558779.1834	P07237	P4HB	P07237	2675482.745	700425.897275	708796.98375	663595.322975	601475.122675	704611.4405125	632535.2228250001	-0.15568208077519743	0.105198513036313	0.267473182348977
PG242332	sp|Q9Y4L1|HYOU1_HUMAN Hypoxia up-regulated protein 1 OS=Homo sapiens GN=HYOU1 PE=1 SV=1	999	43.84	43.84	13.21	1	168	41	0	36	28	0	0.0	35	28	610434.3416	636962.0146	596049.0744	598349.8339	580828.8853	571972.062	Q9Y4L1	HYOU1	Q9Y4L1	2673939.0422	689155.8866	695173.2178249999	642845.8135	628228.8496000001	692164.5522125	635537.33155	-0.12313818690473342	0.116697643026657	0.280260415464383
PG253672	sp|P25205-2|MCM3_HUMAN Isoform 2 of DNA replication licensing factor MCM3 OS=Homo sapiens GN=MCM3	853	66.59	66.59	23.8	2	389	66	0	47	34	0	0.0	45	33	702944.2447	673052.5233	679757.6294	643871.2307	643775.9711	636512.8398	P25205|P25205-2	MCM3	P25205-2	2667474.0434999997	646751.56795	646751.56795	700425.897275	689155.8866	646751.56795	694790.8919375	0.1033671952747059	0.168823325095438	0.323685072636809
PG254341	sp|Q14980|NUMA1_HUMAN Nuclear mitotic apparatus protein 1 OS=Homo sapiens GN=NUMA1 PE=1 SV=2	2115	59.34	58.72	18.3	2	558	128	2	43	41	0	0.0	42	40	677130.8599	663835.2065	657132.3209	655915.731	667835.9597	666703.0409	Q14980|Q14980-2	NUMA1	Q14980	2638744.9598	636512.27065	670916.682575	646751.56795	695173.2178249999	653714.4766124999	670962.3928875	0.037571260100168105	0.646599447214846	0.580737997793483
PG256526	sp|P31948-2|STIP1_HUMAN Isoform 2 of Stress-induced-phosphoprotein 1 OS=Homo sapiens GN=STIP1	590	68.14	68.14	34.75	2	232	58	0	47	30	0	0.0	46	30	656699.9733	707214.0769	651203.8814	650498.1454	629858.2853	613412.5732	P31948|P31948-2	STIP1	P31948-2	2628607.6733	629605.10945	663595.322975	689155.8866	656923.444	646600.2162125	673039.6653	0.05781754206838424	0.456889946627266	0.500235085418241
PG246778	sp|P11388-4|TOP2A_HUMAN Isoform 4 of DNA topoisomerase 2-alpha OS=Homo sapiens GN=TOP2A	1612	49.81	41.07	12.9	4	379	85	18	60	49	13	0.0	44	36	824146.5419	691407.1205	711342.6063	820601.9754	753499.7537	764895.2079	P11388|P11388-2|P11388-3|P11388-4	TOP2A	P11388-4	2610342.6104	670916.682575	636512.27065	491227.87685	857693.09465	653714.4766124999	674460.48575	0.04507327701587056	0.972892542690393	0.674882679399716
PG252694	sp|P11413-2|G6PD_HUMAN Isoform Long of Glucose-6-phosphate 1-dehydrogenase OS=Homo sapiens GN=G6PD	561	63.28	63.28	15.15	3	155	36	0	36	27	0	0.0	36	27	602708.5269	639562.6092	632461.9142	606172.1236	588840.7627	575179.2901	P11413|P11413-2|P11413-3	G6PD	P11413-2	2589795.4009	656923.444	656923.444	652441.542875	623339.1034	656923.444	637890.3231375001	-0.04241685989450549	0.550898936139251	0.539561726246425
PG254159	sp|Q92621|NU205_HUMAN Nuclear pore complex protein Nup205 OS=Homo sapiens GN=NUP205 PE=1 SV=3	2012	30.32	30.32	3.529	1	188	57	0	38	34	0	0.0	38	34	629830.1905	623708.5004	600845.6229	592282.1476	588583.4994	595211.1153	Q92621	NUP205	Q92621	2587846.6345	673707.67295	673707.67295	628228.8496000001	617309.393975	673707.67295	622769.1217875001	-0.11342531615888346	0.138523134395742	0.297557854293813
PG247812	sp|P08670|VIME_HUMAN Vimentin OS=Homo sapiens GN=VIM PE=1 SV=4	466	91.85	86.7	56.87	1	570	64	4	49	35	2	0.0	45	33	647401.8365	674539.324	642333.5223	629866.4621	658498.7119	671226.87	P08670	VIM	P08670	2586584.5381	635057.557975	631300.3283	695173.2178249999	631300.3283	633178.9431375	663236.7730624999	0.0669107207420182	0.442465628769608	0.492974873184869
PG246314	sp|P78371|TCPB_HUMAN T-complex protein 1 subunit beta OS=Homo sapiens GN=CCT2 PE=1 SV=4	535	86.92	86.92	23.18	1	357	47	0	54	32	0	0.0	54	32	607178.7583	650899.3542	591874.8455	601542.6579	602363.4003	595054.3839	P78371	CCT2	P78371	2581362.1187	628228.8496000001	652441.542875	670916.682575	625592.5193	640335.1962375001	648254.6009375	0.017733230176159825	0.825499217659764	0.640072870745851
PG254244	sp|Q14978-2|NOLC1_HUMAN Isoform Beta of Nucleolar and coiled-body phosphoprotein 1 OS=Homo sapiens GN=NOLC1	709	56.42	56.42	30.18	2	372	58	0	31	25	0	0.0	31	25	847873.2817	735129.6276	718473.6185	660263.5623	728421.696	702498.5955	Q14978-2|A0A0A0MRM9	NOLC1	Q14978-2	2552842.7251999998	552051.65785	561418.452275	750421.706875	682600.05495	556735.0550625001	716510.8809125	0.3639976873985975	0.00653143455663	0.0892077409894423
PG246145	sp|Q9P2J5|SYLC_HUMAN Leucine--tRNA ligase; cytoplasmic OS=Homo sapiens GN=LARS PE=1 SV=2	1176	53.23	53.23	11.73	1	201	59	0	37	33	0	0.0	37	33	601673.2208	622648.9985	605028.7345	584894.1193	614690.2163	620138.5566	Q9P2J5	LARS	Q9P2J5	2529881.4253	663595.322975	635057.557975	601475.122675	629605.10945	649326.4404750001	615540.1160625	-0.07709107359903358	0.322821900063678	0.421898126114805
PG250195	tr|A0A087WVQ6|A0A087WVQ6_HUMAN Clathrin heavy chain OS=Homo sapiens GN=CLTC PE=1 SV=1	1679	65.22	53.72	12.98	3	418	98	23	71	55	10	0.0	58	44	567883.6923	608812.1893	572811.0005	563397.9897	569860.5909	583138.5022	Q00610|Q00610-2|A0A087WVQ6	CLTC	A0A087WVQ6	2523480.6348	652441.542875	649769.032775	616050.001775	608497.847925	651105.287825	612273.9248500001	-0.08871361134807723	0.224093651442418	0.364076181274555
PG246346	sp|P17987|TCPA_HUMAN T-complex protein 1 subunit alpha OS=Homo sapiens GN=TCP1 PE=1 SV=1	556	59.53	59.53	18.17	1	289	34	0	39	23	0	0.0	39	23	607805.7768	608677.7531	579177.7493	576801.3901	583925.2052	568947.7822	P17987	TCP1	P17987	2509316.8518	642845.8135	642845.8135	631300.3283	592800.89365	642845.8135	612050.6109750001	-0.07082179328648722	0.354888048034071	0.443942143610685
PG253927	sp|P26038|MOES_HUMAN Moesin OS=Homo sapiens GN=MSN PE=1 SV=3	577	83.36	63.95	48.35	1	400	72	17	73	33	9	0.0	53	24	622998.0361	654896.811	637756.4666	654198.2809	614616.3789	615847.365	P26038	MSN	P26038	2502185.0688	582287.151375	616050.001775	636512.27065	652441.542875	599168.5765750001	644476.9067625001	0.10516670053169434	0.192628080781899	0.343827952729772
PG249854	sp|Q86VP6|CAND1_HUMAN Cullin-associated NEDD8-dissociated protein 1 OS=Homo sapiens GN=CAND1 PE=1 SV=2	1230	52.52	49.02	11.54	1	259	65	5	46	39	3	0.0	43	36	593050.0442	619287.556	591022.0495	586289.428	607408.381	583274.1109	Q86VP6	CAND1	Q86VP6	2482085.5294000003	631300.3283	628228.8496000001	625592.5193	598650.26795	629764.58895	612121.393625	-0.04099484724012151	0.56283553229329	0.545716838023278
