Protein Group Name	Representative Protein Description	Total Amino Acids	Sequence Coverage (%)	Sequence Coverage Unshared only (%)	Sequence Redundancy (%)	Numbers of Proteins	# of PSMs	# of Unique Peptides	# Shared Peptides	# PSMs in Experiment	# Unique Seq in Experiment	# Shared Peptides in Experiment	P-Score	# Quantified PSMs	# Quantified Peptides	Uniprot IDs	Gene Names	Uniprot	tmpSum	0min_1	0min_2	0min_3	0min_4	5min_1	5min_2	5min_3	60min_1	60min_2	60min_3	mean0min	mean5min	log05	mean60min	log060	pVal05	qVal05	pVal060	qVal060
PG247627	sp|P04004|VTNC_HUMAN Vitronectin OS=Homo sapiens GN=VTN PE=1 SV=1	478	4.812	4.812	0.0	1	4	2	0	1	1	0	4.3100000000000004e-26	1	1	P04004	VTN	P04004	3310866.9196	217249.71532999998	212458.9093	209133.64502	232558.01201	306506.33738000004	364342.03816	417385.02387000003	447677.65425	446272.77833	410513.83716	217850.07041499997	362744.46647000004	0.7356180271202668	434821.4232466666	0.9970874427867156	0.0001567547616155	0.0171358049859193	3.33013253820212e-07	7.57315013523588e-05
PG247534	sp|Q8NBM4|UBAC2_HUMAN Ubiquitin-associated domain-containing protein 2 OS=Homo sapiens GN=UBAC2 PE=1 SV=1	344	18.31	18.31	0.0	1	12	5	0	2	2	0	1.94e-66	2	2	Q8NBM4	UBAC2	Q8NBM4	2530181.77844	47225.258528	38836.349621	58488.813073	45997.279543	274297.01427	353950.51613	472627.24594	318682.54734	377012.28140000004	430945.70845	47636.925191250004	366958.25878000003	2.945463766906484	375546.84573	2.97884068076509	1.09518241544911e-06	0.0003630328750815	1.11405656797829e-07	3.61929723802703e-05
PG243237	sp|Q9BVA0|KTNB1_HUMAN Katanin p80 WD40 repeat-containing subunit B1 OS=Homo sapiens GN=KATNB1 PE=1 SV=1	655	30.53	30.53	6.107	1	39	16	0	5	5	0	1.12e-197	5	5	Q9BVA0	KATNB1	Q9BVA0	2407103.5285	172808.04979000002	170137.81775	191264.59154	173364.25496	230489.42299000002	250545.05523	317308.17936	250341.02369	279707.96742	340104.40931	176893.67851	266114.21919333335	0.5891631068113223	290051.1334733334	0.7134247644989685	0.0009934312038757	0.0489780430800684	0.0002049402936794	0.0037284849056052
PG252818	sp|P06396-2|GELS_HUMAN Isoform 2 of Gelsolin OS=Homo sapiens GN=GSN	731	15.46	15.46	2.462	1	21	12	0	3	3	0	3.79e-153	3	3	P06396-2	GSN	P06396-2	2102912.4715	145058.57687000002	148682.26406000002	156642.87897000002	144172.54022	215519.87491	234940.03797	267495.52642999997	244831.06422	254467.96341	265357.97839	148639.06503000003	239318.47977	0.6871184716433454	254885.66867333333	0.7780369259452521	3.85443207589819e-05	0.0057658576072205	9.61986869426837e-07	0.0001347588290771
PG246999	sp|P02787|TRFE_HUMAN Serotransferrin OS=Homo sapiens GN=TF PE=1 SV=3	698	4.011	4.011	2.149	1	17	4	0	2	2	0	3.61e-41	2	2	P02787	TF	P02787	2057993.89825	57415.495968999996	50567.032004	55084.040041	49288.889525	214096.15323999999	398343.74598	302904.89253	260295.56423	277905.03778	311430.29118	53088.86438475	305114.93058333336	2.522871592455674	283210.29773	2.415392537353605	2.43957197086583e-06	0.0005778159234667	6.11195829905163e-09	4.63312668870613e-06
PG247200	sp|P02788|TRFL_HUMAN Lactotransferrin OS=Homo sapiens GN=LTF PE=1 SV=6	710	2.958	2.958	1.127	4	17	3	0	2	2	0	7.22e-40	1	1	P02788|P02788-2|E7EQB2|E7ER44	LTF	P02788	1897177.4779800004	91778.261007	86909.70960500001	96958.192281	64996.279823	223806.31590999998	760875.50658	299037.85344000004	112564.186925	125863.37735	17377.084637	85160.610679	427906.5586433334	2.3290375913457178	85268.216304	0.0018217824406368069	0.0008017342708457	0.0438211955226986	0.531780772206499	0.387235972136885
PG250923	sp|Q8NHQ9|DDX55_HUMAN ATP-dependent RNA helicase DDX55 OS=Homo sapiens GN=DDX55 PE=1 SV=3	600	28.67	28.67	7.167	2	70	18	0	2	2	0	3.37e-237	2	2	Q8NHQ9|F5H5U2	DDX55	Q8NHQ9	1754578.1592299999	58972.489819999995	68420.15403800001	89672.189888	57019.128686	115006.108989	221551.17809	226590.21088	163770.2277	81204.33798699999	601358.53555	68520.990608	187715.83265300002	1.4539324238494178	282111.0337456667	2.0416451790610015	0.0009994758511511	0.0489780430800684	0.0329386322432643	0.0614997458614974
PG258238	tr|E7EV07|E7EV07_HUMAN Rho guanine nucleotide exchange factor 4 OS=Homo sapiens GN=ARHGEF4 PE=1 SV=2	1816	0.7709	0.4405	0.0	1	5	2	1	1	1	0	9.38e-19	1	1	E7EV07	ARHGEF4	E7EV07	1426323.562801	315674.70395999996	265231.57228	256506.36062	199286.70993	189586.39233	113978.60374199999	122361.91024199998	32307.191019	31246.764173000003	1312.8484727	259174.8366975	141975.635438	-0.8682822848388249	21622.26788823334	-3.583335898025082	0.0036106359787098	0.0950204465398754	0.0031986279608938	0.0142331231750177
PG244018	sp|Q16718-2|NDUA5_HUMAN Isoform 2 of NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5 OS=Homo sapiens GN=NDUFA5	116	52.59	52.59	7.759	4	16	5	0	1	1	0	2.5799999999999998e-82	1	1	Q16718|Q16718-2|A0A087X1G1|H7BYD0	NDUFA5	Q16718-2	1419906.90623	60418.249154	49519.668047	65831.19875499999	59870.95976400001	156187.04181999998	189586.39233	229633.36802	162824.31488999998	193723.33181	194352.45315000002	58910.01893	191802.26739000002	1.7030348535671753	183633.36661666667	1.6402433019633518	5.25825135939248e-06	0.0009340679639703	8.14100019920501e-07	0.0001234245505292
PG246680	sp|Q96DC7-2|TMCO6_HUMAN Isoform 2 of Transmembrane and coiled-coil domain-containing protein 6 OS=Homo sapiens GN=TMCO6	499	6.413	6.413	0.0	2	4	3	0	2	2	0	3.43e-36	2	2	Q96DC7|Q96DC7-2	TMCO6	Q96DC7-2	1370390.56171	401210.09932	275180.81556	295484.93531	225317.71373999998	148055.7474	40005.75202	66183.668513	12720.5451862	11989.0509571	10189.2964846	299298.3909825	84748.389311	-1.8203266685574415	11632.9642093	-4.685293859390596	0.0017503838977583	0.0606703603136863	1.80155098086737e-08	8.19391774824427e-06
PG248755	tr|B0YIW2|B0YIW2_HUMAN Apolipoprotein C-III OS=Homo sapiens GN=APOC3 PE=1 SV=1	117	13.68	13.68	0.0	2	4	1	0	1	1	0	1.34e-19	1	1	P02656|B0YIW2	APOC3	B0YIW2	1263879.76761	29160.067184000003	27858.449218	29574.003312000004	25588.909026	171942.78505	184356.55144	210647.71327999997	184356.55144	174503.50967	160138.82832	28045.357185	188982.3499233333	2.752417637320632	172999.62980999998	2.624935088362524	3.2883443002099603e-09	9.34618558268528e-06	1.34287290652469e-09	2.61926484469417e-06
PG243378	sp|Q8WV93|LACE1_HUMAN Lactation elevated protein 1 OS=Homo sapiens GN=LACE1 PE=1 SV=2	481	5.821	5.821	0.0	1	2	2	0	1	1	0	1.19e-25	1	1	Q8WV93	LACE1	Q8WV93	1241837.6153099998	71974.698083	80602.001051	69833.41793	67313.180811	130728.97836	99941.631192	178223.01063	143994.03028	171757.86341	190391.81979	72430.82446875	136297.873394	0.9120873499948479	168714.57116000002	1.2199088759621028	0.0015817657202564	0.0600565650844608	5.30104113131395e-06	0.0004329291383417
PG255817	tr|G5EA09|G5EA09_HUMAN Syndecan binding protein (Syntenin); isoform CRA_a OS=Homo sapiens GN=SDCBP PE=1 SV=1	318	10.38	10.38	1.887	6	10	4	0	2	2	0	8.230000000000001e-37	2	2	O00560|O00560-2|O00560-3|G5EA09|E9PBU7|B4DHN5	SDCBP	G5EA09	1142209.3856	38502.396649	54100.918878	87495.17445199999	30095.930871	176557.94798	245616.77398	161729.08755999999	259804.42474000002	48555.963139	20321.006519	52548.6052125	194634.60317333334	1.889043846275533	109560.46479933335	1.0600029150267039	0.0006667964745033	0.0403129363596324	0.641759440310496	0.432684136269082
PG248064	sp|P01023|A2MG_HUMAN Alpha-2-macroglobulin OS=Homo sapiens GN=A2M PE=1 SV=3	1474	3.46	1.967	0.0	1	18	5	2	5	4	2	1.15e-78	1	1	P01023	A2M	P01023	1088170.0362	55835.168611999994	74545.309358	59083.028185	56677.935450000004	115675.54080300001	111541.426747	168105.34504	123931.35608999999	138657.29979999998	148682.26406000002	61535.36040125	131774.10419666665	1.0985793070235996	137090.30664999998	1.1556389873691855	0.0002680876896959	0.0253987728735503	1.35044161363176e-05	0.0007142042079568
PG244916	sp|Q9NPQ8|RIC8A_HUMAN Synembryn-A OS=Homo sapiens GN=RIC8A PE=1 SV=3	531	43.31	42.18	1.695	2	47	18	1	3	3	1	4.879999999999999e-246	2	2	Q9NPQ8|Q9NPQ8-4	RIC8A	Q9NPQ8	1038609.56756	75585.574335	74117.280024	79287.70651100001	72644.517535	101581.526795	111944.68204300001	128718.49911	111001.57006999999	128294.68168	133036.07971999998	75408.76960125	114081.56931600002	0.597261517465387	124110.77715666666	0.718824181896492	0.0001479484663455	0.0168200613670656	1.61058292700754e-05	0.0008084666683317
PG257731	tr|Q5TEC6|Q5TEC6_HUMAN Histone H3 OS=Homo sapiens GN=HIST2H3PS2 PE=1 SV=1	136	62.5	22.06	24.26	1	531	14	12	24	10	9	1.4599999999999998e-170	1	1	Q5TEC6	HIST2H3PS2	Q5TEC6	1023836.5676699999	64178.922141999996	63984.796207	64086.888031	57589.479498	115495.144	133383.76162	133522.29262000002	126364.72909	114825.317753	119019.89092899999	62460.0214695	127467.06608000002	1.0291195728646232	120069.97925733333	0.9428705129738996	1.27728801766433e-06	0.0003630328750815	6.73991663511697e-07	0.0001094817012132
PG266326	tr|H7BZJ3|H7BZJ3_HUMAN Protein disulfide-isomerase A3 (Fragment) OS=Homo sapiens GN=PDIA3 PE=1 SV=1	123	58.54	11.38	24.39	1	53	9	8	13	9	8	6.51e-145	2	1	H7BZJ3	PDIA3	H7BZJ3	1010039.9419450001	209851.91324999998	190948.05644000001	184894.53159	150896.58956	123124.06636899998	82822.85535200001	90577.820297	26166.765413	27578.467512000003	3336.5632510000005	184147.77271	98841.58067266666	-0.8976739602535987	19027.265392	-3.2747238109912673	0.0006188479993711	0.0390866630171258	0.0008214886968388	0.0068682759577883
PG252308	sp|P23142|FBLN1_HUMAN Fibulin-1 OS=Homo sapiens GN=FBLN1 PE=1 SV=4	703	6.259	6.259	0.9957	1	11	5	0	1	1	0	1.5e-64	1	1	P23142	FBLN1	P23142	746936.9512100001	18328.679577	17569.722996999997	20270.051016	19596.114959	83201.868834	103553.17754199999	124345.298469	92729.442555	100491.911809	118896.30674999999	18941.142137249997	103700.11494833331	2.452822261318982	104039.22037133334	2.4575322614340664	1.86049967939173e-07	0.0001301883501532	1.46346095470665e-08	8.19391774824427e-06
PG242913	sp|P19827|ITIH1_HUMAN Inter-alpha-trypsin inhibitor heavy chain H1 OS=Homo sapiens GN=ITIH1 PE=1 SV=3	911	2.415	2.415	0.0	1	3	2	0	1	1	0	5.800000000000001e-26	1	1	P19827	ITIH1	P19827	627775.99223	28573.076129	24860.289817999997	34568.740788999996	42802.856213	64860.399511999996	71767.89904	90049.437524	94023.445917	70158.46456000001	79195.162688	32701.240737249995	75559.24535866665	1.2082629180945466	81125.691055	1.3108134875957607	0.0003547745568063	0.0276238662476663	0.000159079184577	0.0033379665717355
PG243710	sp|Q9HCE1-2|MOV10_HUMAN Isoform 2 of Putative helicase MOV-10 OS=Homo sapiens GN=MOV10	900	33.89	2.556	3.778	1	64	28	26	7	6	5	0.0	1	1	Q9HCE1-2	MOV10	Q9HCE1-2	588714.41834	31954.962355000003	29836.250156000002	32770.513192	45072.941781999994	74545.309358	58105.073378999994	78390.82800800001	73418.86090300001	70612.04845500001	73476.58033699999	34908.666871249996	70347.07024833334	1.010905077851567	72502.49656500001	1.0544454112304975	0.0003596077721655	0.0276238662476663	7.00056593035786e-05	0.0020732723902008
PG254711	sp|Q9H814|PHAX_HUMAN Phosphorylated adapter RNA export protein OS=Homo sapiens GN=PHAX PE=1 SV=1	394	31.47	31.47	6.345	1	26	9	0	2	2	0	3.57e-139	2	2	Q9H814	PHAX	Q9H814	487693.68905000004	71569.013559	76167.860348	77309.413814	87862.58775600001	33789.495186	40950.262427	29268.378622	30716.788582999998	29792.688780999997	33675.457261999996	78227.21886925	34669.378745	-1.174008690725878	31394.978208666664	-1.3171368643096222	1.77550555517563e-05	0.0028035392936027	4.55240400217143e-07	8.62729400636855e-05
PG244693	sp|P20742|PZP_HUMAN Pregnancy zone protein OS=Homo sapiens GN=PZP PE=1 SV=4	1482	2.294	0.8097	0.0	1	13	3	2	4	3	2	9.24e-51	1	1	P20742	PZP	P20742	450367.79862	17892.788608	13797.826630000001	13678.417061999999	12332.667429199999	53425.326352000004	58894.769122000005	85391.110781	54983.077497000006	60271.497739	55835.168611999994	14425.4249323	65903.73541833334	2.1917464221674217	57029.914616	1.983105055515955	5.09504243306808e-06	0.0009340679639703	4.13454030268374e-07	8.54770632405576e-05
PG251867	sp|P51452|DUS3_HUMAN Dual specificity protein phosphatase 3 OS=Homo sapiens GN=DUSP3 PE=1 SV=1	185	32.97	32.97	0.0	2	9	5	0	1	1	0	1.8200000000000002e-66	1	1	P51452|P51452-2	DUSP3	P51452	299391.63753000007	18481.41691	17127.990973	20043.525526	15428.06134	31162.789520000002	36616.190623	45072.941781999994	29100.773347	38502.396649	36898.537592	17770.24868725	37617.30730833334	1.0819327113016817	34833.90252933333	0.9710282392916737	8.50699229892955e-05	0.0105124833440123	7.46327631519547e-05	0.0021759552836511
PG252395	sp|Q9BSK4|FEM1A_HUMAN Protein fem-1 homolog A OS=Homo sapiens GN=FEM1A PE=1 SV=1	669	5.531	5.531	0.0	1	2	2	0	1	1	0	3.98e-30	1	1	Q9BSK4	FEM1A	Q9BSK4	264084.21742000006	20967.138528	19767.617929	18481.41691	18171.847428	31912.718336	27619.764312000003	29884.068229999997	35423.540886999996	27619.764312000003	28467.032618999998	19347.005198749997	29805.516959333338	0.6234691331840752	30503.445939333335	0.6568619684406395	4.53701861348653e-05	0.0064475939990583	0.0002391849549649	0.0040592341929011
PG250674	sp|Q13057-2|COASY_HUMAN Isoform 2 of Bifunctional coenzyme A synthase OS=Homo sapiens GN=COASY	593	16.53	16.53	0.0	2	14	7	0	1	1	0	1.69e-97	1	1	Q13057|Q13057-2	COASY	Q13057-2	244275.62783999997	15778.365518	20176.550814	19345.522837	15736.194441999998	34400.971875999996	36556.63102	26394.287234	23106.45466	22160.868037	26658.282904	17759.15840275	32450.630043333334	0.869683274315824	23975.201866999996	0.4329797477913216	0.0004032007728954	0.0296563741582172	0.0059117735693654	0.0200038824806825
PG250396	sp|P02748|CO9_HUMAN Complement component C9 OS=Homo sapiens GN=C9 PE=1 SV=2	559	2.683	2.683	0.0	1	4	2	0	1	1	0	2.93e-20	1	1	P02748	C9	P02748	141018.194966	7590.8172146	5861.2275553	7693.7766287	5770.6978389	17127.990973	14891.898714	17413.873992	20176.550814	17844.619659	20136.096781	6729.129809375	16477.921226333336	1.2920423936048495	19385.755751333334	1.5265051224062078	1.36308074068825e-05	0.0022789236598389	3.20768592480171e-06	0.0003039454488239
PG246598	sp|P05452|TETN_HUMAN Tetranectin OS=Homo sapiens GN=CLEC3B PE=1 SV=3	202	15.84	15.84	0.0	2	4	2	0	1	1	0	3.38e-32	1	1	P05452|E9PHK0	CLEC3B	P05452	55887.80316599999	2074.365467	1475.4833130000002	2782.0577304999997	1742.9207491000002	6904.094992300001	3696.0210954000004	8705.5438887	6614.4360498	7371.7931673	10824.8120428	2018.7068149000002	6435.219992133333	1.6725580714025012	8270.347086633334	2.034516479773943	0.0012684320122402	0.0581477107798471	4.89441850534531e-05	0.0017856963570526
PG242485	sp|Q9H496|IFG15_HUMAN Torsin-1A-interacting protein 2; isoform IFRG15 OS=Homo sapiens GN=TOR1AIP2 PE=1 SV=1	131	32.06	32.06	0.0	1	4	3	0	1	1	0	4.15e-41	1	1	Q9H496	TOR1AIP2	Q9H496	36557.721191	3422.2484031	5444.67318	4758.9786816	4106.935888	2183.2523306000003	2589.8749559	1931.5536364	4061.4802231000003	4304.2388555	4162.1396169	4433.209038175	2234.8936409666667	-0.9881452163053859	4175.9528985	-0.08624595168156822	0.0005601306946493	0.0370235478731208	0.667274749378802	0.442002506042682
PG242757	sp|Q7L273|KCTD9_HUMAN BTB/POZ domain-containing protein KCTD9 OS=Homo sapiens GN=KCTD9 PE=1 SV=1	389	19.28	19.28	0.0	1	8	6	0	1	1	0	1.98e-69	1	1	Q7L273	KCTD9	Q7L273	34016.990191000004	3993.4750239	3720.5910804	3211.7705816999996	4225.4576185999995	1514.0942706	1599.4356793	2752.5662977	2944.5774987	3947.803075	5083.6267147	3787.8235761499996	1955.3654158666668	-0.953930895082162	3992.002429466667	0.07574346209886212	0.0018548199147488	0.0620211681125699	0.799619195955691	0.49041198606627
PG246332	sp|Q9NVG8|TBC13_HUMAN TBC1 domain family member 13 OS=Homo sapiens GN=TBC1D13 PE=1 SV=3	400	19.25	19.25	0.0	1	28	6	0	1	1	0	3.73e-86	1	1	Q9NVG8	TBC1D13	Q9NVG8	33476.755014999995	1742.9207491000002	1514.0942706	1715.2691191999997	2058.8930525	3963.4744971	4627.2544331	6614.4360498	2928.9288409	2928.9288409	4061.4802231000003	1757.79429785	5068.388326666666	1.5277608122055046	3306.4459683	0.9115150741908341	5.25683373620666e-05	0.0071147896342286	0.0003456212953498	0.0048517736000299
PG247755	sp|O43516-3|WIPF1_HUMAN Isoform 3 of WAS/WASL-interacting protein family member 1 OS=Homo sapiens GN=WIPF1	510	32.94	32.94	3.137	2	54	13	0	1	1	0	1.78e-149	1	1	O43516|O43516-3	WIPF1	O43516-3	27324.402777000003	4123.591018900001	4280.4628057	2980.4480696	3617.6871307	1106.26245273	1759.8275525000001	2058.8930525	1715.2691191999997	1577.8049869000001	4186.19032	3750.5472562249997	1641.6610192433334	-1.1919448590493442	2493.088142033333	-0.5891672303597297	0.0007601494185334	0.0423629220485231	0.0630659118981702	0.0943552652503223
