Protein Group Name	Representative Protein Description	Total Amino Acids	Sequence Coverage (%)	Sequence Coverage Unshared only (%)	Sequence Redundancy (%)	Numbers of Proteins	# of PSMs	# of Unique Peptides	# Shared Peptides	# PSMs in Experiment	# Unique Seq in Experiment	# Shared Peptides in Experiment	P-Score	# Quantified PSMs	# Quantified Peptides	_Genome_0Min_(TMT 127C PCN)	_Genome_0Min_(TMT 128N PCN)	_Env_60Min_(TMT 129C PCN)	_Env_60Min_(TMT 130N PCN)	_Genome_60Min_(TMT 130C PCN)	_Genome_60Min_(TMT 131N PCN)	Uniprot IDs	Gene Names	Uniprot	tmpSum	0min_1	0min_2	60min_1	60min_2	mean0min	mean60min	log060	pVal060	qVal060
PG248991	sp|Q9UII2|ATIF1_HUMAN ATPase inhibitor; mitochondrial OS=Homo sapiens GN=ATPIF1 PE=1 SV=1	106	28.3	28.3	24.53	1	36	9	0	7	5	0	6.65e-125	7	5	102283.5299	67661.15923	80247.65309	68918.90637	68721.34287	78024.44397	Q9UII2	ATPIF1	Q9UII2	227969.32279	36686.0208625	40598.067915	85480.8341975	66901.31678	38642.04438875	76191.07548875	0.9794505968540056	0.0012621697138641	0.0423591807430932
PG249435	sp|Q96HQ2|C2AIL_HUMAN CDKN2AIP N-terminal-like protein OS=Homo sapiens GN=CDKN2AIPNL PE=1 SV=1	116	51.72	51.72	0.0	1	11	4	0	2	2	0	5.93e-63	2	2	52248.99639	61579.67387	35430.70407	34998.72872	35300.10658	41002.20848	Q96HQ2	CDKN2AIPNL	Q96HQ2	216023.42833000002	61197.150525000005	68323.7017	45361.91291	40315.5864525	64760.426112500005	42838.74968125	-0.5961961050618825	0.002274560513383	0.0556343747061695
PG267384	tr|D6RAF8|D6RAF8_HUMAN Heterogeneous nuclear ribonucleoprotein D0 (Fragment) OS=Homo sapiens GN=HNRNPD PE=1 SV=1	221	63.8	14.03	51.13	1	319	25	18	18	11	9	0.0	2	2	115452.7665	81602.11385	94666.57764	93475.29975	82693.91058	90310.06086	D6RAF8	HNRNPD	D6RAF8	209299.1138	26148.690285	32357.6035075	84183.9171875	68953.99790249999	29253.14689625	76568.957545	1.38816778532154	0.000367489115874	0.0210543823465417
PG245744	sp|P00441|SODC_HUMAN Superoxide dismutase [Cu-Zn] OS=Homo sapiens GN=SOD1 PE=1 SV=2	154	48.05	48.05	24.68	1	25	10	0	5	4	0	1.15e-135	5	4	48087.65498	35740.14062	75733.69482	57624.9929	66122.26175	82655.7835	P00441	SOD1	P00441	200899.84296	33649.854995	31909.79317	78063.766255	58373.6337375	32779.8240825	68218.69999625	1.0573591505862345	0.0013540179288778	0.0431979909797798
PG258018	tr|K4DI81|K4DI81_HUMAN Ubiquitin-conjugating enzyme E2 C OS=Homo sapiens GN=UBE2C PE=1 SV=1	50	78.0	78.0	0.0	1	8	3	0	2	2	0	1.05e-36	2	2	72452.40321	61114.12527	64879.72341	64986.59558	50850.2553	56189.02952	K4DI81	UBE2C	K4DI81	198726.70152000003	33143.2107625	39720.78246	70129.59426750001	56211.0206675	36431.99661125	63170.30746750001	0.7940405318406369	0.0038624331375522	0.0723005960890652
PG248353	sp|O00767|ACOD_HUMAN Acyl-CoA desaturase OS=Homo sapiens GN=SCD PE=1 SV=2	359	13.09	13.09	3.621	1	13	4	0	3	2	0	3.24e-49	3	2	85868.72284	64261.00876	80842.37387	76394.50566	63456.22211	71182.72582	O00767	SCD	O00767	197892.5349	36903.0551625	36479.695602499996	66517.4799375	59287.947255	36691.3753825	62902.71359625	0.7776812704249589	0.0003453291706457	0.0209382746078914
PG254942	sp|Q15063|POSTN_HUMAN Periostin OS=Homo sapiens GN=POSTN PE=1 SV=2	836	7.656	7.656	2.273	3	9	6	0	6	6	0	1.3e-83	6	6	19713.57357	14846.63037	72591.94049	79335.45974	86040.3488	75757.60692	Q15063|Q15063-2|Q15063-5	POSTN	Q15063	194841.24741999997	15939.1167275	15879.32678	80182.03395499999	85698.2636475	15909.22175375	82940.14880125	2.3822073718211496	9.14441607578513e-07	0.0003860078106379
PG255335	tr|X5D2R7|X5D2R7_HUMAN Proteasome subunit beta type OS=Homo sapiens GN=PSM8 PE=1 SV=1	276	40.58	40.58	7.971	3	30	11	0	2	2	0	1.87e-169	2	2	42974.61155	30507.2047	53891.77134	37957.53987	57457.47681	68253.05508	P28062|P28062-2|X5D2R7	PSMB8|PSM8	X5D2R7	189310.90872	34413.420757500004	22896.609162499997	67659.8174025	65386.169705	28655.01496	66522.99355375	1.2150654423301799	0.0021253467234109	0.0537964731866699
PG249598	sp|O75909|CCNK_HUMAN Cyclin-K OS=Homo sapiens GN=CCNK PE=1 SV=2	580	33.79	33.79	3.448	1	91	17	0	2	2	0	3.9000000000000005e-226	2	2	64111.23597	55610.10941	57080.81586	52988.70534	57348.1121	53799.89407	O75909	CCNK	O75909	183965.43782	34003.1829975	38624.90286	62757.095597499996	50213.823665	36314.04292875	56485.45963125	0.6373519820329618	0.0067790163781426	0.0910681892812883
PG250776	sp|Q8WTW3|COG1_HUMAN Conserved oligomeric Golgi complex subunit 1 OS=Homo sapiens GN=COG1 PE=1 SV=1	980	12.76	12.76	1.531	3	15	11	0	6	6	0	1.39e-150	6	6	62890.97942	59238.78064	56769.15247	55821.35825	50986.38255	48709.10725	Q8WTW3|A0A087WVI0|E9PBL8	COG1	Q8WTW3	183610.49011999997	35733.8668825	37533.75222	58745.983022500004	52141.504575	36633.80955125	55443.74379875	0.597848942944935	0.0013680639280014	0.0432698487878803
PG249650	sp|P30281|CCND3_HUMAN G1/S-specific cyclin-D3 OS=Homo sapiens GN=CCND3 PE=1 SV=2	292	20.21	20.21	0.0	2	16	4	0	2	2	0	1.3200000000000002e-56	2	2	36465.47458	41559.7473	49193.03507	54064.15387	57323.2667	56452.94995	P30281|Q5T8J1	CCND3	P30281	182473.6716	35638.0979925	37003.9976825	57085.1967075	53610.598549999995	36321.047837499995	55347.89762875	0.607722693763526	0.0005293350941141	0.0252218499495095
PG248756	sp|P02649|APOE_HUMAN Apolipoprotein E OS=Homo sapiens GN=APOE PE=1 SV=1	317	9.148	6.625	0.0	1	7	3	1	3	3	1	3.98e-38	2	2	28121.88616	27065.82178	54178.29442	56257.11278	45563.53855	47100.94975	P02649	APOE	P02649	180502.05658	35625.09207	36612.3032225	54253.3750575	55320.0214175	36118.69764625	54786.6982375	0.6010797875096254	0.0003539034607144	0.0209382746078914
PG247572	sp|Q969T9|WBP2_HUMAN WW domain-binding protein 2 OS=Homo sapiens GN=WBP2 PE=1 SV=1	261	13.03	13.03	0.0	6	7	3	0	2	2	0	1.65e-36	2	2	29053.79899	31070.08819	28442.9221	24937.78143	27879.40991	30453.08433	Q969T9|K7ENL2|A6NG10|B4DFG2|K7EIJ0|K7EMC9	WBP2	Q969T9	175389.23135999998	52984.519042500004	66185.141395	32226.888010000002	22189.9928175	59584.83021875	27208.440413750002	-1.1308908160235724	0.0037612194322931	0.0718727756750704
PG255519	sp|Q96DV4|RM38_HUMAN 39S ribosomal protein L38; mitochondrial OS=Homo sapiens GN=MRPL38 PE=1 SV=2	380	41.84	41.84	2.632	1	30	13	0	5	5	0	4.72e-168	5	5	58764.61683	55137.9323	51621.34881	55095.68627	55495.26095	56927.4123	Q96DV4	MRPL38	Q96DV4	169258.5742	28063.348495000002	32035.229525	50312.482957500004	60185.66216	30049.28901	55249.072558750006	0.8786193908047933	0.0011021222926176	0.040435867218354
PG245025	sp|P07919|QCR6_HUMAN Cytochrome b-c1 complex subunit 6; mitochondrial OS=Homo sapiens GN=UQCRH PE=1 SV=2	91	46.15	46.15	7.692	1	28	5	0	5	4	0	3.85e-70	5	4	60524.12934	48227.49902	61471.39121	47519.6257	46052.08881	47459.27487	P07919	UQCRH	P07919	169090.60633	30494.0578225	31987.02632	60561.0153325	47469.500257499996	31240.542071249998	54015.257795	0.7899474990541622	0.0025690650526079	0.0563934534293644
PG256423	sp|Q9UNL2-2|SSRG_HUMAN Isoform 2 of Translocon-associated protein subunit gamma OS=Homo sapiens GN=SSR3	198	15.15	15.15	4.04	3	26	5	0	3	3	0	2.2e-60	3	3	82089.40472	66697.9467	68253.88704	66852.67032	60549.97404	54714.61136	Q9UNL2|Q9UNL2-2|C9JA28	SSR3	Q9UNL2-2	168506.99652	29292.847395	28991.1764225	54107.1357675	57748.320195	29142.01190875	55927.727981250006	0.9404632414475442	6.68538304963213e-05	0.0061320160001642
PG250607	tr|A0A0G2JPR0|A0A0G2JPR0_HUMAN Complement C4-A OS=Homo sapiens GN=C4A PE=1 SV=1	1744	3.268	3.268	0.0	6	8	6	0	4	4	0	4.8e-75	4	4	19409.20466	16312.5994	61726.78557	69318.76724	62049.40326	54391.25842	P0C0L4|P0C0L4-2|A0A140TA49|A0A0G2JPR0|A0A140TA32|A0A140TA44	C4A	A0A0G2JPR0	157425.23965	18377.9806225	16132.50998	56665.9646775	68057.1959075	17255.24530125	62361.5802925	1.853622504220258	3.94417966158281e-05	0.0051066133235019
PG256942	sp|Q969S3|ZN622_HUMAN Zinc finger protein 622 OS=Homo sapiens GN=ZNF622 PE=1 SV=1	477	22.85	22.85	3.145	1	39	9	0	5	4	0	1.9100000000000003e-129	5	4	61625.4678	56925.77115	54255.46149	55295.54635	55074.24799	54807.86918	Q969S3	ZNF622	Q969S3	157048.1377	31152.6392075	29029.54084	44449.5139875	52918.025845	30091.090023750003	48683.76991625	0.6941045220914961	0.0018532861889908	0.0485681351578356
PG246360	sp|P05543|THBG_HUMAN Thyroxine-binding globulin OS=Homo sapiens GN=SERPINA7 PE=1 SV=2	415	4.578	4.578	0.0	1	4	2	0	2	2	0	1.0600000000000001e-29	2	2	14414.02342	7372.205974	72237.72139	62143.26979	87700.55494	76264.57223	P05543	SERPINA7	P05543	153834.426927	8151.2832335	7732.68871625	65716.795065	75407.8610925	7941.9859748750005	70562.32807875	3.1513264425878957	9.46894572183154e-07	0.0003860078106379
PG254976	sp|P00747|PLMN_HUMAN Plasminogen OS=Homo sapiens GN=PLG PE=1 SV=2	810	5.062	5.062	1.852	1	5	4	0	2	2	0	1.08e-49	2	2	15318.8751	12946.80372	65880.89407	59607.97506	63649.91693	60836.65817	P00747	PLG	P00747	152354.11239999998	15991.044295	14468.06711	59667.1803025	64199.241535	15229.5557025	61933.21091875	2.023839390159736	4.91735336108083e-06	0.0011495415973533
PG254716	sp|Q9NRX4|PHP14_HUMAN 14 kDa phosphohistidine phosphatase OS=Homo sapiens GN=PHPT1 PE=1 SV=1	125	50.4	50.4	8.8	1	11	6	0	2	2	0	5.2100000000000005e-77	2	2	70705.70473	54891.11148	57271.39053	47141.48964	45927.48779	48999.82707	Q9NRX4	PHPT1	Q9NRX4	152252.21025	22984.702155	26554.8604525	62911.462095	41468.4357	24769.781303750002	52189.9488975	1.075190858462904	0.0057430504109142	0.084250580489987
PG254598	sp|P36955|PEDF_HUMAN Pigment epithelium-derived factor OS=Homo sapiens GN=SERPINF1 PE=1 SV=4	418	9.809	9.809	2.871	1	8	5	0	4	4	0	2.54e-66	4	4	15471.81616	16930.03604	62908.50188	61664.96004	69010.98139	65540.74563	P36955	SERPINF1	P36955	147390.32262	11642.096702499999	12118.8273575	59789.8264275	65716.795065	11880.462029999999	62753.31074625	2.4011006314411127	1.54958387091456e-06	0.0004737735554069
PG253229	sp|P16104|H2AX_HUMAN Histone H2AX OS=Homo sapiens GN=H2AFX PE=1 SV=2	143	63.64	11.19	19.58	1	312	10	6	41	5	3	4.24e-138	3	2	76625.07803	66119.11078	68317.36306	70439.44446	64290.90416	67486.37486	P16104	H2AFX	P16104	141201.87841	17614.052467499998	18613.5435225	44684.070942499995	61527.1102025	18113.797995	53105.5905725	1.551774671678184	0.0003516055887595	0.0209382746078914
PG256768	sp|P62328|TYB4_HUMAN Thymosin beta-4 OS=Homo sapiens GN=TMSB4X PE=1 SV=2	44	61.36	61.36	56.82	1	26	8	1	2	2	0	4.19e-111	2	2	30938.68417	28653.91495	25386.72004	21124.66714	23874.48519	26089.28999	P62328	TMSB4X	P62328	133960.89183	41442.877082499996	45407.1776	27726.737375	18143.523745	43425.027341249996	22935.130559999998	-0.9209676371890197	0.0079136217157531	0.0970244242032906
PG247122	sp|Q9Y3Q3|TMED3_HUMAN Transmembrane emp24 domain-containing protein 3 OS=Homo sapiens GN=TMED3 PE=1 SV=1	217	22.12	22.12	0.0	1	8	4	0	2	2	0	6.4900000000000005e-56	2	2	52299.15767	47473.76141	47406.13506	45830.48029	39917.29981	44705.08682	Q9Y3Q3	TMED3	Q9Y3Q3	130883.35248	21134.6639525	26192.1147325	43290.2125725	41069.11505	23663.3893425	42179.66381125	0.833890868485111	0.0012758189526994	0.0423591807430932
PG242624	sp|P18065|IBP2_HUMAN Insulin-like growth factor-binding protein 2 OS=Homo sapiens GN=IGFBP2 PE=1 SV=2	325	18.46	18.46	0.0	2	11	5	0	4	4	0	1.0600000000000001e-73	4	4	20477.28691	21983.97128	33352.70771	35952.64234	45536.325	42590.02061	P18065|C9JMY1	IGFBP2	P18065	130390.27389000001	21951.64479	22603.0459175	43413.56169	43433.3930475	22277.34535375	43423.47736875	0.9628979358101168	4.03639813740898e-05	0.0051066133235019
PG244899	sp|P26599-3|PTBP1_HUMAN Isoform 3 of Polypyrimidine tract-binding protein 1 OS=Homo sapiens GN=PTBP1	557	55.83	2.154	19.75	3	146	26	24	15	12	10	0.0	2	2	70706.53975	40955.90264	46720.19441	40534.0053	53702.19371	63820.58813	P26599|P26599-2|P26599-3	PTBP1	P26599-3	129774.58355000001	20149.1547575	20420.04574	44811.654592499995	45467.008315	20284.60024875	45139.33145375	1.1540001798817638	1.6559911327506e-05	0.0024021481393848
PG255960	sp|Q92854|SEM4D_HUMAN Semaphorin-4D OS=Homo sapiens GN=SEMA4D PE=1 SV=1	862	8.469	4.64	1.972	1	24	8	2	4	4	1	1.08e-99	3	3	39620.23756	33650.50837	41865.984	36177.3147	44723.91299	46196.16205	Q92854	SEMA4D	Q92854	127949.19556000001	24891.026504999998	26463.2582925	36663.155435	40791.035117499996	25677.14239875	38727.095276249995	0.5928586418502534	0.0012815441011191	0.0423591807430932
PG257450	sp|Q8N9F8|ZN454_HUMAN Zinc finger protein 454 OS=Homo sapiens GN=ZNF454 PE=2 SV=2	522	10.15	1.149	0.0	1	22	5	4	2	2	1	3.61e-71	1	1	32096.68979	14456.33512	13904.41115	22986.37487	15857.7165	17907.74973	Q8N9F8	ZNF454	Q8N9F8	124013.71285000001	11752.6286375	9679.88420175	64045.661485	40845.9800425	10716.256419624999	52445.82076375	2.29102680607155	0.0003228720355864	0.0207822493322532
PG248064	sp|P01023|A2MG_HUMAN Alpha-2-macroglobulin OS=Homo sapiens GN=A2M PE=1 SV=3	1474	3.46	1.967	0.0	1	18	5	2	6	5	2	1.15e-78	3	3	9606.063401	6001.571861	55957.89255	55544.21471	59975.27436	56703.34763	P01023	A2M	P01023	123892.100498	7263.7333885	6070.7935675	53066.416677500005	59911.265054999996	6667.263478	56488.84086625	3.082799251304857	3.27089422905593e-06	0.0009231241718979
