Protein Group Name	Representative Protein Description	Total Amino Acids	Sequence Coverage (%)	Sequence Coverage Unshared only (%)	Sequence Redundancy (%)	Numbers of Proteins	# of PSMs	# of Unique Peptides	# Shared Peptides	# PSMs in Experiment	# Unique Seq in Experiment	# Shared Peptides in Experiment	P-Score	# Quantified PSMs	# Quantified Peptides	_Env_0Min_(TMT 127C PCN)	_Env_0Min_(TMT 128N PCN)	_Env_5Min_(TMT 129C PCN)	_Env_5Min_(TMT 130N PCN)	_Genome_5Min_(TMT 130C PCN)	_Genome_5Min_(TMT 131N PCN)	Uniprot IDs	Gene Names	Uniprot	tmpSum	0min_1	0min_2	5min_1	5min_2	mean0min	mean5min	log05	pVal05	qVal05
PG259085	tr|A0A0A0MTR7|A0A0A0MTR7_HUMAN E3 ubiquitin-protein ligase RNF213 OS=Homo sapiens GN=RNF213 PE=1 SV=1	5207	26.83	26.56	2.573	1	227	120	2	67	65	0	0.0	67	65	689267.5957	740255.447	666652.3182	686752.5641	694830.9756	735697.1984	A0A0A0MTR7	RNF213	A0A0A0MTR7	2855912.0297999997	707793.453575	710232.4056	707793.453575	720156.23005	709012.9295875	713974.8418125	0.010061302447979308	0.868565849621208	0.509882003357407
PG249347	sp|P11586|C1TC_HUMAN C-1-tetrahydrofolate synthase; cytoplasmic OS=Homo sapiens GN=MTHFD1 PE=1 SV=3	935	62.35	61.6	14.97	1	248	60	1	38	37	1	0.0	37	36	759493.6972	687518.5976	663642.8953	664361.177	643178.464	663458.5117	P11586	MTHFD1	P11586	2854607.4693	750190.5197	720156.23005	656678.705525	700242.107775	735173.374875	678460.40665	-0.11581989294163535	0.151667858384173	0.225229711801969
PG245913	sp|Q9NTJ3|SMC4_HUMAN Structural maintenance of chromosomes protein 4 OS=Homo sapiens GN=SMC4 PE=1 SV=2	1288	48.21	48.21	11.26	1	253	64	0	31	28	0	0.0	31	28	726786.2494	713522.9597	724572.2804	670270.2356	687238.4937	661546.6033	Q9NTJ3	SMC4	Q9NTJ3	2848523.638	710232.4056	700242.107775	710232.4056	724744.1252	705237.2566875	717488.2654	0.024846544332915742	0.687285104553962	0.459182835474109
PG253334	sp|P20700|LMNB1_HUMAN Lamin-B1 OS=Homo sapiens GN=LMNB1 PE=1 SV=2	586	74.06	68.77	42.32	1	401	61	8	41	29	2	0.0	39	27	769897.3485	742336.5052	702533.1303	739502.5136	696931.0394	658568.7117	P20700	LMNB1	P20700	2799493.7385	700242.107775	735241.098175	724744.1252	646057.628775	717741.602975	685400.8769875	-0.06651650928574351	0.448645253638384	0.377162817137453
PG246627	sp|Q9Y490|TLN1_HUMAN Talin-1 OS=Homo sapiens GN=TLN1 PE=1 SV=3	2541	55.92	50.1	8.815	1	466	129	18	60	60	7	0.0	53	53	690706.5492	653530.7085	698578.2762	702596.2968	698817.9572	723558.8041	Q9Y490	TLN1	Q9Y490	2780253.4096999997	664691.8881	653999.787125	700242.107775	750190.5197	659345.8376125	725216.3137375	0.13737599810065576	0.099779556150957	0.188111281112182
PG246398	sp|P50990|TCPQ_HUMAN T-complex protein 1 subunit theta OS=Homo sapiens GN=CCT8 PE=1 SV=4	548	81.57	81.57	42.34	1	308	54	0	37	27	0	0.0	37	27	721435.3247	649913.6376	640410.4871	666639.2372	649814.0178	679659.2921	P50990	CCT8	P50990	2778415.2652999996	720156.23005	707793.453575	653999.787125	691383.0504000001	713974.8418125	672691.4187625	-0.08592838475444145	0.235248118124984	0.271650458626543
PG251623	sp|Q08211|DHX9_HUMAN ATP-dependent RNA helicase A OS=Homo sapiens GN=DHX9 PE=1 SV=4	1270	58.43	57.95	14.96	1	368	73	1	47	39	0	0.0	46	39	680175.7668	687481.6351	657981.3526	684881.9232	680379.5179	679318.2362	Q08211	DHX9	Q08211	2710949.0119000003	694692.6466	694692.6466	680348.6897	639216.955025	694692.6466	659782.8223625	-0.07438360891496373	0.299201042230037	0.307694447195978
PG253927	sp|P26038|MOES_HUMAN Moesin OS=Homo sapiens GN=MSN PE=1 SV=3	577	83.36	63.95	48.35	1	400	72	17	67	35	11	0.0	44	24	762470.6791	682281.2555	731655.7885	712720.3719	678752.5107	677560.0314	P26038	MSN	P26038	2708914.7404	661852.38835	656678.705525	694692.6466	707793.453575	659265.5469375	701243.0500875	0.08905487903656074	0.187917365371551	0.246106169884441
PG246778	sp|P11388-4|TOP2A_HUMAN Isoform 4 of DNA topoisomerase 2-alpha OS=Homo sapiens GN=TOP2A	1612	49.81	41.07	12.9	4	379	85	18	53	43	12	0.0	36	31	580605.8225	894146.7142	765681.6571	729917.9563	691246.1411	633027.4914	P11388|P11388-2|P11388-3|P11388-4	TOP2A	P11388-4	2668774.5431000004	684950.28235	669877.417325	818758.97105	488444.6574	677413.8498375	653601.8142250001	-0.05162549524351328	0.715699103736681	0.467251277574275
PG254341	sp|Q14980|NUMA1_HUMAN Nuclear mitotic apparatus protein 1 OS=Homo sapiens GN=NUMA1 PE=1 SV=2	2115	59.34	58.72	18.3	2	558	128	2	55	52	0	0.0	55	52	659939.8795	674330.0679	658662.4433	671658.3258	672326.9127	666964.8926	Q14980|Q14980-2	NUMA1	Q14980	2659624.3438999997	646057.628775	661852.38835	691383.0504000001	661852.38835	653955.0085625	676617.7193750001	0.049149575968838476	0.465749700102608	0.382989322009768
PG250596	sp|A5YKK6|CNOT1_HUMAN CCR4-NOT transcription complex subunit 1 OS=Homo sapiens GN=CNOT1 PE=1 SV=2	2376	30.47	30.47	2.441	1	185	68	0	37	34	0	0.0	37	34	651138.7945	652729.0681	621923.9654	617972.3205	620474.6608	656078.3552	A5YKK6	CNOT1	A5YKK6	2644513.5729	656678.705525	684950.28235	643518.867725	664691.8881	670814.4939375	654105.3779125	-0.03639078478895388	0.587026523379722	0.426159417175847
PG247900	sp|P13010|XRCC5_HUMAN X-ray repair cross-complementing protein 5 OS=Homo sapiens GN=XRCC5 PE=1 SV=3	732	71.99	71.99	25.82	1	317	55	0	50	28	0	0.0	50	28	669947.13	590478.2898	590891.6392	632232.7741	614936.939	630158.8585	P13010	XRCC5	P13010	2620809.2827999997	680348.6897	680348.6897	618385.66455	643518.867725	680348.6897	630952.2661375001	-0.10874347628950352	0.133932122834896	0.213806525173502
PG246346	sp|P17987|TCPA_HUMAN T-complex protein 1 subunit alpha OS=Homo sapiens GN=TCP1 PE=1 SV=1	556	59.53	59.53	18.17	1	289	34	0	45	23	0	0.0	45	23	680535.2714	625588.7864	620224.0895	640407.4594	639668.5004	642769.4116	P17987	TCP1	P17987	2596409.1438	643518.867725	643518.867725	630325.380025	680348.6897	643518.867725	655337.0348624999	0.026254616289632503	0.725571837909647	0.47065672812713
PG254610	sp|P07237|PDIA1_HUMAN Protein disulfide-isomerase OS=Homo sapiens GN=P4HB PE=1 SV=3	508	62.4	62.4	20.08	1	137	38	0	28	21	0	0.0	28	21	684877.1547	623550.7904	582882.71	589524.5472	551430.224	572718.2477	P07237	P4HB	P07237	2589130.0597	691383.0504000001	691383.0504000001	601805.4105	604547.7805999999	691383.0504000001	603176.59555	-0.19690478538662542	0.0210296706213773	0.105896467185071
PG251604	sp|Q16531|DDB1_HUMAN DNA damage-binding protein 1 OS=Homo sapiens GN=DDB1 PE=1 SV=1	1140	47.11	47.11	6.491	1	211	51	0	36	29	0	0.0	36	29	704681.4706	609501.6144	649212.7718	614033.0775	664717.8389	640733.7752	Q16531	DDB1	Q16531	2577974.5549	623512.9101	639216.955025	646057.628775	669877.417325	631364.9325625	657967.52305	0.05954224267966042	0.374831860044031	0.343506398638452
PG245923	sp|Q7KZF4|SND1_HUMAN Staphylococcal nuclease domain-containing protein 1 OS=Homo sapiens GN=SND1 PE=1 SV=1	910	58.9	58.9	17.91	1	266	57	0	38	30	0	0.0	38	30	744535.9953	658271.4268	719610.496	629655.4559	683299.8774	627169.6447	Q7KZF4	SND1	Q7KZF4	2565389.5987	585021.60785	593066.58155	664691.8881	710232.4056	589044.0947	687462.14685	0.2229046423533815	0.0227052462128305	0.108536213632849
PG246589	sp|P48643|TCPE_HUMAN T-complex protein 1 subunit epsilon OS=Homo sapiens GN=CCT5 PE=1 SV=1	541	71.9	68.95	26.8	1	263	45	2	45	28	1	0.0	42	27	661984.7221	606882.795	578270.5578	602734.9936	592239.6247	630823.6496	P48643	CCT5	P48643	2547471.3511	639216.955025	646057.628775	614537.581425	648690.6395	642637.2919000001	631614.1104625	-0.0249613002341467	0.702052942943411	0.463885533855935
PG256437	sp|P07814|SYEP_HUMAN Bifunctional glutamate/proline--tRNA ligase OS=Homo sapiens GN=EPRS PE=1 SV=5	1512	58.53	58.53	14.81	1	285	84	1	43	35	1	0.0	42	34	641851.8929	612669.4449	597626.2587	618540.0434	575791.2187	624979.9627	P07814	EPRS	P07814	2530671.5513999998	653999.787125	648690.6395	612771.5478000001	624684.744925	651345.2133125	618728.1463625	-0.07411671061610048	0.25881141022509	0.285653946686776
PG244907	tr|A0A0A0MT22|A0A0A0MT22_HUMAN Protein tyrosine phosphatase; receptor type; C; isoform CRA_d OS=Homo sapiens GN=PTPRC PE=1 SV=1	1306	42.42	42.42	10.49	4	162	54	0	44	38	0	0.0	44	38	699271.648	681662.2652	648165.6462	647690.2493	598157.8959	629798.199	P08575|P08575-2|A0A0A0MT22|X6R433	PTPRC	A0A0A0MT22	2529065.3164	615460.3251	621560.1461	636504.4984	656678.705525	618510.2356	646591.6019625	0.06405729936069744	0.331057817031571	0.324335029059985
PG242308	sp|P34932|HSP74_HUMAN Heat shock 70 kDa protein 4 OS=Homo sapiens GN=HSPA4 PE=1 SV=4	840	73.81	70.12	24.17	1	261	62	4	42	33	2	0.0	39	31	644085.2875	580427.6529	603061.5271	615187.1488	637119.9656	664598.4092	P34932	HSPA4	P34932	2518177.4842	616488.99375	636504.4984	616488.99375	653999.787125	626496.746075	635244.3904375001	0.020004714095737106	0.777281425108865	0.485805118751903
PG253672	sp|P25205-2|MCM3_HUMAN Isoform 2 of DNA replication licensing factor MCM3 OS=Homo sapiens GN=MCM3	853	66.59	66.59	23.8	2	389	66	0	33	27	0	0.0	33	27	662362.2052	627631.8747	599828.4377	598706.891	574779.7281	596347.5448	P25205|P25205-2	MCM3	P25205-2	2507644.6655	636504.4984	630325.380025	624684.744925	606560.301675	633414.9392125	615622.5233	-0.04110487861851438	0.515316622550007	0.401098810980416
PG244844	sp|P31939|PUR9_HUMAN Bifunctional purine biosynthesis protein PURH OS=Homo sapiens GN=ATIC PE=1 SV=3	592	88.01	86.99	29.56	1	246	51	1	45	33	0	0.0	43	31	651203.936	590361.2028	600288.8358	631994.1779	650237.3678	659081.9112	P31939	ATIC	P31939	2502121.9073	621560.1461	618385.66455	623512.9101	636504.4984	619972.9053249999	630008.70425	0.02316659436095057	0.705976770797444	0.465047677191543
PG245251	sp|Q92900|RENT1_HUMAN Regulator of nonsense transcripts 1 OS=Homo sapiens GN=UPF1 PE=1 SV=2	1129	50.84	50.13	4.606	2	206	50	2	34	33	2	0.0	32	31	646311.2443	600574.0072	586390.6983	585730.2351	592660.6786	601651.1455	Q92900|Q92900-2	UPF1	Q92900	2480357.92	648690.6395	610402.213775	610402.213775	621560.1461	629546.4266375001	615981.1799375	-0.03142650214406789	0.65392216391132	0.449546147461147
PG246232	sp|Q9NSD9|SYFB_HUMAN Phenylalanine--tRNA ligase beta subunit OS=Homo sapiens GN=FARSB PE=1 SV=3	589	60.1	60.1	10.53	1	119	35	0	24	23	0	0.0	24	23	667574.921	600925.3691	596289.9769	583389.1715	574689.489	595090.7664	Q9NSD9	FARSB	Q9NSD9	2467679.7808	624684.744925	612771.5478000001	615460.3251	614537.581425	618728.1463625	614998.9532625	-0.008721709653799873	0.886413860342215	0.514271673190467
PG253177	sp|P11021|GRP78_HUMAN 78 kDa glucose-regulated protein OS=Homo sapiens GN=HSPA5 PE=1 SV=2	654	59.33	58.26	28.59	1	274	46	3	44	31	2	0.0	37	28	629863.4757	557642.8226	554410.5635	562419.1199	505852.4998	513092.4118	P11021	HSPA5	P11021	2464566.6055000005	669877.417325	664691.8881	572179.5075000001	567108.365	667284.6527125	569643.93625	-0.22824189812298404	0.0126365030481173	0.0869277864543278
PG244223	sp|Q9BZE4|NOG1_HUMAN Nucleolar GTP-binding protein 1 OS=Homo sapiens GN=GTPBP4 PE=1 SV=3	634	55.84	55.84	19.72	1	189	41	0	39	26	0	0.0	39	26	561292.6794	673233.9567	642548.4775	650265.373	647908.6515	601171.9426	Q9BZE4	GTPBP4	Q9BZE4	2453671.4731	606560.301675	567108.365	684950.28235	593066.58155	586834.3333375	639008.43195	0.12288168837040002	0.269151316522477	0.291739734099995
PG252694	sp|P11413-2|G6PD_HUMAN Isoform Long of Glucose-6-phosphate 1-dehydrogenase OS=Homo sapiens GN=G6PD	561	63.28	63.28	15.15	3	155	36	0	30	25	0	0.0	30	25	644499.552	595267.2079	571375.7185	593172.8767	552347.2085	575415.3312	P11413|P11413-2|P11413-3	G6PD	P11413-2	2450680.6216	601805.4105	624684.744925	598747.6886999999	630325.380025	613245.0777125	614536.5343625	0.003035032897223521	0.966999833102451	0.534313212302564
PG253706	sp|Q9NU22|MDN1_HUMAN Midasin OS=Homo sapiens GN=MDN1 PE=1 SV=2	5596	16.19	16.07	1.179	1	169	75	1	56	40	0	0.0	55	40	476635.1602	526360.1532	755777.9839	780126.0794	750069.8539	783700.7534	Q9NU22	MDN1	Q9NU22	2450327.7691	481178.869525	471929.7855	735241.098175	754537.60725	476554.3275125	744889.3527125	0.6443854491004666	0.0002067010634932	0.0096319694714521
PG243872	sp|P35580|MYH10_HUMAN Myosin-10 OS=Homo sapiens GN=MYH10 PE=1 SV=3	1976	55.97	45.9	19.03	1	440	122	27	65	54	15	0.0	43	39	640409.0194	613214.3881	587810.0806	581665.6499	557607.7111	587559.9721	P35580	MYH10	P35580	2443222.8850999996	604547.7805999999	615460.3251	606560.301675	623512.9101	610004.05285	615036.6058875	0.011853451723116061	0.849740600822121	0.504331956358726
