Protein Group Name	Representative Protein Description	Total Amino Acids	Sequence Coverage (%)	Sequence Coverage Unshared only (%)	Sequence Redundancy (%)	Numbers of Proteins	# of PSMs	# of Unique Peptides	# Shared Peptides	# PSMs in Experiment	# Unique Seq in Experiment	# Shared Peptides in Experiment	P-Score	# Quantified PSMs	# Quantified Peptides	Uniprot IDs	Gene Names	Uniprot	tmpSum	0min_1	0min_2	0min_3	0min_4	5min_1	5min_2	5min_3	60min_1	60min_2	60min_3	mean0min	mean5min	log05	mean60min	log060	pVal05	qVal05	pVal060	qVal060
PG254341	sp|Q14980|NUMA1_HUMAN Nuclear mitotic apparatus protein 1 OS=Homo sapiens GN=NUMA1 PE=1 SV=2	2115	59.34	58.72	18.3	2	558	128	2	68	58	1	0.0	66	57	Q14980|Q14980-2	NUMA1	Q14980	62515739.899	5581215.3849	5649745.4813	5929097.972200001	5581215.3849	6134704.803099999	5997448.7491	6428465.2042000005	6920384.7915	6920384.7915	7019267.8815	5685318.555825	6186872.9188	0.12196921316986269	6953345.821500001	0.29046615562779005	0.0358475604604778	0.194929885561964	0.0002693891382494	0.0042840949882847
PG252205	sp|P68104|EF1A1_HUMAN Elongation factor 1-alpha 1 OS=Homo sapiens GN=EEF1A1 PE=1 SV=1	462	75.97	75.97	43.51	1	522	44	0	92	29	0	0.0	60	23	P68104	EEF1A1	P68104	61523074.298	6582334.0626	6428465.2042000005	6241908.3706	5929097.972200001	6582334.0626	6134704.803099999	6241908.3706	5929097.972200001	5929097.972200001	5649745.4813	6295451.4024	6319649.078766666	0.0055346226630746675	5835980.475233334	-0.10933477052951257	0.914376899808484	0.666373558172855	0.0788807863691052	0.110119744529954
PG252155	sp|P13639|EF2_HUMAN Elongation factor 2 OS=Homo sapiens GN=EEF2 PE=1 SV=4	858	74.36	73.19	33.57	1	517	74	1	80	49	1	0.0	53	35	P13639	EEF2	P13639	60906931.152	5649745.4813	5710469.387700001	5443348.1151	6134704.803099999	5581215.3849	7166466.184800001	5790988.9712	5997448.7491	6241908.3706	6428465.2042000005	5734566.946799999	6179556.846966666	0.10781883882353487	6222607.4413	0.11783469201935703	0.316855961297373	0.447922120300786	0.0726701174270283	0.104134343454489
PG251925	sp|Q14204|DYHC1_HUMAN Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens GN=DYNC1H1 PE=1 SV=5	4646	44.25	44.12	6.414	1	566	191	1	68	62	1	0.0	67	61	Q14204	DYNC1H1	Q14204	60609714.53	5443348.1151	5443348.1151	5581215.3849	5196718.469	5710469.387700001	5710469.387700001	5997448.7491	6582334.0626	6582334.0626	7166466.184800001	5416157.521025	5806129.174833334	0.10030697121902081	6777044.7700000005	0.3233866039067404	0.0645865534827066	0.245405344246295	0.0003994767432795	0.0050787458109475
PG250345	sp|P10809|CH60_HUMAN 60 kDa heat shock protein; mitochondrial OS=Homo sapiens GN=HSPD1 PE=1 SV=2	573	88.13	88.13	47.29	1	596	64	0	149	46	0	0.0	104	33	P10809	HSPD1	P10809	58873883.997999996	5406698.3387	5581215.3849	5310915.342800001	5500386.7386	5310915.342800001	6582334.0626	6134704.803099999	6241908.3706	6134704.803099999	6241908.3706	5449803.95125	6009318.069499999	0.1409969528789079	6206173.848099999	0.18749977840965817	0.11169357746448	0.297256619291713	0.0028889740834059	0.0135183107229673
PG256526	sp|P31948-2|STIP1_HUMAN Isoform 2 of Stress-induced-phosphoprotein 1 OS=Homo sapiens GN=STIP1	590	68.14	68.14	34.75	2	232	58	0	56	37	0	0.0	43	27	P31948|P31948-2	STIP1	P31948-2	57513400.97400001	6134704.803099999	5997448.7491	6134704.803099999	6582334.0626	6241908.3706	5443348.1151	5581215.3849	5581215.3849	5127334.3876	5127334.3876	6212298.104474999	5755490.623533334	-0.11018814549491217	5278628.053366668	-0.2349640474807282	0.118336322598009	0.304377754051423	0.0036808951859807	0.0154058738501553
PG254244	sp|Q14978-2|NOLC1_HUMAN Isoform Beta of Nucleolar and coiled-body phosphoprotein 1 OS=Homo sapiens GN=NOLC1	709	56.42	56.42	30.18	2	372	58	0	44	32	0	0.0	34	26	Q14978-2|A0A0A0MRM9	NOLC1	Q14978-2	57487031.536	5929097.972200001	5929097.972200001	5710469.387700001	5997448.7491	5929097.972200001	5581215.3849	5929097.972200001	5710469.387700001	5790988.9712	5406698.3387	5891528.520300001	5813137.109766667	-0.01932504418894208	5636052.232533333	-0.06395699884882267	0.677267688572606	0.599832887075531	0.214872491147869	0.216791352697791
PG246525	sp|P55072|TERA_HUMAN Transitional endoplasmic reticulum ATPase OS=Homo sapiens GN=VCP PE=1 SV=4	806	73.7	73.7	33.37	1	387	64	1	67	47	1	0.0	49	35	P55072	VCP	P55072	56558558.05900001	6670085.547900001	6670085.547900001	6428465.2042000005	6428465.2042000005	5997448.7491	5500386.7386	5443348.1151	4642949.0329	4587512.8308	4137176.1377	6549275.37605	5647061.2009333335	-0.2138350261869178	4455879.333799999	-0.5556251283247675	0.0035411056786488	0.0940615708232835	1.48145699875853e-05	0.0007656872608597
PG247900	sp|P13010|XRCC5_HUMAN X-ray repair cross-complementing protein 5 OS=Homo sapiens GN=XRCC5 PE=1 SV=3	732	71.99	71.99	25.82	1	317	55	0	54	36	0	0.0	45	31	P13010	XRCC5	P13010	56555936.250999995	5790988.9712	6134704.803099999	5790988.9712	5710469.387700001	5406698.3387	5649745.4813	5649745.4813	5310915.342800001	5500386.7386	5310915.342800001	5856788.033299999	5568729.7671	-0.07276139701713656	5374072.474733333	-0.12409390424305193	0.159537520084091	0.341397641757882	0.0326039710141266	0.0611762605096839
PG253927	sp|P26038|MOES_HUMAN Moesin OS=Homo sapiens GN=MSN PE=1 SV=3	577	83.36	63.95	48.35	1	400	72	17	123	61	15	0.0	50	34	P26038	MSN	P26038	55924124.31600001	5710469.387700001	5500386.7386	5406698.3387	5310915.342800001	5649745.4813	6241908.3706	5710469.387700001	5790988.9712	5649745.4813	4809849.0803000005	5482117.451950001	5867374.413200001	0.09798181966085902	5416861.1776	-0.01727611946135555	0.112437031561474	0.298106676698233	0.777163045432474	0.483404269084744
PG247965	sp|P53396|ACLY_HUMAN ATP-citrate synthase OS=Homo sapiens GN=ACLY PE=1 SV=3	1101	62.31	62.31	14.99	1	442	67	0	55	39	0	0.0	46	35	P53396	ACLY	P53396	55376954.489	5997448.7491	5790988.9712	5997448.7491	5443348.1151	5500386.7386	5406698.3387	5500386.7386	5265939.2886	5310915.342800001	4913226.4136	5807308.646125	5469157.271966667	-0.08655116319121026	5163360.348333334	-0.16955942567935292	0.129125001705773	0.317475066805878	0.0190353586420406	0.0430306722568637
PG247812	sp|P08670|VIME_HUMAN Vimentin OS=Homo sapiens GN=VIM PE=1 SV=4	466	91.85	86.7	56.87	1	570	64	4	90	49	2	0.0	65	40	P08670	VIM	P08670	54261154.17499999	5500386.7386	5406698.3387	5649745.4813	5790988.9712	5790988.9712	4975632.6081	5406698.3387	5500386.7386	5196718.469	4975632.6081	5586954.88245	5391106.639333333	-0.05148072260314662	5224245.938566666	-0.09683935449304806	0.410480036811956	0.497727401049778	0.108931902654028	0.1359633212137
PG246398	sp|P50990|TCPQ_HUMAN T-complex protein 1 subunit theta OS=Homo sapiens GN=CCT8 PE=1 SV=4	548	81.57	81.57	42.34	1	308	54	0	60	36	0	0.0	43	27	P50990	CCT8	P50990	52706721.987	5127334.3876	5196718.469	5500386.7386	5649745.4813	5443348.1151	5042875.0821	5196718.469	5196718.469	5265939.2886	5042875.0821	5368546.269125	5227647.222066667	-0.0383696916204849	5168510.9465666665	-0.0547827800339834	0.508080892882452	0.542444016833159	0.340506684641256	0.292209826401758
PG246124	sp|Q9Y5B9|SP16H_HUMAN FACT complex subunit SPT16 OS=Homo sapiens GN=SUPT16H PE=1 SV=1	1047	54.82	54.82	22.06	1	218	67	0	41	30	0	0.0	38	28	Q9Y5B9	SUPT16H	Q9Y5B9	52452417.149000004	5265939.2886	5265939.2886	5196718.469	5265939.2886	5196718.469	5310915.342800001	5042875.0821	5042875.0821	5406698.3387	5500386.7386	5248634.083699999	5183502.9646333335	-0.018014633618485317	5316653.386466667	0.018576393093064223	0.667284235382577	0.598097159417459	0.724531029733724	0.463872984951518
PG254610	sp|P07237|PDIA1_HUMAN Protein disulfide-isomerase OS=Homo sapiens GN=P4HB PE=1 SV=3	508	62.4	62.4	20.08	1	137	38	0	37	28	0	0.0	32	25	P07237	P4HB	P07237	50438032.265	5196718.469	5310915.342800001	5127334.3876	5406698.3387	5265939.2886	4403726.597200001	4856113.2020000005	4809849.0803000005	4913226.4136	4256220.714	5260416.634525	4841926.3626	-0.11959592951782222	4659765.402633334	-0.17491974433440155	0.102495448999428	0.28771994943742	0.0225991591859321	0.0483020653708161
PG256437	sp|P07814|SYEP_HUMAN Bifunctional glutamate/proline--tRNA ligase OS=Homo sapiens GN=EPRS PE=1 SV=5	1512	58.53	58.53	14.81	1	285	84	1	44	36	0	0.0	42	34	P07814	EPRS	P07814	50286624.858	4856113.2020000005	4913226.4136	4856113.2020000005	4545562.8879	4975632.6081	5127334.3876	5127334.3876	5649745.4813	5443348.1151	5929097.972200001	4792753.926375	5076767.127766666	0.08305521511125123	5674063.856199999	0.24352751707661488	0.112621719343547	0.298318061542032	0.0021655363494244	0.011725496343126
PG253334	sp|P20700|LMNB1_HUMAN Lamin-B1 OS=Homo sapiens GN=LMNB1 PE=1 SV=2	586	74.06	68.77	42.32	1	401	61	8	61	43	5	0.0	43	31	P20700	LMNB1	P20700	50206346.86000001	5042875.0821	5127334.3876	5042875.0821	5127334.3876	5127334.3876	5196718.469	4913226.4136	4716147.5721	4975632.6081	4683005.7498	5085104.734850001	5079093.090066667	-0.0017065726734592772	4791595.31	-0.08577142301299345	0.96198422682621	0.676585194114962	0.092763889142319	0.12194047800484
PG246349	sp|Q99832|TCPH_HUMAN T-complex protein 1 subunit eta OS=Homo sapiens GN=CCT7 PE=1 SV=2	543	86.19	86.19	26.15	1	290	47	0	50	32	0	0.0	42	29	Q99832	CCT7	Q99832	50144721.12	5310915.342800001	5042875.0821	5265939.2886	5042875.0821	5042875.0821	4683005.7498	5310915.342800001	4749905.5277	4683005.7498	4545562.8879	5165651.1989	5012265.391566667	-0.043487426299677216	4659491.388466666	-0.1487777467888133	0.446853989360568	0.515026628879575	0.0136233650837604	0.0345803068400902
PG244629	sp|P09874|PARP1_HUMAN Poly [ADP-ribose] polymerase 1 OS=Homo sapiens GN=PARP1 PE=1 SV=4	1014	57.89	57.89	14.2	1	202	60	0	44	34	0	0.0	36	29	P09874	PARP1	P09874	50059769.34200001	4913226.4136	4975632.6081	4913226.4136	3486085.2261	4913226.4136	5265939.2886	5265939.2886	5406698.3387	5710469.387700001	5790988.9712	4572042.665349999	5148368.330266667	0.1712764055918408	5636052.232533333	0.3018461154482385	0.194797223999295	0.367449807171982	0.0428839956949227	0.0723386504244428
PG263424	tr|A0A0C4DG89|A0A0C4DG89_HUMAN Probable ATP-dependent RNA helicase DDX46 OS=Homo sapiens GN=DDX46 PE=1 SV=1	1032	61.05	60.95	17.73	1	178	66	2	39	35	2	0.0	36	32	A0A0C4DG89	DDX46	A0A0C4DG89	49715782.719000004	4545562.8879	4587512.8308	4587512.8308	4913226.4136	4856113.2020000005	4913226.4136	4975632.6081	5443348.1151	5581215.3849	5997448.7491	4658453.740775	4914990.741233334	0.07733753167134229	5674004.0830333335	0.284516021605659	0.132567890774635	0.321587646587194	0.0011288781789891	0.0080984678810412
PG245923	sp|Q7KZF4|SND1_HUMAN Staphylococcal nuclease domain-containing protein 1 OS=Homo sapiens GN=SND1 PE=1 SV=1	910	58.9	58.9	17.91	1	266	57	0	44	32	0	0.0	41	31	Q7KZF4	SND1	Q7KZF4	47960877.015	4587512.8308	4545562.8879	4716147.5721	4683005.7498	4809849.0803000005	4809849.0803000005	4716147.5721	5127334.3876	5042875.0821	5265939.2886	4633057.26015	4778615.2442333335	0.04462809918041649	5145382.919433334	0.15131393367947632	0.301330022544439	0.439349235016958	0.0094632393554016	0.0269344488791279
PG251604	sp|Q16531|DDB1_HUMAN DNA damage-binding protein 1 OS=Homo sapiens GN=DDB1 PE=1 SV=1	1140	47.11	47.11	6.491	1	211	51	0	37	29	0	0.0	34	28	Q16531	DDB1	Q16531	47698234.703	4642949.0329	4856113.2020000005	4749905.5277	4975632.6081	4749905.5277	4749905.5277	4587512.8308	4856113.2020000005	4856113.2020000005	4749905.5277	4806150.092675	4695774.628733333	-0.03351853480946839	4820710.6439000005	0.004364133155778207	0.480380456559458	0.531056062411767	0.919623361052656	0.527716861329437
PG244525	sp|P13667|PDIA4_HUMAN Protein disulfide-isomerase A4 OS=Homo sapiens GN=PDIA4 PE=1 SV=2	645	60.62	59.69	30.23	1	186	46	2	33	30	1	0.0	32	29	P13667	PDIA4	P13667	47151792.432000004	4683005.7498	4809849.0803000005	4642949.0329	4809849.0803000005	4716147.5721	4545562.8879	4749905.5277	4587512.8308	4642949.0329	4642949.0329	4736413.235825	4670538.6625666665	-0.02020600822120437	4624470.298866666	-0.03450683231723517	0.64435133988799	0.590579117845425	0.440266907564813	0.344214482375559
PG242280	sp|P08238|HS90B_HUMAN Heat shock protein HSP 90-beta OS=Homo sapiens GN=HSP90AB1 PE=1 SV=4	724	74.72	55.66	32.04	1	1027	79	30	216	57	24	0.0	58	27	P08238	HSP90AB1	P08238	46722289.198	4403726.597200001	4403726.597200001	4464710.3552	4749905.5277	4642949.0329	4856113.2020000005	4683005.7498	4913226.4136	4749905.5277	5196718.469	4505517.269325	4727355.9949	0.06934076290433733	4953283.4701000005	0.1366924384861534	0.184118714033536	0.362650866021694	0.0375040574204877	0.0665800586225189
PG243481	sp|P42704|LPPRC_HUMAN Leucine-rich PPR motif-containing protein; mitochondrial OS=Homo sapiens GN=LRPPRC PE=1 SV=3	1394	60.33	59.83	18.65	1	275	82	1	34	30	1	0.0	33	29	P42704	LRPPRC	P42704	46039122.000999995	4300937.4454	4348572.5099	4348572.5099	4642949.0329	4587512.8308	4642949.0329	4642949.0329	4975632.6081	4716147.5721	5443348.1151	4410257.874524999	4624470.298866666	0.06842510950430461	5045042.7650999995	0.1940034837800361	0.16921046611316	0.349977760010665	0.0167789648339554	0.0397474231955263
PG244570	sp|P00558|PGK1_HUMAN Phosphoglycerate kinase 1 OS=Homo sapiens GN=PGK1 PE=1 SV=3	417	91.85	82.49	40.05	1	291	46	9	60	36	5	0.0	35	23	P00558	PGK1	P00558	46008695.192	4975632.6081	4749905.5277	4975632.6081	4856113.2020000005	4683005.7498	3902500.8854	4809849.0803000005	4403726.597200001	4300937.4454	4101907.8865	4889320.986475	4465118.571833334	-0.1309356353187353	4268857.3097	-0.19578418209342505	0.118006292598208	0.304314753814378	0.0039376343869158	0.0160766383357822
PG242295	sp|Q16666|IF16_HUMAN Gamma-interferon-inducible protein 16 OS=Homo sapiens GN=IFI16 PE=1 SV=3	785	65.1	64.33	31.34	2	310	61	2	37	28	1	0.0	31	25	Q16666|Q16666-2	IFI16	Q16666	44795700.838	4749905.5277	4683005.7498	4809849.0803000005	3342093.8658	4464710.3552	4716147.5721	4464710.3552	4464710.3552	4464710.3552	4716147.5721	4396213.5559	4548522.760833333	0.04913660229284548	4548522.760833333	0.04913660229284548	0.637097885631517	0.588608937302494	0.636581719630784	0.430982074485212
PG243872	sp|P35580|MYH10_HUMAN Myosin-10 OS=Homo sapiens GN=MYH10 PE=1 SV=3	1976	55.97	45.9	19.03	1	440	122	27	75	61	16	0.0	50	43	P35580	MYH10	P35580	44576049.792	3972125.8792000003	4214185.3382	4072535.4744	4403726.597200001	4348572.5099	4256220.714	4403726.597200001	4683005.7498	4809849.0803000005	5581215.3849	4165643.32225	4336173.2737	0.05788309221469245	5024690.071666666	0.27049529624634194	0.277895537406469	0.426248899232748	0.0078828523631858	0.0239981541694973
PG255306	sp|Q6P2Q9|PRP8_HUMAN Pre-mRNA-processing-splicing factor 8 OS=Homo sapiens GN=PRPF8 PE=1 SV=2	2335	55.07	54.82	10.58	1	433	122	1	36	35	1	0.0	33	32	Q6P2Q9	PRPF8	Q6P2Q9	43916362.764	4348572.5099	4464710.3552	4256220.714	4464710.3552	4300937.4454	4348572.5099	4300937.4454	4300937.4454	4403726.597200001	4464710.3552	4383553.4835749995	4316815.800233333	-0.022133316440155894	4389791.465933333	0.0020515567966060667	0.61233212059421	0.581095258521935	0.962367302567048	0.538811252112256
PG251579	tr|A0A0G2JH68|A0A0G2JH68_HUMAN Protein diaphanous homolog 1 OS=Homo sapiens GN=DIAPH1 PE=1 SV=1	1272	51.57	51.02	11.4	2	182	63	1	38	31	0	0.0	37	30	O60610|A0A0G2JH68	DIAPH1	A0A0G2JH68	43879122.26800001	4137176.1377	4256220.714	4137176.1377	3877506.1449	4403726.597200001	4464710.3552	4545562.8879	4545562.8879	4545562.8879	4856113.2020000005	4102019.783575	4471333.2801	0.12437063436687161	4649079.6592666665	0.18061069601751334	0.0332401688697221	0.189710337112677	0.0105669655615001	0.0290927846829636
PG251481	sp|O43143|DHX15_HUMAN Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 OS=Homo sapiens GN=DHX15 PE=1 SV=2	795	60.63	59.5	18.62	1	293	52	1	35	26	0	0.0	33	25	O43143	DHX15	O43143	42911906.037999995	4101907.8865	4172008.4469	4300937.4454	4072535.4744	4214185.3382	4587512.8308	4256220.714	4348572.5099	4348572.5099	4300937.4454	4161847.3133	4352639.627666666	0.06466654107230023	4332694.155066666	0.05804036280161984	0.234299712746381	0.399913992074564	0.22009895909212	0.220502293583435
PG251703	sp|P17844|DDX5_HUMAN Probable ATP-dependent RNA helicase DDX5 OS=Homo sapiens GN=DDX5 PE=1 SV=1	614	66.29	55.21	27.85	1	294	53	10	59	41	10	0.0	32	24	P17844	DDX5	P17844	42651580.386	4809849.0803000005	4716147.5721	4545562.8879	4214185.3382	4256220.714	4300937.4454	4214185.3382	3933990.4291999997	4022505.4688	3800698.79	4571436.219625001	4257114.4992	-0.1027715983152696	3919064.896	-0.2221380288308299	0.113180367945786	0.298961970414518	0.006768011836774	0.0216474406126382
PG242308	sp|P34932|HSP74_HUMAN Heat shock 70 kDa protein 4 OS=Homo sapiens GN=HSPA4 PE=1 SV=4	840	73.81	70.12	24.17	1	261	62	4	55	41	3	0.0	42	33	P34932	HSPA4	P34932	42164192.885	4256220.714	4137176.1377	4403726.597200001	4716147.5721	4545562.8879	3933990.4291999997	4348572.5099	4022505.4688	4101907.8865	3862872.7044	4378317.75525	4276041.942333333	-0.03410065746454194	3995762.0199	-0.13190600005328046	0.62951589385	0.587525821732787	0.0598739669821806	0.090702117244216
PG245587	sp|P39023|RL3_HUMAN 60S ribosomal protein L3 OS=Homo sapiens GN=RPL3 PE=1 SV=2	403	62.53	62.53	30.02	1	200	35	0	41	26	0	0.0	28	20	P39023	RPL3	P39023	41264715.331	4464710.3552	4300937.4454	4172008.4469	4587512.8308	4137176.1377	4172008.4469	3972125.8792000003	3877506.1449	3933990.4291999997	3778957.7517999997	4381292.269575	4093770.1546	-0.09792635365484327	3863484.7753	-0.18145374515275953	0.0918269032407866	0.275453462646899	0.0084201499699856	0.025129271781807
PG250918	sp|Q9NR30|DDX21_HUMAN Nucleolar RNA helicase 2 OS=Homo sapiens GN=DDX21 PE=1 SV=5	783	62.58	58.24	27.2	1	691	59	3	42	32	2	0.0	36	27	Q9NR30	DDX21	Q9NR30	40558193.148	4022505.4688	4022505.4688	4214185.3382	3111586.4593	4101907.8865	4072535.4744	4137176.1377	4256220.714	4256220.714	4172008.4469	3842695.6837750003	4103873.1661999994	0.09486741491248535	4228149.958299999	0.1379078162172876	0.348016047584868	0.466753509374706	0.1990343819996	0.207723639134636
PG242147	sp|P07900-2|HS90A_HUMAN Isoform 2 of Heat shock protein HSP 90-alpha OS=Homo sapiens GN=HSP90AA1	854	59.02	41.33	30.56	2	901	71	32	183	53	24	0.0	46	23	P07900|P07900-2	HSP90AA1	P07900-2	40316319.843	3902500.8854	4072535.4744	3917977.4527999996	4172008.4469	3996775.8075	4214185.3382	4101907.8865	3972125.8792000003	3954472.6827	4072535.4744	4016255.564875	4104289.6774000004	0.031281484092654833	3999711.3454333334	-0.005955188563452049	0.519705915709432	0.545970577254144	0.909069157366422	0.524040634587537
PG251623	sp|Q08211|DHX9_HUMAN ATP-dependent RNA helicase A OS=Homo sapiens GN=DHX9 PE=1 SV=4	1270	58.43	57.95	14.96	1	368	73	1	57	47	0	0.0	43	38	Q08211	DHX9	Q08211	40171929.691	4214185.3382	4101907.8865	4101907.8865	3972125.8792000003	4072535.4744	3996775.8075	4072535.4744	3917977.4527999996	3842841.9015	3842841.9015	4097531.7476000004	4047282.2521	-0.017801663186695904	3867887.0852666665	-0.08320944832491192	0.687626677453979	0.603391081133285	0.0981121218881409	0.126556776392144
PG246064	sp|Q15393|SF3B3_HUMAN Splicing factor 3B subunit 3 OS=Homo sapiens GN=SF3B3 PE=1 SV=4	1217	49.63	49.14	12.0	1	205	58	1	42	35	1	0.0	39	32	Q15393	SF3B3	Q15393	39916729.379999995	3674386.4438	3917977.4527999996	3842841.9015	4101907.8865	3902500.8854	4022505.4688	3954472.6827	4054611.6244	4214185.3382	4348572.5099	3884278.42115	3959826.345633333	0.02779054830666495	4205789.824166667	0.11473014072124717	0.584632447993071	0.571766202995796	0.0718716025975159	0.10325033324944
