Protein Group Name,Uniprot IDs,Representative Protein Description,Uniprot,Exp1 5 min log2 fold change,Exp1 5 min q-value,Exp1 60 min log2 fold change,Exp1 60 min q-value,Exp2 5 min log2 fold change,Exp2 5 min q-value,Exp2 60 min log2 fold change,Exp2 60 min q-value,Significant
PG253927,P26038,sp|P26038|MOES_HUMAN Moesin OS=Homo sapiens GN=MSN PE=1 SV=3,P26038,0.09798181966085902,0.298106676698233,-0.01727611946135555,0.483404269084744,0.08905487903656074,0.246106169884441,0.10516670053169434,0.343827952729772,False
PG247965,P53396,sp|P53396|ACLY_HUMAN ATP-citrate synthase OS=Homo sapiens GN=ACLY PE=1 SV=3,P53396,-0.08655116319121026,0.317475066805878,-0.16955942567935292,0.0430306722568637,-0.013750646592358699,0.497093107554635,0.015452511526743687,0.637411411679921,False
PG247812,P08670,sp|P08670|VIME_HUMAN Vimentin OS=Homo sapiens GN=VIM PE=1 SV=4,P08670,-0.05148072260314662,0.497727401049778,-0.09683935449304806,0.1359633212137,-0.035500524066996345,0.425926959842823,0.0669107207420182,0.492974873184869,False
PG246398,P50990,sp|P50990|TCPQ_HUMAN T-complex protein 1 subunit theta OS=Homo sapiens GN=CCT8 PE=1 SV=4,P50990,-0.0383696916204849,0.542444016833159,-0.0547827800339834,0.292209826401758,-0.08592838475444145,0.271650458626543,0.045914629292736216,0.52051491815516,False
PG246124,Q9Y5B9,sp|Q9Y5B9|SP16H_HUMAN FACT complex subunit SPT16 OS=Homo sapiens GN=SUPT16H PE=1 SV=1,Q9Y5B9,-0.018014633618485317,0.598097159417459,0.018576393093064223,0.463872984951518,-0.14427808174065238,0.149670807899915,-0.176352260937363,0.200714154711814,False
PG254610,P07237,sp|P07237|PDIA1_HUMAN Protein disulfide-isomerase OS=Homo sapiens GN=P4HB PE=1 SV=3,P07237,-0.11959592951782222,0.28771994943742,-0.17491974433440155,0.0483020653708161,-0.19690478538662542,0.105896467185071,-0.15568208077519743,0.267473182348977,False
PG256437,P07814,sp|P07814|SYEP_HUMAN Bifunctional glutamate/proline--tRNA ligase OS=Homo sapiens GN=EPRS PE=1 SV=5,P07814,0.08305521511125123,0.298318061542032,0.24352751707661488,0.011725496343126,-0.07411671061610048,0.285653946686776,-0.07585267671552111,0.407221831120329,False
PG253334,P20700,sp|P20700|LMNB1_HUMAN Lamin-B1 OS=Homo sapiens GN=LMNB1 PE=1 SV=2,P20700,-0.0017065726734592772,0.676585194114962,-0.08577142301299345,0.12194047800484,-0.06651650928574351,0.377162817137453,-0.01830365282924655,0.642151381845827,False
PG246349,Q99832,sp|Q99832|TCPH_HUMAN T-complex protein 1 subunit eta OS=Homo sapiens GN=CCT7 PE=1 SV=2,Q99832,-0.043487426299677216,0.515026628879575,-0.1487777467888133,0.0345803068400902,-0.013771955399242926,0.49872718469769,0.11675206249822304,0.374005057714118,False
PG244629,P09874,sp|P09874|PARP1_HUMAN Poly [ADP-ribose] polymerase 1 OS=Homo sapiens GN=PARP1 PE=1 SV=4,P09874,0.1712764055918408,0.367449807171982,0.3018461154482385,0.0723386504244428,0.06017503976780319,0.50086270475147,-0.0007620573488870969,0.652897783126658,False
PG263424,A0A0C4DG89,tr|A0A0C4DG89|A0A0C4DG89_HUMAN Probable ATP-dependent RNA helicase DDX46 OS=Homo sapiens GN=DDX46 PE=1 SV=1,A0A0C4DG89,0.07733753167134229,0.321587646587194,0.284516021605659,0.0080984678810412,-0.12112590423232124,0.212941289683378,-0.08129918841428144,0.388311947597173,False
PG245923,Q7KZF4,sp|Q7KZF4|SND1_HUMAN Staphylococcal nuclease domain-containing protein 1 OS=Homo sapiens GN=SND1 PE=1 SV=1,Q7KZF4,0.04462809918041649,0.439349235016958,0.15131393367947632,0.0269344488791279,0.2229046423533815,0.108536213632849,0.09640328912407442,0.349110883716614,False
PG251604,Q16531,sp|Q16531|DDB1_HUMAN DNA damage-binding protein 1 OS=Homo sapiens GN=DDB1 PE=1 SV=1,Q16531,-0.03351853480946839,0.531056062411767,0.004364133155778207,0.527716861329437,0.05954224267966042,0.343506398638452,-0.03998659778578559,0.573574770038846,False
PG244525,P13667,sp|P13667|PDIA4_HUMAN Protein disulfide-isomerase A4 OS=Homo sapiens GN=PDIA4 PE=1 SV=2,P13667,-0.02020600822120437,0.590579117845425,-0.03450683231723517,0.344214482375559,-0.1805639151340223,0.123634243789616,-0.1485350466927767,0.2281962918147,False
PG242280,P08238,sp|P08238|HS90B_HUMAN Heat shock protein HSP 90-beta OS=Homo sapiens GN=HSP90AB1 PE=1 SV=4,P08238,0.06934076290433733,0.362650866021694,0.1366924384861534,0.0665800586225189,-0.024179006088182572,0.466434154446726,0.005269173127722326,0.677637636186941,False
PG243481,P42704,sp|P42704|LPPRC_HUMAN Leucine-rich PPR motif-containing protein; mitochondrial OS=Homo sapiens GN=LRPPRC PE=1 SV=3,P42704,0.06842510950430461,0.349977760010665,0.1940034837800361,0.0397474231955263,-0.22399407716670583,0.0890334468782879,-0.1839309179298471,0.188434042203866,False
PG244570,P00558,sp|P00558|PGK1_HUMAN Phosphoglycerate kinase 1 OS=Homo sapiens GN=PGK1 PE=1 SV=3,P00558,-0.1309356353187353,0.304314753814378,-0.19578418209342505,0.0160766383357822,0.018405440230989837,0.485805118751903,0.2027276771049324,0.238471333280155,False
PG242295,Q16666|Q16666-2,sp|Q16666|IF16_HUMAN Gamma-interferon-inducible protein 16 OS=Homo sapiens GN=IFI16 PE=1 SV=3,Q16666,0.04913660229284548,0.588608937302494,0.04913660229284548,0.430982074485212,0.08972876692492805,0.470789867803281,0.12116032910656725,0.583701243111023,False
PG243872,P35580,sp|P35580|MYH10_HUMAN Myosin-10 OS=Homo sapiens GN=MYH10 PE=1 SV=3,P35580,0.05788309221469245,0.426248899232748,0.27049529624634194,0.0239981541694973,0.011853451723116061,0.504331956358726,-0.0015553072676200968,0.677637636186941,False
PG255306,Q6P2Q9,sp|Q6P2Q9|PRP8_HUMAN Pre-mRNA-processing-splicing factor 8 OS=Homo sapiens GN=PRPF8 PE=1 SV=2,Q6P2Q9,-0.022133316440155894,0.581095258521935,0.0020515567966060667,0.538811252112256,-0.03719268658095705,0.453217386622224,-0.06169663128023791,0.520757481255861,False
PG251579,O60610|A0A0G2JH68,tr|A0A0G2JH68|A0A0G2JH68_HUMAN Protein diaphanous homolog 1 OS=Homo sapiens GN=DIAPH1 PE=1 SV=1,A0A0G2JH68,0.12437063436687161,0.189710337112677,0.18061069601751334,0.0290927846829636,-0.01761581199651872,0.485982120862847,-0.08513144815677698,0.425712666865896,False
PG251481,O43143,sp|O43143|DHX15_HUMAN Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 OS=Homo sapiens GN=DHX15 PE=1 SV=2,O43143,0.06466654107230023,0.399913992074564,0.05804036280161984,0.220502293583435,-0.038740227442096604,0.446481489162135,-0.07359590689954311,0.514962683901777,False
PG251703,P17844,sp|P17844|DDX5_HUMAN Probable ATP-dependent RNA helicase DDX5 OS=Homo sapiens GN=DDX5 PE=1 SV=1,P17844,-0.1027715983152696,0.298961970414518,-0.2221380288308299,0.0216474406126382,0.02056434185900954,0.479504685106458,0.20611679405814823,0.160641904367826,False
PG242308,P34932,sp|P34932|HSP74_HUMAN Heat shock 70 kDa protein 4 OS=Homo sapiens GN=HSPA4 PE=1 SV=4,P34932,-0.03410065746454194,0.587525821732787,-0.13190600005328046,0.090702117244216,0.020004714095737106,0.485805118751903,-0.009746687877599159,0.656698990791785,False
PG245587,P39023,sp|P39023|RL3_HUMAN 60S ribosomal protein L3 OS=Homo sapiens GN=RPL3 PE=1 SV=2,P39023,-0.09792635365484327,0.275453462646899,-0.18145374515275953,0.025129271781807,0.31946252318095153,0.0512784608615418,0.20295758983574194,0.231528817583826,False
PG250918,Q9NR30,sp|Q9NR30|DDX21_HUMAN Nucleolar RNA helicase 2 OS=Homo sapiens GN=DDX21 PE=1 SV=5,Q9NR30,0.09486741491248535,0.466753509374706,0.1379078162172876,0.207723639134636,0.15872940370838912,0.398437886349833,0.1411074372334601,0.572350881524813,False
PG242147,P07900|P07900-2,sp|P07900-2|HS90A_HUMAN Isoform 2 of Heat shock protein HSP 90-alpha OS=Homo sapiens GN=HSP90AA1,P07900-2,0.031281484092654833,0.545970577254144,-0.005955188563452049,0.524040634587537,-0.029010311491866513,0.445657442096214,0.07114047737297173,0.463861345707309,False
PG251623,Q08211,sp|Q08211|DHX9_HUMAN ATP-dependent RNA helicase A OS=Homo sapiens GN=DHX9 PE=1 SV=4,Q08211,-0.017801663186695904,0.603391081133285,-0.08320944832491192,0.126556776392144,-0.07438360891496373,0.307694447195978,-0.139431197075997,0.303252680025079,False
PG246064,Q15393,sp|Q15393|SF3B3_HUMAN Splicing factor 3B subunit 3 OS=Homo sapiens GN=SF3B3 PE=1 SV=4,Q15393,0.02779054830666495,0.571766202995796,0.11473014072124717,0.10325033324944,-0.10398141655758887,0.216735412497798,-0.14506677400396992,0.253946604973712,False
PG253251,P16401,sp|P16401|H15_HUMAN Histone H1.5 OS=Homo sapiens GN=HIST1H1B PE=1 SV=3,P16401,-0.09547235461054562,0.638779747064175,-0.1057886345110862,0.478122605413478,1.3945330176995379,0.0017869908742292,1.1000624887711707,0.0990321380328786,True
PG247528,P22314,sp|P22314|UBA1_HUMAN Ubiquitin-like modifier-activating enzyme 1 OS=Homo sapiens GN=UBA1 PE=1 SV=3,P22314,0.050111488848840834,0.447922120300786,-0.08447761818960174,0.1755514878322,-0.06546380905194088,0.336238150629942,0.024290088015841673,0.616870871207352,False
PG248952,P25705,sp|P25705|ATPA_HUMAN ATP synthase subunit alpha; mitochondrial OS=Homo sapiens GN=ATP5A1 PE=1 SV=1,P25705,-0.002123188468793349,0.673818192871336,0.022834289453536275,0.413725842254712,-0.015351371489354344,0.493117357838646,-0.03377026636269523,0.585674506616939,False
PG246347,P49368,sp|P49368|TCPG_HUMAN T-complex protein 1 subunit gamma OS=Homo sapiens GN=CCT3 PE=1 SV=4,P49368,-0.008570205474805399,0.649392210795495,-0.12518058813667315,0.0752877490478207,-0.0736360587376387,0.328083188139427,-0.031193410628344416,0.585940391683764,False
PG253875,Q14566,sp|Q14566|MCM6_HUMAN DNA replication licensing factor MCM6 OS=Homo sapiens GN=MCM6 PE=1 SV=1,Q14566,-0.07967745397799214,0.325059961450177,-0.2172425557678855,0.0231336803083772,-0.08853592686459993,0.255607029192353,-0.030974809043953926,0.590011786211607,False
PG246081,O95347,sp|O95347|SMC2_HUMAN Structural maintenance of chromosomes protein 2 OS=Homo sapiens GN=SMC2 PE=1 SV=2,O95347,0.17565391427232677,0.0960871158387195,0.3027020169077424,0.0040592341929011,-0.03610660191636982,0.423395466929909,-0.09892457901047733,0.343258781056462,False
PG244747,P22102,sp|P22102|PUR2_HUMAN Trifunctional purine biosynthetic protein adenosine-3 OS=Homo sapiens GN=GART PE=1 SV=1,P22102,0.07693043224462232,0.34416383482965,0.15224584410515454,0.0463855121232621,-0.1572418209755999,0.137213597894207,-0.1008329911597057,0.343827952729772,False
PG247400,O75643,sp|O75643|U520_HUMAN U5 small nuclear ribonucleoprotein 200 kDa helicase OS=Homo sapiens GN=SNRNP200 PE=1 SV=2,O75643,0.02583485579109162,0.550445617490681,0.024767043646384622,0.413728935458027,-0.09868606151041232,0.282969401639792,-0.06961385505121083,0.441799594611636,False
PG255358,P22626,sp|P22626|ROA2_HUMAN Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens GN=HNRNPA2B1 PE=1 SV=2,P22626,-0.00977923879491324,0.670739002905975,0.09082898012492709,0.247981133841835,0.07450443354288427,0.337469837509912,0.14445527804715208,0.355919722366514,False
PG247160,P11387,sp|P11387|TOP1_HUMAN DNA topoisomerase 1 OS=Homo sapiens GN=TOP1 PE=1 SV=2,P11387,0.10678012349772546,0.47087228475156,0.12496295991110205,0.266527085134781,0.3114891296861344,0.183420567453574,0.05039502679965334,0.673869931948712,False
PG253177,P11021,sp|P11021|GRP78_HUMAN 78 kDa glucose-regulated protein OS=Homo sapiens GN=HSPA5 PE=1 SV=2,P11021,0.004567718533024528,0.673058794946724,0.015592125808003678,0.484030596998024,-0.22824189812298404,0.0869277864543278,-0.12628068778721144,0.281304822618198,False
PG246589,P48643,sp|P48643|TCPE_HUMAN T-complex protein 1 subunit epsilon OS=Homo sapiens GN=CCT5 PE=1 SV=1,P48643,0.06393406384418583,0.445600250625765,0.14087651657235628,0.0677578558570047,-0.0249613002341467,0.463885533855935,0.022789066996496132,0.622303368725113,False
PG250195,Q00610|Q00610-2|A0A087WVQ6,tr|A0A087WVQ6|A0A087WVQ6_HUMAN Clathrin heavy chain OS=Homo sapiens GN=CLTC PE=1 SV=1,A0A087WVQ6,-0.03928209417814297,0.476056799511043,-0.0731152794352641,0.159747713228696,-0.08705802783494013,0.276147311476404,-0.08871361134807723,0.364076181274555,False
PG253301,Q03252,sp|Q03252|LMNB2_HUMAN Lamin-B2 OS=Homo sapiens GN=LMNB2 PE=1 SV=4,Q03252,0.13441924572457287,0.240547733692639,0.3661063232339643,0.0059644554590442,-0.08460532786456544,0.335987673983919,-0.07770888413650068,0.482041963109365,False
PG256358,P49588,sp|P49588|SYAC_HUMAN Alanine--tRNA ligase; cytoplasmic OS=Homo sapiens GN=AARS PE=1 SV=2,P49588,0.02730171362277399,0.584993261621357,-0.06418925360990929,0.265581281647078,-0.06760885215729352,0.307382309247363,-0.01234724688190158,0.648350668403366,False
PG246318,P40227,sp|P40227|TCPZ_HUMAN T-complex protein 1 subunit zeta OS=Homo sapiens GN=CCT6A PE=1 SV=3,P40227,-0.018135618161411626,0.62637623499218,-0.016908196570300734,0.483483304302185,-0.05706411352865174,0.353667496572848,0.2570921678057397,0.215133529726746,False
PG256055,P23246,sp|P23246|SFPQ_HUMAN Splicing factor; proline- and glutamine-rich OS=Homo sapiens GN=SFPQ PE=1 SV=2,P23246,-0.08392105720403265,0.300163743180905,-0.12920006688639252,0.0873584837498611,0.06791270549666072,0.309767627311094,0.15280883111777005,0.354421033017959,False
PG252889,P38646,sp|P38646|GRP75_HUMAN Stress-70 protein; mitochondrial OS=Homo sapiens GN=HSPA9 PE=1 SV=2,P38646,-0.006070292081991901,0.670718738493342,0.11300363580602113,0.120297557496042,-0.23415618006177377,0.0915703369683812,-0.15030275167384816,0.237366358912027,False
PG253672,P25205|P25205-2,sp|P25205-2|MCM3_HUMAN Isoform 2 of DNA replication licensing factor MCM3 OS=Homo sapiens GN=MCM3,P25205-2,-0.00881645313062501,0.651276041481107,-0.03332449163707497,0.361883081867041,-0.04110487861851438,0.401098810980416,0.1033671952747059,0.323685072636809,False
PG245564,P36578,sp|P36578|RL4_HUMAN 60S ribosomal protein L4 OS=Homo sapiens GN=RPL4 PE=1 SV=5,P36578,-0.07931557681710288,0.407437290443566,-0.26654342689536764,0.0074216839978598,0.03657585862239706,0.446481489162135,0.06321348680032592,0.518539270038223,False
PG242160,Q92598|Q92598-2,sp|Q92598|HS105_HUMAN Heat shock protein 105 kDa OS=Homo sapiens GN=HSPH1 PE=1 SV=1,Q92598,0.026036417744200638,0.563555985500698,-0.077056660326764,0.210286877669607,-0.0986986120964214,0.248058343645637,-0.09924996771490753,0.356604205949009,False
PG251160,Q99613|Q99613-2,sp|Q99613|EIF3C_HUMAN Eukaryotic translation initiation factor 3 subunit C OS=Homo sapiens GN=EIF3C PE=1 SV=1,Q99613,0.0023766531998903485,0.674044379468324,0.0062450583896981205,0.515822235947468,0.30391949644321903,0.0592006836027566,0.1360778456167442,0.294452737286808,False
PG255039,P07737,sp|P07737|PROF1_HUMAN Profilin-1 OS=Homo sapiens GN=PFN1 PE=1 SV=2,P07737,-0.01168904844709969,0.644475890080509,0.28737493784142604,0.0355496606149566,0.09193315253016786,0.298852671090432,0.0012968704175210417,0.68208018096085,False
PG253671,P49736,sp|P49736|MCM2_HUMAN DNA replication licensing factor MCM2 OS=Homo sapiens GN=MCM2 PE=1 SV=4,P49736,-0.2355288908729569,0.118102424856349,-0.5082660378595962,0.0006365717071017,0.13774369076642015,0.15844516538875,0.05645749524586807,0.523873986491227,False
PG255612,P46783,sp|P46783|RS10_HUMAN 40S ribosomal protein S10 OS=Homo sapiens GN=RPS10 PE=1 SV=1,P46783,0.15284303076308073,0.133043867638671,0.1040400350500584,0.0987620548926257,0.15102428371085783,0.153450965833283,0.1787739647557144,0.21086226119154,False
PG259997,A8MXP9,tr|A8MXP9|A8MXP9_HUMAN Matrin-3 OS=Homo sapiens GN=MATR3 PE=1 SV=1,A8MXP9,0.05190284858619204,0.443187956973864,0.12353679156188543,0.0660750764562755,-0.10383526726169862,0.267311010649409,-0.008576306925567783,0.660182646277051,False
PG255006,P13796,sp|P13796|PLSL_HUMAN Plastin-2 OS=Homo sapiens GN=LCP1 PE=1 SV=6,P13796,0.6332101530863516,0.330827458310964,-0.08466159017060824,0.286441691316683,-0.08036460944223951,0.281365991794445,0.041007536553250096,0.55258315258798,False
PG254493,Q9UQ80,sp|Q9UQ80|PA2G4_HUMAN Proliferation-associated protein 2G4 OS=Homo sapiens GN=PA2G4 PE=1 SV=3,Q9UQ80,-0.13658546784963993,0.180689721280138,-0.3056509378770595,0.01230153385766,-0.10309232599983743,0.21850777563984,-0.08725299085256681,0.400331667308573,False
PG253726,Q16891|Q16891-2,sp|Q16891|MIC60_HUMAN MICOS complex subunit MIC60 OS=Homo sapiens GN=IMMT PE=1 SV=1,Q16891,0.1020343988627581,0.281551628178547,0.22553415443158645,0.0105220636653366,-0.15435835940952047,0.138400554507819,-0.10117113421136255,0.362588932819045,False
PG251093,P14625,sp|P14625|ENPL_HUMAN Endoplasmin OS=Homo sapiens GN=HSP90B1 PE=1 SV=1,P14625,-0.28018771432577105,0.110846973000075,-0.6234555142306415,0.0029688020185729,-0.14642499471651613,0.161162641628265,-0.11893230095587734,0.299993480219419,True
PG244844,P31939,sp|P31939|PUR9_HUMAN Bifunctional purine biosynthesis protein PURH OS=Homo sapiens GN=ATIC PE=1 SV=3,P31939,-0.1507594881599531,0.127754370726813,-0.30131369405317726,0.0068600613322062,0.02316659436095057,0.465047677191543,-0.009287856556606779,0.656698990791785,False
PG255064,Q06830,sp|Q06830|PRDX1_HUMAN Peroxiredoxin-1 OS=Homo sapiens GN=PRDX1 PE=1 SV=1,Q06830,-0.2029881916066311,0.126750722456305,-0.5110203827646553,0.0049416482298,-0.1112733985752851,0.269715107550618,-0.02086372795427661,0.626831826849322,False
PG250913,O75534|O75534-4,sp|O75534-4|CSDE1_HUMAN Isoform 4 of Cold shock domain-containing protein E1 OS=Homo sapiens GN=CSDE1,O75534-4,-0.1134443734726126,0.235076943413557,-0.21911418226196083,0.0111301470784869,-0.13526252974645325,0.191151668392699,-0.07220696933816781,0.456266381255672,False
PG245337,Q9P258,sp|Q9P258|RCC2_HUMAN Protein RCC2 OS=Homo sapiens GN=RCC2 PE=1 SV=2,Q9P258,0.10695037259187005,0.329807394628266,0.17004413248274536,0.0222586066742051,0.4344204200746307,0.0446988890669889,0.11672667823584353,0.297459352711983,False
PG247189,P12270,sp|P12270|TPR_HUMAN Nucleoprotein TPR OS=Homo sapiens GN=TPR PE=1 SV=3,P12270,0.16266288977348417,0.221571908225716,0.35145732953735853,0.0077690720854438,0.10099743018995673,0.308066396658485,0.00576529571078652,0.66555708938261,False
PG246234,P41252,sp|P41252|SYIC_HUMAN Isoleucine--tRNA ligase; cytoplasmic OS=Homo sapiens GN=IARS PE=1 SV=2,P41252,0.012168502273420244,0.635197469841468,-0.005017936630913601,0.526758095566175,-0.14381027668036925,0.150926336356832,-0.0924106687274389,0.355919722366514,False
PG247594,P55060|P55060-3,sp|P55060|XPO2_HUMAN Exportin-2 OS=Homo sapiens GN=CSE1L PE=1 SV=3,P55060,-0.0595477624817985,0.391223658211262,-0.1689429323190265,0.0376341400834105,-0.05986851712123092,0.33173574104652,-0.057650802646654176,0.489628225334132,False
PG245965,Q9BXP5|Q9BXP5-2|Q9BXP5-3|Q9BXP5-4,sp|Q9BXP5|SRRT_HUMAN Serrate RNA effector molecule homolog OS=Homo sapiens GN=SRRT PE=1 SV=1,Q9BXP5,-0.05417174355708462,0.434139438978191,-0.17731554050199752,0.025305817855705,-0.11001739679790871,0.244084731077978,-0.02671621331481506,0.616187719479457,False
PG249925,P27797,sp|P27797|CALR_HUMAN Calreticulin OS=Homo sapiens GN=CALR PE=1 SV=1,P27797,-0.1594906325476308,0.202207809511901,-0.386124062208921,0.0047093174482361,0.13607207466967186,0.177911433561708,-0.053058677159477534,0.562612662819331,False
PG249854,Q86VP6,sp|Q86VP6|CAND1_HUMAN Cullin-associated NEDD8-dissociated protein 1 OS=Homo sapiens GN=CAND1 PE=1 SV=2,Q86VP6,0.0500088338803546,0.479867135155627,0.22123491751543314,0.0126966488786796,-0.0023831518119374873,0.534473267301508,-0.04099484724012151,0.545716838023278,False
PG244936,O76021,sp|O76021|RL1D1_HUMAN Ribosomal L1 domain-containing protein 1 OS=Homo sapiens GN=RSL1D1 PE=1 SV=3,O76021,-0.11538552019649904,0.366994699002782,-0.4991507193765107,0.0082466821246753,0.4589980845357855,0.13241279168882,0.21020583537329662,0.36627054533849,False
PG244778,P22234|P22234-2,sp|P22234-2|PUR6_HUMAN Isoform 2 of Multifunctional protein ADE2 OS=Homo sapiens GN=PAICS,P22234-2,0.08965780566534703,0.291357850426896,0.09980329891024792,0.136943228379643,0.02390863038132059,0.47065672812713,0.07074388676453933,0.53458812267679,False
PG246314,P78371,sp|P78371|TCPB_HUMAN T-complex protein 1 subunit beta OS=Homo sapiens GN=CCT2 PE=1 SV=4,P78371,-0.02339720921957284,0.588987182850765,-0.06112591279053932,0.27242814034402,-0.02775270705191053,0.451124408295585,0.017733230176159825,0.640072870745851,False
