HIV-1_GeneID,HIV-1_Prot_Acc,HIV-1_Prot_Name,Keyword,Human_GeneId,Human_GeneSymbol,Human_Prot_Acc,Human_Prot_Name,PMID(s),Modified_Date,Interaction_Desc
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","302","ANXA2","NP_004030.1","annexin A2 isoform 2","16908514, ","2016-07-28 14:34","Annexin II facilitates early steps in infection of macrophages following to the binding of HIV-1 gp120/gp41 to CD4 and CCR5 "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","187","APLNR","NP_005152.1","apelin receptor","11040134, 20921899, 22842622","2016-07-28 14:32","APJ, a seven transmembrane domain G-protein-coupled receptor, functions as a coreceptor for gp120 from some HIV-1 strains; a natural peptide ligand for APJ, apelin-13, efficiently blocks APJ coreceptor activity "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","348","APOE","NP_000032.1","apolipoprotein E isoform b precursor","16697650, ","2016-07-28 14:32","HIV-1 gp120 causes increased neurotoxicity in human neuronal cultures with the ApoE4 allele "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","581","BAX","NP_620116.1","apoptosis regulator BAX isoform alpha","10942389, 11602639, 15033690, 19363595, 20960177","2016-07-28 14:33","Induction of apoptosis in cell cultures through binding of HIV-1 gp120 or gp160 to CXCR4 involves protein kinase C, basic fibroblast growth factor, caspase-3, and the pro-apoptotic molecule Bax "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","581","BAX","NP_620116.1","apoptosis regulator BAX isoform alpha","18973553, ","2016-07-28 14:34","PDGF protects neurons from gp120-induced cytotoxicity through an increased phosphorylation of both GSK-3beta and Bad, the downregulation of the proapoptotic protein Bax, and inhibition of gp120-induced release of mitochondrial cytochrome C "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","10572","SIVA1","NP_006418.2","apoptosis regulatory protein Siva isoform 1","17653867, ","2016-07-28 14:33","Siva-1 sensitizes CD4-positive T-cells to HIV-1 gp120/gp41-induced apoptosis. The Siva-1-mediated sensitization on CD4-positive T-cells shows significant activation of caspase-3, -8, and -9 "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","3339","HSPG2","NP_005520.4","basement membrane-specific heparan sulfate proteoglycan core protein isoform b precursor","15797855, 16934308","2016-07-28 14:34","HSPG interacts strongly with positively charged-V3 loop of X4-tropic gp120, but weakly with less positively charged-V3 loop of R5-tropic gp120 on epithelial cells "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","598","BCL2L1","NP_001182.1","bcl-2-like protein 1 isoform Bcl-X(S)","17457084, 18220834","2016-07-28 14:32","Treatment of cells with dsRNA against 14-3-3tau enhances gp120-mediated dephosphorylation of Bad and its association with Bcl-XL in mitochondria, and accelerates gp120-induced apoptosis "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","572","BAD","NP_004313.1","bcl2-associated agonist of cell death","17457084, ","2016-07-28 14:32","Binding of gp120 to CXCR4 induces cell apoptosis through decreased binding of 14-3-3tau to the pro-apoptotic molecule, Bad. Suppression of Bad by RNAi rescues cells from apoptosis triggered by HIV-1 gp120 "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","572","BAD","NP_004313.1","bcl2-associated agonist of cell death","17457084, ","2016-07-28 14:32","Treatment of cells with dsRNA against 14-3-3tau enhances gp120-mediated dephosphorylation of Bad and its association with Bcl-XL in mitochondria, and accelerates gp120-induced apoptosis "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","572","BAD","NP_004313.1","bcl2-associated agonist of cell death","18973553, ","2016-07-28 14:34","PDGF protects neurons from gp120-induced cytotoxicity through an increased phosphorylation of both GSK-3beta and Bad, the downregulation of the proapoptotic protein Bax, and inhibition of gp120-induced release of mitochondrial cytochrome C "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","627","BDNF","NP_001700.2","brain-derived neurotrophic factor isoform a preproprotein","9878821, ","2016-07-28 14:32","Co-exposure of human fetal neurons to brain-derived neurotrophic factor (BDNF) and HIV-1 gp120 leads to a dose-dependent increase in BDNF-induced somatostatin (SRIF) production "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","729230","CCR2","NP_001116513.2","C-C chemokine receptor type 2 isoform A","19917610, ","2016-07-28 14:34","Treatment of the resting CD4+ T cells with HIV-1 clade B Tat, but not clade C Tat, increases surface CXCR4 expression, which leads to increased function of CXCR4 including increased chemoattraction toward CXCR4-using-gp120 "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","1232","CCR3","NP_001828.1","C-C chemokine receptor type 3 isoform 1","24041034, ","2016-07-28 14:34","CCR3 is an alternative coreceptor usage by R5-tropic HIV-1 type C gp120/gp41, although its usage frequency is less than that of CCR5 coreceptor "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","1234","CCR5","NP_000570.1","C-C chemokine receptor type 5","10758170, 12857973, 12960231","2016-07-28 14:33","HIV-1 gp120 from both CCR5- and CXCR4-tropic HIV-1 strains opens calcium-activated potassium (K(Ca)), chloride, and calcium-permeant nonselective cation channels in macrophages; these signals are mediated by CCR5 and CXCR4 "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","1234","CCR5","NP_000570.1","C-C chemokine receptor type 5","11023526, ","2016-07-28 14:32","N-formyl-methionyl-leucylphenyl-alanine binding to formyl peptide receptor (FPR) results in significant attenuation of cell responses to CCR5 ligands and in inhibition of HIV-1 gp120-mediated fusion and infection of cells expressing CD4, CCR5, and FPR "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","1234","CCR5","NP_000570.1","C-C chemokine receptor type 5","11278567, 11356952, 11390601, 11529558, 11679153, 11689632, 11709091, 11711617, 12368322, 15767436, 17722977, 17971448, 17977968, 18815295, 19339951, 19625411, 20923564, 21288812, 21288824, 21295814, 21513481, 21525208, 21569409, 21676905, 22876913, 23446039, 23672855, 24676404, 24859049, 25313689","2016-07-28 14:31","V1, V2, and V3 domains and N-linked glycosylation sites of HIV-1 gp120 confer coreceptor tropism; loss of an N-linked glycosylation site within V3 has a major influence on the virus switching from CCR5 to CXCR4 tropism in a V3 charge-dependent manner "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","1234","CCR5","NP_000570.1","C-C chemokine receptor type 5","15972662, ","2016-07-28 14:31","HIV-1 gp120 interactions with CXCR4 and CCR5 lead to the cross-desensitization of CCR6 and CCR7; this gp120-induced inhibition is strictly dependent on CXCR4 or CCR5 and lipid rafts but not on CD4 or V(H)3-expressing BCR "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","1234","CCR5","NP_000570.1","C-C chemokine receptor type 5","16375941, ","2016-07-28 14:33","HIV-1 gp120 and gp41-mediated virus-cell fusion is more dependent on viral core maturation for viruses bearing CXCR4-tropic gp120 than for those bearing CCR5-tropic gp120 "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","1234","CCR5","NP_000570.1","C-C chemokine receptor type 5","16943294, 17255952, 22044225","2016-07-28 14:32","Membrane fusion inhibitors inhibit HIV-1 infection in T cells by preventing gp120 interaction with CCR5 "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","1234","CCR5","NP_000570.1","C-C chemokine receptor type 5","16963439, ","2016-07-28 14:32","The V3 domain of HIV-1 gp120 induces associations between CD4 and CCR5 receptors in cholesterol-rich microenvironments "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","1234","CCR5","NP_000570.1","C-C chemokine receptor type 5","17207111, ","2016-07-28 14:32","HIV-1 gp120 and alcohol increase the permeability of the blood-brain barrier (BBB) model, but do not result in a significant synergistic effect. Gp120 permeability involves chemokine receptor CCR5 "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","1234","CCR5","NP_000570.1","C-C chemokine receptor type 5","18480458, ","2016-07-28 14:33","Individual gp120-CD4 bonds undergo rapid destabilization and this destabilization is significantly enhanced by the coreceptor CCR5, not by CXCR4 "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","1234","CCR5","NP_000570.1","C-C chemokine receptor type 5","21325401, ","2016-07-28 14:33","Introduction of G312V and A204E to multiple subtype A Envs and substitution of G312 and A204 with other residues increase CCR5-dependent entry into pig-tailed macaque lymphocytes "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","1234","CCR5","NP_000570.1","C-C chemokine receptor type 5","21345957, ","2016-07-28 14:33","Maraviroc-resistant gp120 interacts much less efficiently with CCR5 and becomes critically dependent on the V3 loop-CCR5 N terminus and on positively charged elements of the drug-modified CCR5 extracellular loops 1 (His 88) and 2 (His 181) "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","1234","CCR5","NP_000570.1","C-C chemokine receptor type 5","21573951, ","2016-07-28 14:33","Deaminases APOBEC3F- and APOBEC3G-mediated G-to-A mutations in the V3 region of HIV-1 gp120 lead to the co-receptor switch from R5 to X4 strains "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","1234","CCR5","NP_000570.1","C-C chemokine receptor type 5","21763489, ","2016-07-28 14:34","NMR studies find the strong interaction of sulfated (CCR5)Tyr14 with (gp120)Arg440 "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","1234","CCR5","NP_000570.1","C-C chemokine receptor type 5","21859712, ","2016-07-28 14:34","HIV-1 R5-tropic Env-mediated apoptosis of bystander cells is dependent on both CCR5 expression levels and fusogenic activity of the Env glycoprotein through the mechanism of apoptosis involved caspase-3 activation and mitochondrial depolarization "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","1234","CCR5","NP_000570.1","C-C chemokine receptor type 5","22028271, ","2016-07-28 14:33","Stimulation of cells with HIV-1 gp120 induces the interaction of endogenous CCR5 with NHERF1, which enhances CCR5 internalization "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","1234","CCR5","NP_000570.1","C-C chemokine receptor type 5","22292949, 22313935, 22876913, 23808984, 24090041","2016-07-28 14:34","Analysis of the distribution of V3 loop's net charge and flexibility in HIV-1 gp120 shows its selection more positive toward CXCR4 than CCR5 "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","1234","CCR5","NP_000570.1","C-C chemokine receptor type 5","23077246, ","2016-07-28 14:34","The V3 loop of brain-derived HIV-1 Env gp120 proteins significantly reduces the contact with N-terminal interface (Tyr10, Asn13, and Tyr14) of CCR5 as compared to lymph-node-derived gp120 proteins "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","1234","CCR5","NP_000570.1","C-C chemokine receptor type 5","23606583, ","2016-07-28 14:34","Interaction of the trimeric gp120 with CCR5 coreceptor triggers dendritic cells (DCs) to migrate between intestinal epithelial cells to sample virions and transfer infection to target cells "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","1234","CCR5","NP_000570.1","C-C chemokine receptor type 5","24149829, ","2016-07-28 14:34","Peptides from a library inhibit HIV-1 replication in vitro through blocking of HIV-1 gp120 interaction with the co-receptor CCR5 "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","1234","CCR5","NP_000570.1","C-C chemokine receptor type 5","24478426, ","2016-07-28 14:34","HIV-1 gp120 mutations S298N, F313L, and N403S result in weakening gp120's grip on gp41 rather than altering gp120 binding to specific CCR5 sites "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","1234","CCR5","NP_000570.1","C-C chemokine receptor type 5","24957778, ","2016-07-28 14:34","HIV-1 gp120 mutant K421D exhibits inefficient entry at low levels of CCR5, while K421D responses dramatically to the entry at high levels of CCR5 "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","1234","CCR5","NP_000570.1","C-C chemokine receptor type 5","25008924, ","2016-07-28 14:34","Interaction of HIV-1 gp120 with CCR5 upregulates IL-6 expression in primary human monocyte-derived dendritic cells "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","1234","CCR5","NP_000570.1","C-C chemokine receptor type 5","25231990, ","2016-07-28 14:35","SMS2, but not SMS1, is involved in enhancement of HIV-1 gp120/gp41-mediated membrane fusion through CD4 receptor and CCR5/CXCR4 coreceptors "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","1234","CCR5","NP_000570.1","C-C chemokine receptor type 5","25313689, ","2016-07-28 14:34","Negatively charged Asp/Glu at position 322 in the V3 of gp120 and positively charged Arg at position 440 in the C4 of gp120 occur more frequently in CCR5-using strains "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","1234","CCR5","NP_000570.1","C-C chemokine receptor type 5","25703038, ","2016-07-28 14:34","Two-dimensional saturation transfer difference NMR spectroscopy and dynamic filtering studies reveal involvement of residues Y187, F189, W190 and F193 of the second extracellular loop of CCR5 in the interaction with HIV-1 gp120 "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","1234","CCR5","NP_000570.1","C-C chemokine receptor type 5","26114311, ","2016-07-28 14:34","HIV-1 Env gp120 (JRFL) interacts with the extracellular loop 1 of CCR5 and these interactions are functionally critical; adaptation to murine extracellular loop 1 requires multiple mutations in the crown of gp120s V3 loop "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","1234","CCR5","NP_000570.1","C-C chemokine receptor type 5","9184207, 9261451, 9632396, 9653051, 9870313, 9971818, 10200301, 10357469, 10482572, 10544150, 10562492, 11069996, 11153675, 11861850, 12163614, 12202222, 12368322, 12408990, 12490404, 12610158, 15857992, 15890935, 15964018, 15983047, 16378977, 16476981, 16721558, 16966601, 17101166, 17202224, 17328229, 17329448, 17411375, 17507467, 17582634, 18036244, 18160142, 18480460, 18753930, 18815295, 19625411, 20377425, 20381825, 20921899, 21288812, 21288824, 21513481, 21555814, 21760891, 21835796, 21994672, 22047989, 22157596, 22286874, 22292949, 22313935, 22424737, 22657741, 22728273, 22732432, 22830600, 22876913, 22954962, 23297034, 23369572, 23446039, 23596523, 23606583, 23672855, 23745959, 23758814, 23808984, 24215935, 24763408, 24859049, 24862329, 25265194, 25313689","2016-07-28 14:32","The specific amino acids 298-329 in the V3 loop of HIV-1 gp120 that determine cellular tropism also regulate chemokine coreceptor (CCR5 or CXCR4) preference for cell entry by the virus "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","1237","CCR8","NP_005192.1","C-C chemokine receptor type 8","24041034, 25421818","2016-07-28 14:34","CCR8 is an alternative coreceptor usage by R5-tropic HIV-1 type C gp120/gp41, although its usage frequency is less than that of CCR5 coreceptor "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","6347","CCL2","NP_002973.1","C-C motif chemokine 2 precursor","18203956, 23555755","2016-07-28 14:33","The interaction of HIV-1 gp120 with CCR5 triggers PC-PLC activation and CCL2 secretion in human monocyte-derived macrophages "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","6348","CCL3","NP_002974.1","C-C motif chemokine 3 precursor","10089882, ","2016-07-28 14:33","The chemokine receptor CCR5 is posttranslationally modified by sulfation of its N-terminal tyrosines; sulfated tyrosines contribute to the binding of CCR5 to MIP-1 alpha, MIP-1 beta, and HIV-1 gp120/CD4 complexes and to the ability of HIV-1 to enter cells "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","6348","CCL3","NP_002974.1","C-C motif chemokine 3 precursor","10446313, ","2016-07-28 14:33","The neuroprotective action of VIP on gp120-induced neuronal cell death is attenuated by co-treatment with anti-MIP-1alpha, suggesting that the neuroprotective action of VIP is linked in part to its release of MIP-1alpha "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","6348","CCL3","NP_002974.1","C-C motif chemokine 3 precursor","11023526, ","2016-07-28 14:32","N-formyl-methionyl-leucylphenyl-alanine binding to formyl peptide receptor (FPR) results in significant attenuation of cell responses to CCR5 ligands and in inhibition of HIV-1 gp120-mediated fusion and infection of cells expressing CD4, CCR5, and FPR "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","6351","CCL4","NP_002975.1","C-C motif chemokine 4 precursor","10089882, 10938094","2016-07-28 14:33","The chemokine receptor CCR5 is posttranslationally modified by sulfation of its N-terminal tyrosines; sulfated tyrosines contribute to the binding of CCR5 to MIP-1 alpha, MIP-1 beta, and HIV-1 gp120/CD4 complexes and to the ability of HIV-1 to enter cells "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","6351","CCL4","NP_002975.1","C-C motif chemokine 4 precursor","11023526, ","2016-07-28 14:32","N-formyl-methionyl-leucylphenyl-alanine binding to formyl peptide receptor (FPR) results in significant attenuation of cell responses to CCR5 ligands and in inhibition of HIV-1 gp120-mediated fusion and infection of cells expressing CD4, CCR5, and FPR "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","170482","CLEC4C","NP_569708.1","C-type lectin domain family 4 member C isoform 1","23100517, 25407434","2016-07-28 14:33","HIV-1 gp120-mediated inhibition of IFN-alpha production involves CD4 and BDCA2 in plasmacytoid dendritic cells "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","9902","MRC2","NP_006030.2","C-type mannose receptor 2 precursor","15047828, 15955449","2016-07-28 14:33","HIV-1 gp120 interaction with human mannose receptor (hMR) results in increased production of matrix metalloproteinase-2 (MMP-2) in astrocytes "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","7852","CXCR4","NP_003458.1","C-X-C chemokine receptor type 4 isoform b","10758170, 11698270, 12857973, 12960231, 15710459, 16188969","2016-07-28 14:33","HIV-1 gp120 from both CCR5- and CXCR4-tropic HIV-1 strains opens calcium-activated potassium (K(Ca)), chloride, and calcium-permeant nonselective cation channels in macrophages; these signals are mediated by CCR5 and CXCR4 "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","7852","CXCR4","NP_003458.1","C-X-C chemokine receptor type 4 isoform b","10941932, ","2016-07-28 14:33","T-tropic HIV-1 gp120s are capable of priming phorbol ester (PMA) induced co-down-modulation of gp120 complexes with tailless CD4 by interacting with CXCR4, whereas M-tropic gp120 are not, even in the presence of CCR5 "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","7852","CXCR4","NP_003458.1","C-X-C chemokine receptor type 4 isoform b","11278567, 11356952, 11390601, 11529558, 11679153, 11689632, 11709091, 11711617, 12368322, 16188969, 16227248, 16966601, 17202224, 17329448, 17411375, 17507467, 17977968, 19232661, 19339951, 20923564, 21071054, 21152581, 21295814, 21513481, 21525208, 21569409, 23446039, 23672855, 25313689, 25322170","2016-07-28 14:31","V1, V2, and V3 domains and N-linked glycosylation sites of HIV-1 gp120 confer coreceptor tropism; loss of an N-linked glycosylation site within V3 has a major influence on the virus switching from CCR5 to CXCR4 tropism in a V3 charge-dependent manner "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","7852","CXCR4","NP_003458.1","C-X-C chemokine receptor type 4 isoform b","11591370, ","2016-07-28 14:33","Binding of HIV-1 gp120 to SupT1 lymphoblastoid cells triggers association between CXCR4 and ganglioside GM3 "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","7852","CXCR4","NP_003458.1","C-X-C chemokine receptor type 4 isoform b","11602639, 12873764, 16005638","2016-07-28 14:33","Syncytial apoptosis mediated by the fusion of cells expressing HIV-1 gp120 with cells expressing the CD4/CXCR4 receptor/coreceptor complex causes phosphorylation of p53 on serine 15 and Bax upregulation "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","7852","CXCR4","NP_003458.1","C-X-C chemokine receptor type 4 isoform b","12843275, ","2016-07-28 14:32","Brain-derived neurotrophic factor (BDNF) prevents HIV-1 gp120-mediated neuronal cell death by reducing the levels of CXC chemokine receptor-4 (CXCR4), a receptor that mediates HIV-1 gp120-induced apoptosis "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","7852","CXCR4","NP_003458.1","C-X-C chemokine receptor type 4 isoform b","15972662, ","2016-07-28 14:33","HIV-1 gp120 interactions with CXCR4 and CCR5 lead to the cross-desensitization of CCR6 and CCR7; this gp120-induced inhibition is strictly dependent on CXCR4 or CCR5 and lipid rafts but not on CD4 or V(H)3-expressing BCR "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","7852","CXCR4","NP_003458.1","C-X-C chemokine receptor type 4 isoform b","16005638, ","2016-07-28 14:33","Stimulation of neurons with HIV-1 gp120 or the endogenous CXCR4 agonist, SDF-1 alpha, results in inducing p53 activity and expression of the p53 pro-apoptotic target Apaf-1 "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","7852","CXCR4","NP_003458.1","C-X-C chemokine receptor type 4 isoform b","16375941, 22908191","2016-07-28 14:33","HIV-1 gp120 and gp41-mediated virus-cell fusion is more dependent on viral core maturation for viruses bearing CXCR4-tropic gp120 than for those bearing CCR5-tropic gp120 "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","7852","CXCR4","NP_003458.1","C-X-C chemokine receptor type 4 isoform b","16524887, ","2016-07-28 14:32","In T cell lines and peripheral blood mononuclear cells, HIV-1 gp120-induced apoptosis is regulated by CD45 through the induction of CD45 association with the HIV-1 coreceptor CXCR4 "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","7852","CXCR4","NP_003458.1","C-X-C chemokine receptor type 4 isoform b","17010165, ","2016-07-28 14:32","Raji-DC-SIGN cells preferentially enhance CXCR4 usage of dual-tropic HIV-1 with higher V3 charges in gp120 "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","7852","CXCR4","NP_003458.1","C-X-C chemokine receptor type 4 isoform b","18288973, ","2016-07-28 14:33","HIV-1 and gp120 can induce breast cancer cell apoptosis through gp120-CXCR4 interaction without a CD4-induced conformational change of gp120 "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","7852","CXCR4","NP_003458.1","C-X-C chemokine receptor type 4 isoform b","18775311, 18808680, 24778234","2016-07-28 14:34","HIV-1 gp120-CXCR4 signaling triggers cofilin activation and actin dynamics, which are important for a post entry process leading to viral nuclear localization "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","7852","CXCR4","NP_003458.1","C-X-C chemokine receptor type 4 isoform b","19906780, ","2016-07-28 14:34","The presence of HIV-1 envelope glycoprotein (gp120) in the rat preoptic anterior hypothalamus provokes fever via interaction CXCR4 pathway "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","7852","CXCR4","NP_003458.1","C-X-C chemokine receptor type 4 isoform b","21573951, ","2016-07-28 14:33","Deaminases APOBEC3F- and APOBEC3G-mediated G-to-A mutations in the V3 region of HIV-1 gp120 lead to the co-receptor switch from R5 to X4 strains "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","7852","CXCR4","NP_003458.1","C-X-C chemokine receptor type 4 isoform b","21835796, 24048002","2016-07-28 14:33","Amino acid variants at positions 261 and 263 within the gp41-interactive region of gp120 and a variant at position 326 within the gp120 V3 loop are associated with efficient CXCR4-mediated monocyte-derived macrophages (MDM) entry "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","7852","CXCR4","NP_003458.1","C-X-C chemokine receptor type 4 isoform b","22292949, 22313935, 22657741, 22954962, 24027570, 24048002, 24090041, 25322170","2016-07-28 14:34","Analysis of the distribution of V3 loop's net charge and flexibility in HIV-1 gp120 shows its selection more positive toward CXCR4 than CCR5 "
